vowel,retained_tokens,eligible_speakers,selected_bandwidth,median_hdr_50_volume,median_hdr_80_volume,median_hdr_95_volume,median_pairwise_overlap,maximum_pairwise_overlap,most_overlapping_pair
i,22024,43,0.3,2.586597025774316,8.275269488153416,22.46013075761328,0.4577735364437103,0.8133785724639893,2e25304d-Audio_SP12 ↔ 5819ce7a-Audio_SP11
e,36382,43,0.2,1.15611842170212,3.8403735691194183,10.479469456121691,0.34065476059913635,0.8122732639312744,5586979c-Audio_SP18 ↔ adad0062-Audio_SP17
a,39591,43,0.2,1.8774020227180832,6.0639081375493165,14.748147440496599,0.3268938362598419,0.7940651774406433,63239054-Audio_SP15 ↔ a452055c-Audio_SP11
o,33131,43,0.2,1.867867054850878,5.778337114845136,14.039129799363051,0.37636804580688477,0.7766408324241638,061ea7d0-Audio_SP16 ↔ cafd9c21-Audio_SP27
u,6640,43,0.3,3.1858614082748993,9.616219710866568,22.740796003238316,0.4738989770412445,0.7844974398612976,375a28cd-Audio_SP16 ↔ cafd9c21-Audio_SP27
