audio,mean_centroid_shift,median_centroid_shift,max_centroid_shift,distance_matrix_correlation,vowel_space_area_H1,vowel_space_area_H2,vowel_space_area_abs_diff,mean_pairwise_distance_H1,mean_pairwise_distance_H2,mean_pairwise_distance_abs_diff,silhouette_H1,silhouette_H2,silhouette_abs_diff,classification_accuracy_H1_centroids_to_H2_tokens,classification_accuracy_H2_centroids_to_H1_tokens,classification_accuracy_mean
061ea7d0-Audio_SP16,43.24155191758498,55.13170611246804,67.96112906819837,0.996682996317929,162220.19776332902,160951.61129019235,1268.5864731366746,699.7228881449306,673.3825278938824,26.3403602510482,0.1648477231012618,0.1838553404161752,0.0190076173149134,0.6985462892119357,0.6645496535796767,0.6815479713958061
0af9ac47-Audio_SP14,41.39553113127649,21.35235581517197,122.33109819957022,0.985368986976195,150027.07612244255,133979.22985381668,16047.846268625872,585.1709982372539,539.2708715572236,45.900126680030326,0.197074144418458,0.2065238224579874,0.0094496780395294,0.685374149659864,0.6848418756815703,0.6851080126707172
0e6115f2-Audio_SP19,43.50038358753362,18.06460986016852,142.5686886746437,0.9724293132773724,129870.47540285724,146249.8500276548,16379.37462479755,643.553551666316,701.9334892629586,58.37993759664255,0.1844773766903094,0.1834968134517841,0.0009805632385253,0.6491525423728813,0.6570972886762361,0.6531249155245586
0f786745-Audio_SP20,23.433584056770336,11.808944842474508,69.08596554954394,0.9981511418965808,200209.44423753617,215419.76651499065,15210.322277454485,819.3536549810715,800.7480216137676,18.60563336730388,0.1373935837281959,0.1523545855837521,0.0149610018555562,0.7099886492622021,0.7099125364431487,0.7099505928526754
12c532f8-Audio_SP15,22.23779045153784,14.57620546690695,59.403420762389096,0.9949497499033264,146538.19579497952,147275.29928519024,737.1034902107203,668.5827570763329,673.7882085497175,5.205451473384642,0.1847533275183681,0.1625028458313821,0.0222504816869859,0.6733042937149969,0.71,0.6916521468574984
181d5ce9-Audio_SP21,52.0718332220474,41.89848190302276,74.93560123358937,0.989989077342757,146948.03722714682,150439.24222092048,3491.204993773659,623.3559101389458,586.9370928686222,36.41881727032353,0.1199790229654187,0.1233399326765836,0.0033609097111649,0.6521239954075775,0.6519774011299435,0.6520506982687605
1c403477-Audio_SP13,31.619486999300296,23.911200761643737,67.29737503998139,0.9934961637210232,143037.65177269117,134981.94252425988,8055.709248431289,638.5849395659191,640.3690552871651,1.784115721246053,0.1656538955019958,0.1743641466142608,0.0087102511122649,0.6861457649376231,0.6693961105424769,0.67777093774005
1d46eb6e-Audio_SP18,23.98218475446064,10.98154697884038,68.7912581531102,0.9967935020308188,208225.81143781,213421.9754287069,5196.163990896894,774.9196819847015,809.8713920826895,34.951710097987984,0.2025922985060758,0.1630258415567715,0.0395664569493043,0.6642803315749811,0.710568454763811,0.6874243931693961
2988c6fc-Audio_SP13,54.43338520445728,61.18223658677029,71.80802778052093,0.9964033982785604,194444.0990473285,242687.67226843088,48243.57322110236,752.2007049982163,816.5980899700019,64.39738497178553,0.2538711973749443,0.2329472079839566,0.0209239893909877,0.7072037180480247,0.7475409836065574,0.7273723508272911
2e25304d-Audio_SP12,36.11554967364909,29.201502992950296,61.18791670442356,0.990110088864294,227258.1912120215,255318.5332546783,28060.34204265679,747.5112872403367,772.0582757294139,24.546988489077197,0.1527636568033046,0.1725767013052054,0.0198130445019008,0.6998011928429424,0.6821808510638298,0.6909910219533861
30a90cb2-Audio_SP21,36.45805833477989,13.196916113045257,128.3309572095112,0.9817762035580024,96101.31270691771,89494.74962107281,6606.563085844915,606.6928398275611,563.6921564116384,43.00068341592271,0.1220194735960518,0.0802074273752998,0.041812046220752,0.6081794195250659,0.62182603997839,0.615002729751728
3361ee02-Audio_SP10,50.63492979354941,27.4322887012175,91.3717721297875,0.9556295656191632,106647.52652494251,94266.14240923995,12381.38411570256,493.23843202895057,440.9083940741913,52.33003795475929,0.1079271890399002,0.0999736534011746,0.0079535356387255,0.6376101860920667,0.6430793157076206,0.6403447508998437
34ad326e-Audio_SP7,56.1604695648726,47.52723749181962,142.30408346650316,0.9490288186272732,205732.51518576447,198700.3423807812,7032.172804983275,620.8376635695515,599.0357521559579,21.801911413593643,0.0939501555635393,0.1125568667690078,0.0186067112054684,0.6258692628650904,0.6590621039290241,0.6424656833970572
375a28cd-Audio_SP16,73.75960590732146,71.35952990713736,114.4680102049323,0.9890898269476104,134553.03486190116,128553.91267631232,5999.122185588843,752.2916393986582,786.2884350714282,33.99679567277008,-0.0214758000554053,0.0010972641983177,0.022573064253723,0.5866666666666667,0.5297977036632039,0.5582321851649352
42d56bbf-Audio_SP23,11.35436754624068,10.224412572036591,24.78445804072296,0.9996664844339276,178251.2231075416,187003.5702298932,8752.34712235161,778.148274354693,779.3009618098274,1.152687455134469,0.142688876074879,0.1334696480001611,0.0092192280747179,0.6401132228063081,0.6493481957302097,0.6447307092682589
49ae7020-Audio_SP17,25.179325957530857,21.97090449802609,52.3095417578886,0.9935235392672386,124765.27851845336,127566.23406336784,2800.955544914468,731.0234458571329,722.7194422136606,8.304003643472242,0.1700098586365066,0.197598493313916,0.0275886346774093,0.679368029739777,0.6860215053763441,0.6826947675580606
501e6487-Audio_SP19,39.43877973498905,14.270029495652524,113.96385442951896,0.9873685480389164,90016.29265442071,99401.42363417929,9385.13097975857,469.26753213699294,516.6922079151575,47.42467577816456,0.1411136052702605,0.1577725860321497,0.0166589807618891,0.6251526251526252,0.6545698924731183,0.6398612588128717
514fc6b6-Audio_SP19,75.36953677905653,81.12567035595995,118.96862202853764,0.9673447306886964,271261.5868847352,269512.7530129298,1748.8338718054,929.687586303121,949.002754316064,19.315168012943104,0.0952508179141606,0.1151397807400755,0.0198889628259148,0.6493930905695612,0.6449570330167345,0.6471750617931478
51a17262-Audio_SP18,109.85656415663324,107.82817447150256,143.69752255811477,0.9621226659238272,293108.36565278965,292762.7230255327,345.64262725698063,970.8115672585512,1022.1290282106822,51.31746095213112,0.0998917118256989,0.1255901865126004,0.0256984746869014,0.6502808988764045,0.6225736879942487,0.6364272934353266
5278b5b9-Audio_SP15,24.08422307012213,20.81864284006973,49.04351154461208,0.9970806311568124,86393.12152757734,90333.38892092872,3940.267393351387,608.3530751780233,583.1140583583853,25.239016819638096,0.1704968630013462,0.178900339744445,0.0084034767430987,0.6476306196840826,0.6861614497528831,0.6668960347184829
5586979c-Audio_SP18,60.20065497445457,28.63235235502484,180.0967291554943,0.9472044204750644,131497.2490116576,98654.42056640296,32842.82844525465,614.5985860775805,541.6245852900481,72.97400078753242,0.1790941254824849,0.1767403564608675,0.0023537690216174,0.679214402618658,0.6882352941176471,0.6837248483681525
5819ce7a-Audio_SP11,23.17241825787885,17.020881082596613,52.08346637328506,0.9968343580859564,240045.7909221099,249729.6774638444,9683.88654173445,776.1430676658863,795.627894966153,19.48482730026672,0.1420611314677576,0.1576379344055747,0.015576802937817,0.6742919389978214,0.6671183378500452,0.6707051384239333
5a932187-audio_SP16,24.724491243085215,17.409623127943437,48.49755956009665,0.99551620666468,137896.8992106706,147749.38544275198,9852.48623208137,498.37893383326747,518.1819301509405,19.802996317673035,0.0991270038723005,0.088741081261685,0.0103859226106155,0.6124744376278118,0.6445783132530121,0.628526375440412
63239054-Audio_SP15,26.736198338218703,11.88193879646953,64.55623663073563,0.9976783493577602,127487.53455799085,114877.81493970836,12609.719618282485,601.4004151929687,559.654059748377,41.7463554445917,0.1351363782586706,0.1426012666268948,0.0074648883682242,0.6141797197032152,0.6276527331189711,0.6209162264110931
713a2f9b-Audio_SP16,15.090307017390614,14.197969162839405,21.73040363419311,0.9996932557641972,116934.31783716028,114591.98073266278,2342.3371044975065,575.157383701982,564.3888680486491,10.768515653332884,0.2003310805239318,0.1374714157593588,0.062859664764573,0.6710858585858586,0.685374149659864,0.6782300041228613
7a414497-Audio_SP15,41.27989741388215,26.937940981947374,116.72702449748463,0.983800537191354,192738.08008532552,174652.09925818112,18085.980827144405,668.7436227589218,615.132103054461,53.61151970446076,0.2020016475779386,0.1917015940507265,0.0103000535272121,0.7246753246753247,0.6939454424484365,0.7093103835618806
7aee4437-Audio_SP12,43.62059846759698,37.367967959758886,83.35339720437746,0.981621843224918,171764.3712878984,180988.76652548125,9224.395237582852,657.0153862112153,627.3867563870546,29.62862982416073,0.1136272256394991,0.1097028003652932,0.0039244252742058,0.6525336091003102,0.6853625170998632,0.6689480631000867
7c3c98d2-Audio_SP13,8.670174792661715,9.834267264131258,10.24968530662065,0.9996562763474875,336327.3231272032,336309.38213278604,17.940994417178445,741.4873338570461,742.1205349522511,0.6332010952049814,0.1592122713271987,0.1603990315488373,0.0011867602216385,0.7074861367837338,0.7047846889952153,0.7061354128894746
