F1,F2,F3,B1,B2,B3,max_formant,smooth_error,time,rel_time,prop_time,id,label,file_name,group,speaker_num,point_heuristic,f0,intensity,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context,chunk_part,chunk_offset,chunk_time,original_chunk_id,chunk_file_name
443.4413101594989,1407.5718222335574,2288.476885900053,3.2472371093847667,2.531674296825288,2.938903400433565,5153.846153846154,5.57878204076e-05,16.49275,0.025,0.3378378378378378,part01_0-0-2-4,o,42d56bbf-Audio_SP23.v0,group_0,1,fave,138.72891921047906,79.82605520210844,4,Bueno,,0.0500000000000007,[silence],",",n,#,n,.,final,1,0.0,16.49275,0-0-2-4,42d56bbf-Audio_SP23_part01
556.3713205425479,1437.906916924163,2243.66304169063,3.3643820698010045,3.3566622437398275,4.027859298226754,5512.820512820513,0.0081552040783936,16.77275,0.065,0.3350515463917525,part01_0-0-6-0,a,42d56bbf-Audio_SP23.v0,group_0,1,fave,172.56303760117802,76.10997437376196,4,a,,0.1700000000000017,voy,comenzar,#,#,y,k,coextensive,1,0.0,16.77275,0-0-6-0,42d56bbf-Audio_SP23_part01
429.4866657977937,837.5571038309969,2274.3373153156267,3.1450066770566267,3.0155032540634683,4.44455698070468,5333.333333333333,0.0008848207988029,16.98575,0.031,0.3297872340425531,part01_0-0-7-1,o,42d56bbf-Audio_SP23.v0,group_0,1,fave,199.33699615246925,80.77445535921923,4,comenzar,,0.0700000000000002,a,digamos,k,m,k,m,internal,1,0.0,16.98575,0-0-7-1,42d56bbf-Audio_SP23_part01
357.0532922322145,1665.542915384566,3531.440618965526,3.377373078059231,2.840180402740801,2.9869110308600977,6589.74358974359,8.41911772176e-05,17.10575,0.031,0.3297872340425531,part01_0-0-7-3,e,42d56bbf-Audio_SP23.v0,group_0,1,fave,153.70735962882057,78.72003814376183,4,comenzar,,0.0700000000000002,a,digamos,m,n,m,n,internal,1,0.0,17.10575,0-0-7-3,42d56bbf-Audio_SP23_part01
335.7829509342096,864.4647192107336,1944.9771460948364,3.9481182892448015,3.3304028553748597,4.786264887736735,4974.358974358975,0.0006684913305945,17.87575,0.031,0.3297872340425531,part01_0-0-8-5,o,42d56bbf-Audio_SP23.v0,group_0,1,fave,174.4579244886505,77.83758268262217,4,digamos,,0.0700000000000002,comenzar,por,m,s,m,s,internal,1,0.0,17.87575,0-0-8-5,42d56bbf-Audio_SP23_part01
422.3954095874345,1602.377185994829,3757.705872207266,3.64143685763848,2.71011937996463,3.600224989824414,7666.666666666666,0.0001509855768935,18.16575,0.031,0.3297872340425531,part01_0-0-10-0,e,42d56bbf-Audio_SP23.v0,group_0,1,fave,133.24531249787609,78.81447852191027,4,el,,0.0700000000000002,por,nacimiento,#,l,R,l,initial,1,0.0,18.16575,0-0-10-0,42d56bbf-Audio_SP23_part01
292.60592709500986,1591.45763066137,1749.8586103155728,3.946423691824694,3.926424358419717,4.055897606234328,5333.333333333333,0.0020565761535317,18.36575,0.031,0.3297872340425531,part01_0-0-11-1,a,42d56bbf-Audio_SP23.v0,group_0,1,fave,114.04530910808832,76.2728550998442,4,nacimiento,,0.0700000000000002,el,",",n,z,n,z,internal,1,0.0,18.36575,0-0-11-1,42d56bbf-Audio_SP23_part01
249.9960585047262,2073.197787784125,3546.7752505935864,2.524215909147164,3.4008281208696687,3.364545953485088,6230.769230769231,0.0009507475507538,18.52375,0.027,0.3214285714285714,part01_0-0-11-3,i,42d56bbf-Audio_SP23.v0,group_0,1,fave,115.29626058783008,74.71197076362992,4,nacimiento,,0.0599999999999987,el,",",z,m,z,m,internal,1,0.0,18.52375,0-0-11-3,42d56bbf-Audio_SP23_part01
250.84692394156255,2295.5324967541496,3775.625413742316,2.3844100767937224,2.6995362934439617,4.060780771598088,6410.25641025641,7.39364619544e-05,18.68575,0.031,0.3297872340425531,part01_0-0-11-5,i,42d56bbf-Audio_SP23.v0,group_0,1,fave,244.51675307455596,80.45633794515913,4,nacimiento,,0.0699999999999967,el,",",m,é,m,é,internal,1,0.0,18.68575,0-0-11-5,42d56bbf-Audio_SP23_part01
395.4575483675652,1144.713566499817,2396.996857677821,3.2051772193693164,3.942767462254932,4.70165658001648,5512.820512820513,0.001400678611439,18.95575,0.031,0.3297872340425531,part01_0-0-11-9,o,42d56bbf-Audio_SP23.v0,group_0,1,fave,95.56998631525911,63.02975457255347,4,nacimiento,,0.0700000000000002,el,",",t,#,t,.,final,1,0.0,18.95575,0-0-11-9,42d56bbf-Audio_SP23_part01
