F1,F2,F3,B1,B2,B3,max_formant,smooth_error,time,rel_time,prop_time,id,label,file_name,group,speaker_num,point_heuristic,f0,intensity,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
362.80562460805965,1726.3935035572285,2647.151456572198,3.147334624843042,3.2881168776482426,3.6011216820816405,5512.820512820513,0.00883056072288509,15.22275,0.065,0.33505154639175255,0-0-1-2,i,3361ee02-Audio_SP10.v0,group_0,1,fave,-1159.0678920384996,71.19214093970125,10,Así,"",0.16999999999999993,[silence],mismo,s,#,s,m,final
373.96055934014964,1734.3601894003298,2749.633689183446,2.7640542176168847,3.1115390018524964,4.907693861456051,5692.3076923076915,0.00006668798770587172,17.85275,0.025,0.33783783783783783,0-0-8-5,i,3361ee02-Audio_SP10.v0,group_0,1,fave,93.60666889414671,78.38955160105169,10,estudiante,"",0.05000000000000071,mismo,universitario,d,á,d,á,internal
292.0429732790593,1774.5590913871197,2662.8852466728194,3.26708513028097,3.494975795403285,4.0058260941772454,5512.820512820513,0.0009170374632808485,18.40075,0.041,0.3306451612903226,0-0-9-7,i,3361ee02-Audio_SP10.v0,group_0,1,fave,107.23997887266337,75.97747796802167,10,universitario,"",0.10000000000000142,estudiante,[silence],s,t,s,t,internal
331.1239745525215,1700.5205466324694,2002.6143912523075,3.549149084264934,2.3092943332507283,4.64555815428732,5512.820512820513,0.000045194527776714884,18.71275,0.025,0.33783783783783783,0-0-9-11,i,3361ee02-Audio_SP10.v0,group_0,1,fave,101.79742091882596,76.53475765035247,10,universitario,"",0.05000000000000071,estudiante,[silence],R,o,R,o,internal
304.28256120006114,1794.0929963749895,2756.97668827661,3.1139286334892073,2.578371411856891,3.4102480719163135,5512.820512820513,0.0002406094164699325,20.67575,0.031,0.32978723404255317,0-0-12-1,i,3361ee02-Audio_SP10.v0,group_0,1,fave,107.09332820997963,76.2096608904038,10,siguiendo,"",0.07000000000000028,estoy,la,s,g,s,g,internal
342.92292874678196,1580.0560722436967,2931.862883240406,4.011701213925498,4.194149142367368,3.7048809646817036,6051.282051282051,0.000260324736397771,21.71575,0.031,0.32978723404255317,0-0-16-0,i,3361ee02-Audio_SP10.v0,group_0,1,fave,92.7265487730902,76.87429603218543,10,Ingeniería,"",0.07000000000000028,de,Industrial,#,n,e,n,initial
311.66721945920006,1827.5000986125685,2910.7176250920356,2.8316598323841085,3.41608307664772,2.862628976984474,5512.820512820513,0.000025517275781395533,22.15375,0.027000000000000003,0.32142857142857145,0-0-16-8,i,3361ee02-Audio_SP10.v0,group_0,1,fave,85.66826426829667,77.4251625669449,10,Ingeniería,"",0.05999999999999872,de,Industrial,R,a,R,a,internal
373.2583274676275,1912.6885278584034,2875.942424026743,4.304472437664165,4.501811192737637,3.2595417766690358,5512.820512820513,0.0003089284594156621,29.55275,0.025,0.33783783783783783,0-0-34-2,i,3361ee02-Audio_SP10.v0,group_0,1,fave,96.48459447573295,76.11780941651726,10,veinte,"",0.05000000000000071,[silence],años,é,n,é,n,internal
277.15044167761556,1927.4776782526092,2872.030059804614,3.0420393719678116,3.3275619865820447,3.0832112168296373,5333.333333333333,0.04504734674255789,30.69275,0.205,0.33387622149837126,0-0-37-0,i,3361ee02-Audio_SP10.v0,group_0,1,fave,87.00526342199718,72.51217908654463,10,y,"",0.5899999999999999,[silence],[silence],#,#,.,.,coextensive
285.8626362088065,1062.8785660005788,2547.7203455068843,3.805103219213999,4.198756374465996,4.315141421581091,4435.897435897436,0.020485625499905857,33.11075,0.181,0.3327205882352941,0-0-41-1,i,3361ee02-Audio_SP10.v0,group_0,1,fave,87.37601171421525,75.59693618733313,10,mi,"",0.519999999999996,[silence],mi,m,#,m,m,final
395.721651309235,2202.676984074695,2953.6061783336677,4.414731256562136,4.032900207929133,4.021170664664698,6410.25641025641,0.008018736801578238,33.765750000000004,0.031,0.32978723404255317,0-0-42-1,i,3361ee02-Audio_SP10.v0,group_0,1,fave,90.3510209518889,77.16094585437408,10,mi,"",0.07000000000000028,mi,ingresos,m,#,m,i,final
684.2966399943923,1989.5726087017201,2848.736119844727,4.318078936955771,4.108631794626618,4.419757608313025,5333.333333333333,0.006069731086524495,37.13275,0.025,0.33783783783783783,0-0-52-1,i,3361ee02-Audio_SP10.v0,group_0,1,fave,94.21900891646072,76.67571888393697,10,Microworkers,"",0.05000000000000426,plataforma,",",m,k,m,k,internal
