F1,F2,F3,B1,B2,B3,max_formant,smooth_error,time,rel_time,prop_time,id,label,file_name,group,speaker_num,point_heuristic,f0,intensity,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
654.6011479818878,1398.0916943266834,2529.193430438591,3.1320425032701116,3.4533893933604265,3.3880130238740285,5333.333333333333,0.00002012071372078041,5.385750000000001,0.031,0.32978723404255317,0-0-1-3,a,cafd9c21-Audio_SP27.v0,group_0,1,fave,123.34337947248835,77.60710603306833,9,Está,"",0.07000000000000028,[nontrans],bien,t,#,t,b,final
674.65819432367,1107.7775270032664,2331.518171147902,3.8539619630244784,3.439818581010219,2.941497846888474,4974.358974358975,0.0012464782179262127,6.14875,0.037000000000000005,0.324561403508772,0-0-6-7,a,cafd9c21-Audio_SP27.v0,group_0,1,fave,78.23060190974945,58.859841783642885,9,problema,"",0.08999999999999986,hay,[silence],m,#,m,.,final
650.1779742566199,1307.023507217845,2438.6849263200797,3.1343362032758937,2.9746304005854802,3.114508596703994,5333.333333333333,0.00006056157091888651,27.415750000000003,0.051000000000000004,0.3311688311688312,0-0-14-2,a,cafd9c21-Audio_SP27.v0,group_0,1,fave,145.29832178843304,79.09103304286687,9,trabajo,"",0.129999999999999,",",en,R,b,R,b,internal
597.3663235760093,1458.7589707204704,2551.7667168273824,2.848871079468955,3.0979054790431904,3.321664642179383,5333.333333333333,2.282303525436118e-6,29.08275,0.025,0.33783783783783783,0-0-19-4,a,cafd9c21-Audio_SP27.v0,group_0,1,fave,161.75705495636834,76.5471597570987,9,venta,"",0.05000000000000071,de,de,t,#,t,d,final
580.4823946354579,1519.2766762434164,2400.5366551258726,3.2143352415892474,3.1578375817735793,4.110659277952433,5333.333333333333,0.000019549603044176564,30.71575,0.031,0.32978723404255317,0-0-27-3,a,cafd9c21-Audio_SP27.v0,group_0,1,fave,132.5830531158976,76.18056737595826,9,encargado,"",0.07000000000000028,soy,",",k,R,k,R,internal
637.5098314914197,1424.5779180933457,2523.3277243011694,3.5688718856805313,2.77087532150453,3.40208663197582,5333.333333333333,1.1386415069179796e-6,33.91375,0.027000000000000003,0.32142857142857145,0-0-36-2,a,cafd9c21-Audio_SP27.v0,group_0,1,fave,149.19264396347796,77.66421817214145,9,realmente,"",0.060000000000002274,es,es,e,l,e,l,internal
686.7947696650266,1283.410631426708,2290.8840077846094,3.3571567555049695,3.028658928591094,4.29947369881399,5333.333333333333,0.000704309088535788,35.10775,0.035,0.3365384615384616,0-0-38-1,a,cafd9c21-Audio_SP27.v0,group_0,1,fave,148.38408408898005,75.89071189758694,9,familiar,"",0.0799999999999983,es,",",f,m,f,m,internal
704.2617935300398,1406.692120548174,2345.1310986873336,3.3801993137266555,3.0874211240867115,2.9456944699557837,5333.333333333333,0.00013030122279855368,37.272749999999995,0.045,0.33582089552238803,0-0-48-3,a,cafd9c21-Audio_SP27.v0,group_0,1,fave,161.75322768340578,77.04635736099354,9,mecánico,"",0.10999999999999943,ingeniero,",",k,n,k,n,internal
609.6900818403755,1386.1884041740316,2630.47534506073,2.6777668120319555,3.0421493289978625,3.675207184871945,5333.333333333333,9.681169738732551e-6,40.74575,0.031,0.32978723404255317,0-0-59-1,a,cafd9c21-Audio_SP27.v0,group_0,1,fave,151.02919007644516,79.79076654509734,9,taller,"",0.07000000000000028,un,acá,t,L,t,L,internal
714.8975276134041,1409.5440877355654,2321.5203623906673,3.3353123554719533,3.2234103762659814,3.1090456816558736,5333.333333333333,0.0026547009818780336,41.143750000000004,0.067,0.3284313725490196,0-0-60-2,a,cafd9c21-Audio_SP27.v0,group_0,1,fave,197.43221870860674,75.09762031525133,9,acá,"",0.17999999999999972,taller,",",k,#,k,.,final
