F1,F2,F3,B1,B2,B3,max_formant,smooth_error,time,rel_time,prop_time,id,label,file_name,group,speaker_num,point_heuristic,f0,intensity,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
837.5068499940118,1595.0132422573886,2566.7413935166855,4.098067974689348,3.8977341555228007,4.384165499257995,5871.794871794871,0.032779878783255466,38.45375000000001,0.067,0.32843137254901966,0-0-1-0,a,0e6115f2-Audio_SP19.v0,group_0,1,fave,108.65642004504542,65.66005542853337,8,&ah,"",0.17999999999999972,[silence],perfecto,#,#,.,p,coextensive
539.7400338085715,1683.052011360036,2369.5338580671328,2.9354785773506094,3.4112584787755464,3.940777804321612,5333.333333333333,0.0015915056679843087,41.272749999999995,0.045,0.33582089552238803,0-0-9-5,a,0e6115f2-Audio_SP19.v0,group_0,1,fave,137.33878829266322,63.66512735785394,8,ahorita,"",0.10999999999999943,estoy,cursando,t,#,t,k,final
584.3837386218507,1555.5431843909591,2328.147487256425,3.2546553151298596,3.806485594306856,3.6531911393939973,5333.333333333333,0.00016448375823274842,42.17274999999999,0.045,0.33582089552238803,0-0-11-2,a,0e6115f2-Audio_SP19.v0,group_0,1,fave,101.50310096062704,67.16631215890774,8,acá,"",0.10999999999999943,cursando,en,k,#,k,e,final
612.35523037189,1734.1620496090725,2492.6815224749416,2.59035132741595,3.170490391016666,3.20603009945421,5333.333333333333,0.000047177893736676354,50.36075,0.041,0.3306451612903226,0-0-33-5,a,0e6115f2-Audio_SP19.v0,group_0,1,fave,107.81198835343946,70.08706897186057,8,carrera,"",0.09999999999999432,la,de,R,#,R,d,final
523.1922094328705,2017.3420851788162,2650.0913506123643,3.03848584077193,2.884684943885337,3.3585288583544664,5512.820512820513,0.00014403626406402873,51.11775,0.035,0.33653846153846156,0-0-35-9,a,0e6115f2-Audio_SP19.v0,group_0,1,fave,97.9277073186726,64.90576962460094,8,ingeniería,"",0.0799999999999983,de,civil,i,#,i,z,final
675.6564095328114,1415.8189719341067,2637.0677023448416,3.3591035084815575,3.7098946616003015,3.7554357879282327,5692.3076923076915,0.03271726599093517,54.30075,0.121,0.3324175824175823,0-0-44-4,a,0e6115f2-Audio_SP19.v0,group_0,1,fave,111.39020204391824,61.02266564857011,8,falta,"",0.3399999999999963,[silence],[silence],t,#,t,.,final
525.7967376411644,1418.1468796914887,2620.78866355777,3.157635213884793,3.518800717858308,3.80417897226463,5333.333333333333,0.00024065052561502988,55.76375,0.027000000000000003,0.32142857142857145,0-0-49-2,a,0e6115f2-Audio_SP19.v0,group_0,1,fave,90.781117466462,64.14531113908266,8,acabar,"",0.060000000000002274,para,la,k,b,k,b,internal
638.077976327959,1506.8315433979456,2603.8150764215566,2.9461493163900094,3.4553749858668663,3.566973910254264,5333.333333333333,0.0004833008675750865,73.67275000000001,0.065,0.33505154639175255,0-0-64-3,a,0e6115f2-Audio_SP19.v0,group_0,1,fave,103.61163206443803,64.73749227770134,8,casa,"",0.1700000000000017,en,",",s,#,s,.,final
583.0294397474096,1470.960398225624,2147.578756443381,2.8328797461305517,3.649083004982065,4.07541524852834,5333.333333333333,0.000012059117152938637,83.64375,0.027000000000000003,0.32142857142857145,0-0-79-2,a,0e6115f2-Audio_SP19.v0,group_0,1,fave,112.06681207333064,73.65973937132844,8,trabajé,"",0.060000000000002274,",",[silence],R,b,R,b,internal
690.7907971516371,1482.735582101543,2706.905798733444,4.263050553315238,3.3851538948151405,4.091684757789329,6051.282051282051,0.010285783585897084,85.10275000000001,0.125,0.33422459893048123,0-0-83-2,a,0e6115f2-Audio_SP19.v0,group_0,1,fave,108.06969720351928,67.41514184289122,8,una,"",0.3499999999999943,[silence],",",n,#,n,.,final
539.467937382275,1336.7572573093444,2410.3582620442508,2.94166227437872,3.4035576135755083,3.453099508450278,5333.333333333333,0.0002805389936643437,87.41775,0.035,0.3365384615384616,0-0-93-7,a,0e6115f2-Audio_SP19.v0,group_0,1,fave,94.91256550240948,68.71200357641911,8,municipalidad,"",0.0799999999999983,una,acá,p,l,p,l,internal
573.5589925404653,1591.939352725429,2314.7444876946784,3.162818149733817,3.716731238606207,3.755814329015174,5333.333333333333,0.00010347059311033944,88.03575,0.031,0.32978723404255317,0-0-94-2,a,0e6115f2-Audio_SP19.v0,group_0,1,fave,99.27756297000178,66.24077703859797,8,acá,"",0.07000000000000739,municipalidad,que,k,#,k,k,final
589.5135640562006,1369.818674814755,2315.8610728739245,2.5484906478431286,3.4860075031183633,4.391746634307725,5333.333333333333,0.000017135777535550252,91.12375,0.027000000000000003,0.32142857142857145,0-0-103-2,a,0e6115f2-Audio_SP19.v0,group_0,1,fave,115.54285271897444,72.05957913464104,8,trabajé,"",0.060000000000002274,también,en,R,b,R,b,internal
686.8409938503781,1387.9392138079193,2951.8656135065003,3.2312861724878457,2.4731601878553056,4.139037442646274,6230.7692307692305,0.0002948721510690729,94.68375,0.027000000000000003,0.32142857142857145,0-0-113-0,a,0e6115f2-Audio_SP19.v0,group_0,1,fave,NaN,48.19783362323798,8,alrededor,"",0.060000000000002274,[silence],de,#,l,.,l,initial
603.3491688217869,1511.5959450361759,2574.006969079981,3.0527208824781313,3.1423525318653103,3.6184868878565295,5333.333333333333,9.556461734366494e-6,105.00274999999999,0.025,0.33783783783783783,0-0-122-1,a,0e6115f2-Audio_SP19.v0,group_0,1,fave,116.04325743958209,73.06789969395876,8,la,"",0.05000000000001137,de,[silence],l,#,l,.,final
526.0654234462578,1343.5830290360122,2309.837985428193,2.677889177238766,3.451147893022408,3.1002444680472974,5333.333333333333,9.2983785191911e-6,105.62375,0.027000000000000003,0.32142857142857145,0-0-124-7,a,0e6115f2-Audio_SP19.v0,group_0,1,fave,127.93829347450102,72.7506848716577,8,Municipalidad,"",0.060000000000002274,[silence],fue,p,l,p,l,internal
646.2730868255694,1337.0316699804716,2526.508770174803,3.140410078691524,3.42972695509829,3.493816516934697,5512.820512820513,0.0026746095377503856,106.75375,0.047,0.3263888888888889,0-0-128-1,a,0e6115f2-Audio_SP19.v0,group_0,1,fave,100.54992786030392,67.96750547957971,8,pasado,"",0.11999999999999034,año,y,p,s,p,s,internal
630.9240435999727,1630.167686886449,2604.1362977954614,3.1840150477373594,3.5571309044571264,3.225543766520426,5512.820512820513,0.00016572639552556103,110.89874999999999,0.037000000000000005,0.324561403508772,0-0-137-3,a,0e6115f2-Audio_SP19.v0,group_0,1,fave,91.40163258345795,70.18480800502519,8,atrás,"",0.09000000000000341,años,.,R,s,R,s,internal
582.38525097976,1579.7843805114226,2649.2934336647113,3.5662007768577912,3.1474899826605856,3.265811885449978,5333.333333333333,7.964512458114489e-6,125.31774999999999,0.035,0.3365384615384616,0-0-146-2,a,0e6115f2-Audio_SP19.v0,group_0,1,fave,140.05142681812444,73.3139902598917,8,una,"",0.0799999999999983,es,larga,n,#,n,l,final
496.1226082561544,2031.7634668095648,2503.992831305128,3.273841854716666,3.541141027682233,3.0975259791916057,5333.333333333333,0.0002042074395998122,126.25274999999999,0.025,0.33783783783783783,0-0-148-6,a,0e6115f2-Audio_SP19.v0,group_0,1,fave,98.70410604892045,65.00182495021649,8,historia,"",0.05000000000001137,larga,.,i,#,i,.,final
442.7213877815158,1762.8137354930232,2705.454808921443,3.5664330945588536,3.460364072542512,3.2937366773589205,5333.333333333333,0.00028158660427341035,129.24575,0.031,0.32978723404255317,0-0-157-0,a,0e6115f2-Audio_SP19.v0,group_0,1,fave,111.58121037384934,62.31360230798744,8,a,"",0.0700000000000216,gracias,que,#,#,s,k,coextensive
553.4788909906608,1317.9538515298332,2498.5037814301186,3.22472547491629,2.69068806490876,2.9158039350261826,5333.333333333333,9.219481904712e-6,141.36375,0.027000000000000003,0.32142857142857145,0-0-182-1,a,0e6115f2-Audio_SP19.v0,group_0,1,fave,124.99122215616755,70.5477667846152,8,ganar,"",0.060000000000002274,cómo,dinero,g,n,g,n,internal
648.9654316766749,1372.0785371034933,2435.3994115483656,3.109002042685789,3.210624359926727,2.8272009226739483,5333.333333333333,0.0011357356656834926,146.65275,0.065,0.33505154639175255,0-0-195-8,a,0e6115f2-Audio_SP19.v0,group_0,1,fave,109.1343208660008,66.01182702639859,8,explicaba,"",0.1699999999999875,qué,[silence],b,#,b,.,final
586.5140017089184,1742.7519679477355,2485.4019803727574,2.7865632419872832,3.4287989807304573,3.89561004940896,5333.333333333333,0.00005854897854936066,147.15775,0.035,0.3365384615384616,0-0-198-2,a,0e6115f2-Audio_SP19.v0,group_0,1,fave,106.8746494380424,68.00902676734647,8,era,"",0.0800000000000125,qué,la,R,#,R,l,final
585.8689436463703,1524.1279142510753,2393.141687797046,2.9173745056506375,3.453721505458326,2.7706576272830845,5333.333333333333,0.000022802486186951158,147.26575,0.031,0.32978723404255317,0-0-199-1,a,0e6115f2-Audio_SP19.v0,group_0,1,fave,101.79932321943835,68.80338147058283,8,la,"",0.06999999999999318,era,plataforma,l,#,l,p,final
521.5549843134029,1581.110556971629,2655.7876748206063,2.934903407403024,3.6051138003093115,3.3877974048332167,5333.333333333333,0.0000407803701941807,147.45274999999998,0.025,0.33783783783783783,0-0-200-2,a,0e6115f2-Audio_SP19.v0,group_0,1,fave,100.90932546385913,67.05942600013276,8,plataforma,"",0.05000000000001137,la,de,l,t,l,t,internal
537.024855334775,1505.1197492051972,2682.5769647377647,3.106273378115168,3.546531385122468,3.6459063079080534,6051.282051282051,0.0015882619385384756,147.56375,0.047,0.3263888888888889,0-0-200-4,a,0e6115f2-Audio_SP19.v0,group_0,1,fave,97.7262690778217,62.91107935865335,8,plataforma,"",0.12000000000000455,la,de,t,f,t,f,internal
553.9425342053349,1345.3530232201538,2531.014376780953,2.495579911994629,3.304207896388404,3.592710616404851,5333.333333333333,1.1691419660545796e-6,150.04274999999998,0.025,0.33783783783783783,0-0-207-1,a,0e6115f2-Audio_SP19.v0,group_0,1,fave,139.65789217869528,74.15106604183833,8,pareció,"",0.05000000000001137,me,interesante,p,R,p,R,internal
645.2823440372462,1391.1184388164181,2674.931198869987,3.5484694415477387,3.590177901622382,3.44080843738755,5153.846153846154,0.016186906316215194,160.39075,0.061000000000000006,0.3315217391304348,0-0-236-3,a,0e6115f2-Audio_SP19.v0,group_0,1,fave,102.79132825688477,60.115475121047595,8,daba,"",0.1599999999999966,me,tiempo,b,#,b,t,final
590.2719582863053,1481.8680513927316,2567.5470544555424,3.214796606742854,3.882576496709406,3.0712017525414046,5333.333333333333,0.008550825123687319,165.87875,0.037,0.32456140350877194,0-0-252-1,a,0e6115f2-Audio_SP19.v0,group_0,1,fave,141.4563118804108,63.58680855195867,8,la,"",0.08999999999997499,usar,plataforma,l,#,l,p,final
548.4466877129199,1558.8171037078907,2677.5157834432225,3.1176176286621424,3.822714414833055,3.5075672524687347,5512.820512820513,0.0013314741697803012,166.06775000000002,0.035,0.33653846153846156,0-0-253-2,a,0e6115f2-Audio_SP19.v0,group_0,1,fave,104.67713273236897,62.48866205337159,8,plataforma,"",0.07999999999998408,la,y,l,t,l,t,internal
612.4892502018729,1400.7081883513265,2663.1408904075306,3.532426673859992,3.6526615338314805,3.254973408794875,5333.333333333333,0.004279664189733525,166.22375,0.047,0.3263888888888889,0-0-253-4,a,0e6115f2-Audio_SP19.v0,group_0,1,fave,185.5286417702919,55.74329903381348,8,plataforma,"",0.12000000000000455,la,y,t,f,t,f,internal
