vowel,k,silhouette_score
a,2,0.3824673066492848
a,3,0.4551420218461544
a,4,0.3240149093520971
a,5,0.3459023385619103
a,6,0.3802171785967635
a,7,0.41386065019140483
a,8,0.4298806794616848
e,2,0.42098507781268846
e,3,0.4356864101149119
e,4,0.35588079425737745
e,5,0.3972660699689859
e,6,0.3707276270280166
e,7,0.37597145624655276
e,8,0.3783088024559217
i,2,0.30856495093521674
i,3,0.30966081334520346
i,4,0.3097495098107407
i,5,0.2768105743966825
i,6,0.28749267077332297
i,7,0.2965826535145208
i,8,0.31165631248708203
o,2,0.4281031445951275
o,3,0.4334253956521074
o,4,0.4553000189332709
o,5,0.42089939181613817
o,6,0.4285988706483616
o,7,0.40286517853965725
o,8,0.4045205467710654
u,2,0.39551374207961526
u,3,0.42374583093896284
u,4,0.3837630403879796
u,5,0.36029979048747623
u,6,0.36547909267792994
u,7,0.38193837290847577
u,8,0.36572656710448803
