audio,vowel,n_full_tokens,n_plot_tokens
7c3c98d2-Audio_SP13,e,1123,562
7c3c98d2-Audio_SP13,i,912,456
7c3c98d2-Audio_SP13,o,827,414
7c3c98d2-Audio_SP13,u,158,79
7dec1dd7-Audio_SP13,a,757,379
7dec1dd7-Audio_SP13,e,569,285
7dec1dd7-Audio_SP13,i,414,207
7dec1dd7-Audio_SP13,o,527,264
7dec1dd7-Audio_SP13,u,132,66
7e277fda-Audio_SP28,a,905,453
7e277fda-Audio_SP28,e,897,449
7e277fda-Audio_SP28,i,754,377
7e277fda-Audio_SP28,o,804,402
7e277fda-Audio_SP28,u,179,90
85c7895f-Audio_SP16,a,1659,830
85c7895f-Audio_SP16,e,1381,691
85c7895f-Audio_SP16,i,1278,639
85c7895f-Audio_SP16,o,1451,726
85c7895f-Audio_SP16,u,218,109
919b9bc1-Audio_SP14,a,504,252
919b9bc1-Audio_SP14,e,589,295
919b9bc1-Audio_SP14,i,454,227
919b9bc1-Audio_SP14,o,561,281
919b9bc1-Audio_SP14,u,112,56
9a0c18cb-Audio_SP14,a,602,301
9a0c18cb-Audio_SP14,e,410,205
9a0c18cb-Audio_SP14,i,417,209
9a0c18cb-Audio_SP14,o,585,293
9a0c18cb-Audio_SP14,u,107,54
a1a056ce-Audio_SP11,a,469,235
a1a056ce-Audio_SP11,e,487,244
a1a056ce-Audio_SP11,i,354,177
a1a056ce-Audio_SP11,o,355,178
a1a056ce-Audio_SP11,u,40,20
a452055c-Audio_SP11,a,1184,592
a452055c-Audio_SP11,e,911,456
a452055c-Audio_SP11,i,712,356
a452055c-Audio_SP11,o,964,482
a452055c-Audio_SP11,u,223,112
adad0062-Audio_SP17,a,1143,572
adad0062-Audio_SP17,e,1029,515
adad0062-Audio_SP17,i,799,400
adad0062-Audio_SP17,o,713,357
adad0062-Audio_SP17,u,209,105
c3533b36-Audio_SP16,a,579,290
c3533b36-Audio_SP16,e,499,250
c3533b36-Audio_SP16,i,313,157
c3533b36-Audio_SP16,o,524,262
c3533b36-Audio_SP16,u,109,55
cafd9c21-Audio_SP27,a,1563,782
cafd9c21-Audio_SP27,e,1306,653
cafd9c21-Audio_SP27,i,969,485
cafd9c21-Audio_SP27,o,1154,577
cafd9c21-Audio_SP27,u,206,103
d4c363bf-Audio_SP13,a,975,488
d4c363bf-Audio_SP13,e,912,456
d4c363bf-Audio_SP13,i,819,410
d4c363bf-Audio_SP13,o,678,339
d4c363bf-Audio_SP13,u,153,77
dbeec025-Audio_SP13,a,900,450
dbeec025-Audio_SP13,e,709,355
dbeec025-Audio_SP13,i,459,230
dbeec025-Audio_SP13,o,595,298
dbeec025-Audio_SP13,u,151,76
e90f8e4d-Audio_SP22,a,694,347
e90f8e4d-Audio_SP22,e,626,313
e90f8e4d-Audio_SP22,i,497,249
e90f8e4d-Audio_SP22,o,670,335
e90f8e4d-Audio_SP22,u,135,68
f061152e-Audio_SP12,a,930,465
f061152e-Audio_SP12,e,812,406
f061152e-Audio_SP12,i,581,291
f061152e-Audio_SP12,o,586,293
f061152e-Audio_SP12,u,110,55
fcd45f4d-Audio_SP21,a,715,358
fcd45f4d-Audio_SP21,e,596,298
fcd45f4d-Audio_SP21,i,436,218
fcd45f4d-Audio_SP21,o,703,352
fcd45f4d-Audio_SP21,u,123,62
