half,n_tokens,n_vowels_present,min_tokens_per_vowel,vowel_space_area,mean_pairwise_centroid_distance,min_pairwise_centroid_distance,mean_pairwise_separation_score,min_pairwise_separation_score,mean_within_vowel_dispersion,silhouette_by_vowel
H1,1208,5,59,168662.70681836776,684.5290675935863,141.63286061801,3.10949166584031,0.6498490293580974,215.8904818727769,0.14485083871407659
H2,913,5,48,205928.9402408083,683.1584189601592,198.11998020311307,3.3134348507311238,0.8600899380023719,203.75067886429002,0.1447815351386133
