audio,vowel,f1_median,f2_median,f3_median
061ea7d0-Audio_SP16,o,529.2476879146652,1077.7578147473548,2479.954871794016
0af9ac47-Audio_SP14,o,601.7086366057465,1186.898676995732,2332.2288388123734
0e6115f2-Audio_SP19,o,466.2474762760978,1169.4068830621834,2642.322796952624
0f786745-Audio_SP20,o,503.8187965157098,935.7038259934844,2476.687529953062
12c532f8-Audio_SP15,o,492.35126714639387,1104.242746902523,2448.4146495208493
181d5ce9-Audio_SP21,o,489.0580274897175,1122.234736047366,2615.492783261776
1c403477-Audio_SP13,o,478.58031892828274,1103.082825791932,2391.97693057106
1d46eb6e-Audio_SP18,o,510.3566313335526,1100.1029949146955,2687.9168935991765
2988c6fc-Audio_SP13,o,501.77046003017966,1030.6250940465006,2810.306397641499
2e25304d-Audio_SP12,o,646.2882278337952,1268.773412814112,2789.5947359650945
30a90cb2-Audio_SP21,o,478.912376944758,1188.5677336381789,2570.93764139352
3361ee02-Audio_SP10,o,475.1720362798924,1116.1011052006993,2302.4924006829824
34ad326e-Audio_SP7,o,523.181136763697,1115.2216878827894,2623.6176561378406
375a28cd-Audio_SP16,o,468.64214901538577,985.8158179755766,2399.524442572805
42d56bbf-Audio_SP23,o,397.6124858481869,963.3294256862428,2359.4201661019915
49ae7020-Audio_SP17,o,571.463190162369,1138.8638080084982,2686.744325526301
501e6487-Audio_SP19,o,417.62918961509934,1156.2871557735175,2077.669313801108
514fc6b6-Audio_SP19,o,585.6740601809934,1191.0330761731277,3086.9716061915974
51a17262-Audio_SP18,o,498.52475526709503,1007.7391877290588,2089.6780791523465
5278b5b9-Audio_SP15,o,416.7302761578784,1185.4477293377597,2544.4992469032445
5586979c-Audio_SP18,o,505.3922517455434,1149.1790294959792,2383.7904476214944
5819ce7a-Audio_SP11,o,541.2232803672385,1118.542887240905,2400.6590515347298
5a932187-audio_SP16,o,572.5852856468946,1378.2347048952006,2552.238132461372
63239054-Audio_SP15,o,514.9711017645832,1094.4855307134071,2644.6101764548243
713a2f9b-Audio_SP16,o,446.9568007176956,1089.4097384888985,2581.9188914556075
7a414497-Audio_SP15,o,539.291399142744,1139.8428795610912,2570.350290334098
7aee4437-Audio_SP12,o,518.646572223963,1188.7982337180174,2231.488842748769
7c3c98d2-Audio_SP13,o,629.2976685259247,1348.2862424776984,2918.016792966443
7dec1dd7-Audio_SP13,o,509.93664766640825,1159.299860823991,2748.553938893465
7e277fda-Audio_SP28,o,518.0803010582499,1003.2869642161942,2163.25230530694
85c7895f-Audio_SP16,o,451.2528596696057,972.119783228264,2650.690935793154
919b9bc1-Audio_SP14,o,498.5552797104741,1113.0031342948498,2654.660135068046
9a0c18cb-Audio_SP14,o,487.5286412498596,968.6708890490952,2260.580978840589
a1a056ce-Audio_SP11,o,510.5079911853401,1104.809299783717,3016.131819027838
a452055c-Audio_SP11,o,437.6527304457022,995.370611612758,2656.935500403908
adad0062-Audio_SP17,o,505.16989770063896,1028.9719074410073,2165.393379659303
c3533b36-Audio_SP16,o,496.1663508031624,1018.425424562808,2178.6448167384374
cafd9c21-Audio_SP27,o,519.7949528657623,1054.3292024346126,2417.1445477865955
d4c363bf-Audio_SP13,o,495.0803713459371,1125.3837612144334,2539.6525411989105
dbeec025-Audio_SP13,o,572.2418618768222,1096.950758472241,2642.567956988586
e90f8e4d-Audio_SP22,o,485.9719788216072,1007.2312930569356,2689.7632383078158
f061152e-Audio_SP12,o,586.0877437534923,1246.511283743924,2335.6663181493414
fcd45f4d-Audio_SP21,o,478.5544978352185,982.2333116962157,2431.4759787018384
