vowel,best_k_by_silhouette,best_silhouette_score,calinski_harabasz_at_best_k,davies_bouldin_at_best_k,n_speakers
a,3,0.3414996503680037,33.61472066817892,0.8046964410136729,43
e,3,0.36929499848238534,25.467314076680907,0.90064390965329,43
i,3,0.46114023345582195,28.676790660417357,0.7071767773129963,43
o,8,0.28889007341313033,18.992810389625134,0.8682810620327953,43
u,6,0.28396699812072623,15.500326042494889,0.9317806724054436,43
