audio,speaker_code,vowel,cluster,f1_median,f2_median,f3_median
12c532f8-Audio_SP15,5,e,1,436.1538251582683,1912.862381987955,2434.614961956544
181d5ce9-Audio_SP21,6,e,1,458.876091166838,1811.3348776266407,2619.4631583979617
1c403477-Audio_SP13,7,e,1,458.0793444144157,1869.7016316834447,2450.8990923699102
1d46eb6e-Audio_SP18,8,e,2,490.300825558849,2070.4044087322627,2767.177263180875
2988c6fc-Audio_SP13,9,e,2,481.3558021554612,2022.4070270386585,2855.391852720355
2e25304d-Audio_SP12,10,e,2,575.1272060507195,1986.8609173036496,2880.25494293918
30a90cb2-Audio_SP21,11,e,1,460.8073887212599,1841.449016769686,2787.305808396686
3361ee02-Audio_SP10,12,e,1,441.9034911383739,1639.4236439612512,2504.2823067181635
34ad326e-Audio_SP7,13,e,1,440.8082939698892,1683.6885382323585,2771.3500867170005
375a28cd-Audio_SP16,14,e,3,439.3384316889497,2198.891652626688,3938.096608170023
42d56bbf-Audio_SP23,15,e,3,391.443752732736,1971.9312223859065,3333.2639954252463
49ae7020-Audio_SP17,16,e,2,549.8002336625806,1945.9531979114104,2713.424458374807
501e6487-Audio_SP19,17,e,1,406.0862720062988,1733.3190307229577,2305.661126944992
514fc6b6-Audio_SP19,18,e,2,569.5252795531554,2208.673887283487,3162.1240679926577
51a17262-Audio_SP18,19,e,2,512.2561462495378,2072.0085852707325,2995.639196936981
5278b5b9-Audio_SP15,20,e,1,387.8139001765837,1946.9746455712268,2642.597465828125
5586979c-Audio_SP18,21,e,1,478.26414822172114,1860.340573153164,2514.087156646166
5819ce7a-Audio_SP11,22,e,2,518.7199089563904,2103.301331840108,2725.6989642427243
5a932187-audio_SP16,23,e,2,539.7023906022721,1822.2011038079715,2590.412544074092
63239054-Audio_SP15,24,e,1,468.40901741239645,1800.8054064492533,2579.573633614534
713a2f9b-Audio_SP16,25,e,1,419.822377144979,1787.668882688415,2574.0366233394693
7a414497-Audio_SP15,26,e,2,523.7365748651381,1828.3129029912743,2645.330034776546
7aee4437-Audio_SP12,27,e,2,520.6957793353644,1931.0980524556635,2733.1716855625164
7c3c98d2-Audio_SP13,28,e,2,502.7022725570995,2006.675369240936,2988.264228602658
7dec1dd7-Audio_SP13,29,e,1,447.7030326919797,1841.990740783444,2659.0377661860407
7e277fda-Audio_SP28,30,e,2,534.8177036439233,1974.2373095128603,2600.726174704926
85c7895f-Audio_SP16,31,e,1,412.9333796610936,1976.906292666752,2755.171618134604
919b9bc1-Audio_SP14,32,e,1,451.2098133479648,1893.2523338322085,2621.494209557709
9a0c18cb-Audio_SP14,33,e,1,443.82402778536857,1849.8259675000013,2598.326288834463
a1a056ce-Audio_SP11,34,e,2,504.25605692217874,2175.3810787259995,3136.9885638719607
a452055c-Audio_SP11,35,e,1,446.6448153767228,1755.6687164935213,2550.7538412881845
adad0062-Audio_SP17,36,e,1,486.4616234101477,1854.5483191140609,2529.3345377922924
c3533b36-Audio_SP16,37,e,1,477.07973814648005,1808.3731986377,2357.3948729863896
cafd9c21-Audio_SP27,38,e,1,502.513951679901,1735.529333990842,2426.2700646153576
d4c363bf-Audio_SP13,39,e,2,480.5955753876815,2113.211700758968,2732.192218948029
dbeec025-Audio_SP13,40,e,2,557.8579520393638,1668.941175297129,2630.560311125774
e90f8e4d-Audio_SP22,41,e,1,476.3367008471332,1965.6718614740776,2650.769368161251
f061152e-Audio_SP12,42,e,2,584.8135835661226,1907.247958975861,2926.4434815472773
fcd45f4d-Audio_SP21,43,e,1,456.6498201487687,1807.510445204089,2432.652113005889
061ea7d0-Audio_SP16,1,i,1,414.9667912135186,2165.304763769491,2648.674434324106
0af9ac47-Audio_SP14,2,i,1,430.770601933547,2076.185294861082,2712.7867578303976
0e6115f2-Audio_SP19,3,i,1,361.9798692756276,2242.710787993946,2797.941664095952
0f786745-Audio_SP20,4,i,1,368.6180245235911,2176.7885625017234,2704.841871727333
12c532f8-Audio_SP15,5,i,1,342.33805972940934,2128.8003494464783,2460.837828540579
181d5ce9-Audio_SP21,6,i,1,348.7632974620207,2026.306804261761,2719.4473528777103
1c403477-Audio_SP13,7,i,1,372.8142985129683,2127.747631671456,2840.465952513506
1d46eb6e-Audio_SP18,8,i,3,389.8127923134527,2328.1856304511066,2995.2953354379747
2988c6fc-Audio_SP13,9,i,1,350.5740576324679,2311.6932727965145,2949.094001489314
2e25304d-Audio_SP12,10,i,3,420.8222314108283,2393.8021657035506,2914.4637777181265
30a90cb2-Audio_SP21,11,i,1,391.0269216835491,2166.766835377606,2967.0059969499403
3361ee02-Audio_SP10,12,i,1,327.4631769980781,1808.6533619470224,2758.6700685097408
34ad326e-Audio_SP7,13,i,2,324.244216862576,2081.603492279575,3497.402613628172
375a28cd-Audio_SP16,14,i,1,360.7315539799458,2076.099723923443,2864.876704144138
42d56bbf-Audio_SP23,15,i,2,300.0523742218971,2191.908520672724,3490.0732014486125
49ae7020-Audio_SP17,16,i,3,463.7514279429016,2350.297638223938,2964.9076790390486
501e6487-Audio_SP19,17,i,1,315.1124023829682,1940.5327565557216,2456.581495541509
514fc6b6-Audio_SP19,18,i,3,469.5691193409915,2664.288483301759,3263.0727797554864
51a17262-Audio_SP18,19,i,3,408.5976290047712,2805.0985379376166,3257.8268329075945
5278b5b9-Audio_SP15,20,i,1,333.0615261311883,2224.365761051657,2776.7533691202843
5586979c-Audio_SP18,21,i,1,393.4612178596391,2113.587946735772,2661.3878216765934
5819ce7a-Audio_SP11,22,i,3,398.26607118562384,2366.687870232576,2866.6476809067576
5a932187-audio_SP16,23,i,1,386.6279313707991,2121.1818220481823,2658.4060574395576
63239054-Audio_SP15,24,i,1,377.5544605670518,2016.937289413809,2729.2805650230675
713a2f9b-Audio_SP16,25,i,1,327.0105516191462,2048.6550889617192,2714.1147930391494
7a414497-Audio_SP15,26,i,1,368.4185680847525,2148.479074393479,2753.1002399556683
7aee4437-Audio_SP12,27,i,3,427.7558827361903,2251.286759008278,2943.737185352076
7c3c98d2-Audio_SP13,28,i,3,340.93978333551024,2520.594418256848,3161.47980341499
7dec1dd7-Audio_SP13,29,i,1,362.710226230876,2085.7642427103183,2685.634634874453
7e277fda-Audio_SP28,30,i,1,409.4093360874458,2212.00755826398,2788.0504887725574
85c7895f-Audio_SP16,31,i,1,336.2113683691624,2117.0372489725896,2818.157430771761
919b9bc1-Audio_SP14,32,i,1,329.03184554219786,2188.637451754093,2794.63927360071
9a0c18cb-Audio_SP14,33,i,1,305.2818775997876,2020.921369510473,3010.36855606414
a1a056ce-Audio_SP11,34,i,3,432.16265944905007,2513.0205942955904,3228.290285980522
a452055c-Audio_SP11,35,i,1,350.1009875471542,2024.1236916583457,2627.4566435384286
adad0062-Audio_SP17,36,i,1,404.06514869413246,2070.575701064853,2696.457956698975
c3533b36-Audio_SP16,37,i,1,354.2790248296264,2042.3147727038,2592.373392967544
cafd9c21-Audio_SP27,38,i,1,391.29739987478393,1960.4317996553264,2524.6498572844785
d4c363bf-Audio_SP13,39,i,3,403.499217920337,2502.554278927994,3112.4966148897656
dbeec025-Audio_SP13,40,i,1,421.22242201447006,1980.126667758952,2766.939454161844
e90f8e4d-Audio_SP22,41,i,1,363.10855012588496,2311.7145530598577,2904.209943471042
f061152e-Audio_SP12,42,i,3,481.4955661090145,2411.643823070924,3066.743482596936
fcd45f4d-Audio_SP21,43,i,1,376.56710038081,1990.3813990246829,2579.9943648112157
061ea7d0-Audio_SP16,1,o,3,529.2476879146652,1077.7578147473548,2479.954871794016
0af9ac47-Audio_SP14,2,o,7,601.7086366057465,1186.898676995732,2332.2288388123734
0e6115f2-Audio_SP19,3,o,6,466.2474762760978,1169.4068830621834,2642.322796952624
0f786745-Audio_SP20,4,o,1,503.8187965157098,935.7038259934844,2476.687529953062
12c532f8-Audio_SP15,5,o,3,492.35126714639387,1104.242746902523,2448.4146495208493
181d5ce9-Audio_SP21,6,o,4,489.0580274897175,1122.234736047366,2615.492783261776
1c403477-Audio_SP13,7,o,3,478.58031892828274,1103.082825791932,2391.97693057106
1d46eb6e-Audio_SP18,8,o,4,510.3566313335526,1100.1029949146955,2687.9168935991765
2988c6fc-Audio_SP13,9,o,1,501.77046003017966,1030.6250940465006,2810.306397641499
2e25304d-Audio_SP12,10,o,8,646.2882278337952,1268.773412814112,2789.5947359650945
30a90cb2-Audio_SP21,11,o,6,478.912376944758,1188.5677336381789,2570.93764139352
3361ee02-Audio_SP10,12,o,3,475.1720362798924,1116.1011052006993,2302.4924006829824
34ad326e-Audio_SP7,13,o,4,523.181136763697,1115.2216878827894,2623.6176561378406
375a28cd-Audio_SP16,14,o,1,468.64214901538577,985.8158179755766,2399.524442572805
42d56bbf-Audio_SP23,15,o,1,397.6124858481869,963.3294256862428,2359.4201661019915
49ae7020-Audio_SP17,16,o,4,571.463190162369,1138.8638080084982,2686.744325526301
501e6487-Audio_SP19,17,o,2,417.62918961509934,1156.2871557735175,2077.669313801108
514fc6b6-Audio_SP19,18,o,5,585.6740601809934,1191.0330761731277,3086.9716061915974
51a17262-Audio_SP18,19,o,2,498.52475526709503,1007.7391877290588,2089.6780791523465
5278b5b9-Audio_SP15,20,o,6,416.7302761578784,1185.4477293377597,2544.4992469032445
5586979c-Audio_SP18,21,o,3,505.3922517455434,1149.1790294959792,2383.7904476214944
5819ce7a-Audio_SP11,22,o,3,541.2232803672385,1118.542887240905,2400.6590515347298
5a932187-audio_SP16,23,o,8,572.5852856468946,1378.2347048952006,2552.238132461372
63239054-Audio_SP15,24,o,4,514.9711017645832,1094.4855307134071,2644.6101764548243
713a2f9b-Audio_SP16,25,o,6,446.9568007176956,1089.4097384888985,2581.9188914556075
7a414497-Audio_SP15,26,o,4,539.291399142744,1139.8428795610912,2570.350290334098
7aee4437-Audio_SP12,27,o,3,518.646572223963,1188.7982337180174,2231.488842748769
7c3c98d2-Audio_SP13,28,o,8,629.2976685259247,1348.2862424776984,2918.016792966443
7dec1dd7-Audio_SP13,29,o,4,509.93664766640825,1159.299860823991,2748.553938893465
7e277fda-Audio_SP28,30,o,2,518.0803010582499,1003.2869642161942,2163.25230530694
85c7895f-Audio_SP16,31,o,1,451.2528596696057,972.119783228264,2650.690935793154
919b9bc1-Audio_SP14,32,o,4,498.5552797104741,1113.0031342948498,2654.660135068046
9a0c18cb-Audio_SP14,33,o,1,487.5286412498596,968.6708890490952,2260.580978840589
a1a056ce-Audio_SP11,34,o,5,510.5079911853401,1104.809299783717,3016.131819027838
a452055c-Audio_SP11,35,o,1,437.6527304457022,995.370611612758,2656.935500403908
adad0062-Audio_SP17,36,o,2,505.16989770063896,1028.9719074410073,2165.393379659303
c3533b36-Audio_SP16,37,o,2,496.1663508031624,1018.425424562808,2178.6448167384374
cafd9c21-Audio_SP27,38,o,3,519.7949528657623,1054.3292024346126,2417.1445477865955
d4c363bf-Audio_SP13,39,o,4,495.0803713459371,1125.3837612144334,2539.6525411989105
dbeec025-Audio_SP13,40,o,4,572.2418618768222,1096.950758472241,2642.567956988586
e90f8e4d-Audio_SP22,41,o,1,485.9719788216072,1007.2312930569356,2689.7632383078158
f061152e-Audio_SP12,42,o,7,586.0877437534923,1246.511283743924,2335.6663181493414
fcd45f4d-Audio_SP21,43,o,1,478.5544978352185,982.2333116962157,2431.4759787018384
061ea7d0-Audio_SP16,1,u,5,463.396465367674,919.3433210048148,2461.9849218359177
0af9ac47-Audio_SP14,2,u,5,484.65174249209815,1057.714179375334,2353.4681350157152
0e6115f2-Audio_SP19,3,u,2,403.1577607606431,982.3435833373592,2591.9276888723207
0f786745-Audio_SP20,4,u,2,392.6738190139528,819.2969870574867,2501.689533999911
12c532f8-Audio_SP15,5,u,2,424.9503410050058,906.9393148913596,2530.405040377488
181d5ce9-Audio_SP21,6,u,4,362.0744260890253,928.3703287687084,2581.481093452334
1c403477-Audio_SP13,7,u,1,409.0953939649327,951.4957379444772,2364.02377672939
1d46eb6e-Audio_SP18,8,u,2,429.3830480766045,891.974585002455,2701.680089723593
2988c6fc-Audio_SP13,9,u,2,425.9377099391624,897.3243534150889,2821.0101242215947
2e25304d-Audio_SP12,10,u,3,498.54314881731,937.4160717948253,2672.809743502132
30a90cb2-Audio_SP21,11,u,5,418.6653028479277,1050.114584733094,2536.305074369514
3361ee02-Audio_SP10,12,u,1,394.5243415210237,972.2735361093628,2230.133414932501
34ad326e-Audio_SP7,13,u,4,357.0016975366337,964.5957255395532,2584.5947411859947
375a28cd-Audio_SP16,14,u,1,412.670403975195,845.450760096715,2368.874861941173
42d56bbf-Audio_SP23,15,u,1,339.04996468135096,792.9646724867293,2249.4307823969416
49ae7020-Audio_SP17,16,u,3,502.0233756931644,954.9290121085972,2691.118953500301
501e6487-Audio_SP19,17,u,4,356.59563758039883,1071.3555951748183,2164.337365022233
514fc6b6-Audio_SP19,18,u,3,498.0778283096007,873.3472533816238,3044.1032886179546
51a17262-Audio_SP18,19,u,2,441.9585131673136,916.4845745850536,2696.6940507981444
5278b5b9-Audio_SP15,20,u,6,356.2899651987251,1138.7376982365845,2608.122617046884
5586979c-Audio_SP18,21,u,5,442.3057582097944,1018.2689828587676,2434.8864941546008
5819ce7a-Audio_SP11,22,u,5,460.7589559721139,973.7771957354092,2459.979378375984
5a932187-audio_SP16,23,u,5,484.37835255644495,1193.1836767731015,2479.2285219368114
63239054-Audio_SP15,24,u,2,432.5440503390523,952.351143381052,2610.884175375945
713a2f9b-Audio_SP16,25,u,4,373.4504956335479,1017.591613213347,2570.47147548093
7a414497-Audio_SP15,26,u,2,409.485653608252,992.7449020340098,2489.759987725442
7aee4437-Audio_SP12,27,u,5,461.6247067201473,1097.6118000296494,2557.3224153435967
7c3c98d2-Audio_SP13,28,u,6,384.2300811559452,1197.0577195017145,2922.644074667476
7dec1dd7-Audio_SP13,29,u,2,416.94373833122927,927.5592837035234,2686.6616936923447
7e277fda-Audio_SP28,30,u,1,449.6995008256927,894.0251391319285,2298.5965377165694
85c7895f-Audio_SP16,31,u,4,364.2411622643758,998.8292556763474,2610.7901192929867
919b9bc1-Audio_SP14,32,u,5,427.4945633732293,1065.2508178791531,2557.8268264148583
9a0c18cb-Audio_SP14,33,u,1,399.08562807486175,817.342751467971,2194.65768448671
a1a056ce-Audio_SP11,34,u,2,432.05138042671376,901.4936298231002,2770.4801696823065
a452055c-Audio_SP11,35,u,2,393.28584273756553,876.7333404203047,2643.494386144698
adad0062-Audio_SP17,36,u,5,443.1538767376656,1009.5310479326408,2279.33947894522
c3533b36-Audio_SP16,37,u,1,438.7150328647799,870.3360372571398,2217.6121452198804
cafd9c21-Audio_SP27,38,u,1,421.91852962558,891.7463465220592,2363.791936740353
d4c363bf-Audio_SP13,39,u,2,438.38045946358034,994.4002414132538,2584.7046125260968
dbeec025-Audio_SP13,40,u,3,474.67895061699113,978.58161301206,2667.8335191278807
e90f8e4d-Audio_SP22,41,u,2,398.3404778959821,794.6830916117715,2665.503724094372
f061152e-Audio_SP12,42,u,5,489.5655292741939,1010.567984132161,2209.068153097908
fcd45f4d-Audio_SP21,43,u,2,424.5716626359148,804.7419504000968,2520.3761481074143
