vowel,k,silhouette_score,calinski_harabasz_score,davies_bouldin_score,n_clusters_observed
a,2,0.3225108619795384,27.449752857882107,1.0332862906861546,2
a,3,0.3414996503680037,33.61472066817892,0.8046964410136729,3
a,4,0.3268102869861362,36.50689423135413,0.8081602897462083,4
a,5,0.26039444494176606,32.72461118148453,0.9363220545869639,5
a,6,0.22091759511498446,31.506738030241294,1.096918524124429,6
a,7,0.25773889895726937,32.27414625978576,0.94175338899849,7
a,8,0.25093768462506455,31.70303191425678,0.9835471108787228,8
e,2,0.33609498991949865,22.165208037786666,1.1432326961267194,2
e,3,0.36929499848238534,25.467314076680907,0.90064390965329,3
e,4,0.3320956084095998,26.8855107927889,0.9078435795483025,4
e,5,0.2582752528125697,24.79110148679572,1.0137371106055193,5
e,6,0.27951008021761453,24.41337238549913,0.9810583821997106,6
e,7,0.27445850847569364,23.94965783452618,0.8115750883876746,7
e,8,0.2644965662514588,23.716223474594813,0.8475960023068101,8
i,2,0.42735708434449077,30.889948997211654,1.029368780384127,2
i,3,0.46114023345582195,28.676790660417357,0.7071767773129963,3
i,4,0.289170633176623,26.688581296430772,0.8912999133018209,4
i,5,0.27590008659254495,25.954149810977967,1.0009566232628608,5
i,6,0.2956822659704699,27.60226644687135,0.985993039374304,6
i,7,0.2882661852391704,26.581565822340462,0.8500636008142196,7
i,8,0.2927075087314796,26.461292241684045,0.8171080817269714,8
o,2,0.2546110649571033,20.961192148742217,1.2911405555804318,2
o,3,0.2161214381388062,18.770819909206757,1.1561516788056807,3
o,4,0.22937934674050425,18.400009730856592,1.1976247119144445,4
o,5,0.23920422414515885,18.29642343479681,1.1296613345949258,5
o,6,0.24929550168987608,17.567983378747176,0.9955307091140092,6
o,7,0.25257234066369794,17.867390722656783,0.9903236559179353,7
o,8,0.28889007341313033,18.992810389625134,0.8682810620327953,8
u,2,0.16123161425115382,9.47955580118934,1.7847893723264487,2
u,3,0.2263682294022623,11.691350732396648,1.4081676806137768,3
u,4,0.2557439003625499,14.68962705679561,1.0752832486931845,4
u,5,0.27646325273179084,15.609037125367747,0.985566750222058,5
u,6,0.28396699812072623,15.500326042494889,0.9317806724054436,6
u,7,0.2661088050288342,15.128350555203975,0.9153429786453099,7
u,8,0.27153395312767925,15.269789866324624,0.9494035846436691,8
