F1,F2,F3,B1,B2,B3,max_formant,smooth_error,time,rel_time,prop_time,id,label,file_name,group,speaker_num,point_heuristic,f0,intensity,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context,chunk_part,chunk_offset,chunk_time,original_chunk_id,chunk_file_name,B1_Hz,B2_Hz,B3_Hz,_source_file,_audio_id,_token_time,_audio_duration,_split_time,_time_basis,_split_basis,half
297.68523617451626,2324.203679338161,3503.1668072535736,2.365589086155863,2.805206036611688,2.9572263237784853,6589.74358974359,0.0038790764570951,3087.55075,0.061,0.3315217391304348,part06_0-0-289-0,i,42d56bbf-Audio_SP23.v0,group_0,1,fave,144.2986625916153,73.60435828321204,8,y,,0.1599999999998544,",",esa,#,#,.,é,coextensive,6,3000.0,87.55074999999998,0-0-289-0,42d56bbf-Audio_SP23_part06,10.650310920643053,16.5304814396037,19.244519593884423,42d56bbf-Audio_SP23.csv,42d56bbf-Audio_SP23,3087.55075,6174.432,3087.216,time column: time,audio_duration,H2
377.76099568490775,1772.7256752551486,2776.634827089245,3.745413304474266,3.3972078073874266,5.0109237959203226,6230.769230769231,0.0166731097737715,3087.88375,0.047,0.3263888888888889,part06_0-0-291-0,y,42d56bbf-Audio_SP23.v0,group_0,1,fave,173.83315483634803,74.24592603425336,8,yo,,0.1199999999998908,esa,puedo,#,ó,a,ó,initial,6,3000.0,87.88375000000012,0-0-291-0,42d56bbf-Audio_SP23_part06,42.32649733494575,29.880551205113623,150.04328151670808,42d56bbf-Audio_SP23.csv,42d56bbf-Audio_SP23,3087.88375,6174.432,3087.216,time column: time,audio_duration,H2
342.2368290929674,688.366322450201,1871.8613243652223,2.333484080779803,2.971483632466734,4.553935861278735,4794.871794871795,0.0064224346567673,3088.15375,0.047,0.3263888888888889,part06_0-0-292-1,u,42d56bbf-Audio_SP23.v0,group_0,1,fave,172.34811702736283,82.25962581052922,8,puedo,,0.1199999999998908,yo,alcanzar,p,é,p,é,internal,6,3000.0,88.1537500000001,0-0-292-1,42d56bbf-Audio_SP23_part06,10.313813165140033,19.520859903864377,95.00560228460924,42d56bbf-Audio_SP23.csv,42d56bbf-Audio_SP23,3088.15375,6174.432,3087.216,time column: time,audio_duration,H2
470.24570021436153,1283.8221002768926,2161.931275893115,3.468590864512312,4.301136635757188,4.73465423201911,4435.897435897436,0.0004029452327888,3088.32375,0.027,0.3214285714285714,part06_0-0-292-4,o,42d56bbf-Audio_SP23.v0,group_0,1,fave,179.87666976094593,71.55347178937156,8,puedo,,0.0599999999999454,yo,alcanzar,d,#,d,a,final,6,3000.0,88.32374999999995,0-0-292-4,42d56bbf-Audio_SP23_part06,32.09148931190139,73.78361114634171,113.82409518570866,42d56bbf-Audio_SP23.csv,42d56bbf-Audio_SP23,3088.32375,6174.432,3087.216,time column: time,audio_duration,H2
352.80272590433293,1511.8451511024514,2306.561398314967,3.371610066037596,3.886050026658652,3.202318508134911,4435.897435897436,0.0013530950162358,3088.38775,0.035,0.3365384615384616,part06_0-0-293-0,a,42d56bbf-Audio_SP23.v0,group_0,1,fave,175.29715559643284,75.09546846035371,8,alcanzar,,0.0799999999999272,puedo,en,#,l,o,l,initial,6,3000.0,88.38774999999988,0-0-293-0,42d56bbf-Audio_SP23_part06,29.12538311718896,48.71807088487515,24.589475055991752,42d56bbf-Audio_SP23.csv,42d56bbf-Audio_SP23,3088.38775,6174.432,3087.216,time column: time,audio_duration,H2
532.3587437389077,1451.2854190796722,2169.780415020564,2.904100744821625,3.081784461045346,4.035755582873496,5153.846153846154,4.39828811868e-05,3088.59575,0.031,0.3297872340425531,part06_0-0-293-3,a,42d56bbf-Audio_SP23.v0,group_0,1,fave,156.04002904193192,79.51637388080162,8,alcanzar,,0.0700000000001637,puedo,en,k,n,k,n,internal,6,3000.0,88.59574999999992,0-0-293-3,42d56bbf-Audio_SP23_part06,18.248825920242258,21.797264080951084,56.58565924486987,42d56bbf-Audio_SP23.csv,42d56bbf-Audio_SP23,3088.59575,6174.432,3087.216,time column: time,audio_duration,H2
184.80787862226467,1971.164816702082,2161.966909136256,2.083025028698476,3.420063082620168,3.74531773144691,4435.897435897436,0.0067593402102106,3089.18775,0.035,0.3365384615384616,part06_0-0-295-3,i,42d56bbf-Audio_SP23.v0,group_0,1,fave,165.17359456546058,67.91143420166303,8,sitio,,0.0799999999999272,en,determinado,t,o,t,o,internal,6,3000.0,89.18775000000007,0-0-295-3,42d56bbf-Audio_SP23_part06,8.028719323076867,30.57134348067224,42.32245225676135,42d56bbf-Audio_SP23.csv,42d56bbf-Audio_SP23,3089.18775,6174.432,3087.216,time column: time,audio_duration,H2
408.7609207685844,1023.5924949159388,2405.287692130285,2.7359659036184456,3.39553179053033,4.171698529404119,4794.871794871795,0.0023556893089446,3089.27375,0.047,0.3263888888888889,part06_0-0-295-4,o,42d56bbf-Audio_SP23.v0,group_0,1,fave,139.33815417267255,74.105947919577,8,sitio,,0.1199999999998908,en,determinado,i,#,i,d,final,6,3000.0,89.27374999999999,0-0-295-4,42d56bbf-Audio_SP23_part06,15.424634953601029,29.830512841877944,64.82546661069334,42d56bbf-Audio_SP23.csv,42d56bbf-Audio_SP23,3089.27375,6174.432,3087.216,time column: time,audio_duration,H2
413.2180587636979,2284.8718489797475,3620.637985920516,1.8305275698512693,4.060650553590458,3.7223534339837,6410.25641025641,0.0001932354056861,3089.43375,0.027,0.3214285714285714,part06_0-0-296-1,e,42d56bbf-Audio_SP23.v0,group_0,1,fave,131.84730656514645,79.81305403042528,8,determinado,,0.0599999999999454,sitio,hasta,d,t,d,t,internal,6,3000.0,89.43375000000007,0-0-296-1,42d56bbf-Audio_SP23_part06,6.237176336873242,58.01203874579,41.36162150027092,42d56bbf-Audio_SP23.csv,42d56bbf-Audio_SP23,3089.43375,6174.432,3087.216,time column: time,audio_duration,H2
432.1484304799139,1824.4869492111795,3591.033944391648,2.329769880349035,3.6919075540620057,3.5408892774176266,6769.2307692307695,8.700982122579982e-06,3089.57275,0.025,0.3378378378378378,part06_0-0-296-3,e,42d56bbf-Audio_SP23.v0,group_0,1,fave,420.30100055164087,75.47312779184352,8,determinado,,0.0500000000001819,sitio,hasta,t,R,t,R,internal,6,3000.0,89.57274999999994,0-0-296-3,42d56bbf-Audio_SP23_part06,10.275576648838827,40.121307570954414,34.49758347625643,42d56bbf-Audio_SP23.csv,42d56bbf-Audio_SP23,3089.57275,6174.432,3087.216,time column: time,audio_duration,H2
