pair,centroid_distance_H1,centroid_distance_H2
i-e,275.6356955440108,277.552485361808
i-a,667.3599616415767,677.9592813352717
i-o,1122.4182099632849,1061.4003323130703
i-u,1269.1377963377013,1232.4583997349716
e-a,392.8179614535203,401.6777662733075
e-o,859.5772737189122,794.4696868381527
e-u,1011.3786685811318,972.4847698215372
a-o,538.7327020736496,465.6573725757841
a-u,699.4236322372872,657.8251991579848
o-u,160.74697989823133,192.3399855269367
