pair,centroid_distance_H1,centroid_distance_H2
i-e,333.0752455574328,328.02283399137366
i-a,751.0372100722627,743.5741574035608
i-o,976.5478868374825,982.0348081241685
i-u,1168.312415585612,1049.8505929857577
e-a,418.10459305415657,416.01406300640394
e-o,646.848881895805,657.8370775758783
e-u,844.1239854216369,729.7049822819594
a-o,254.41201902946855,276.7774498619415
a-u,464.3789176824504,363.5739432888485
o-u,210.0872431393037,89.53165559649126
