h1_audio,predicted_h2_audio,true_h2_audio,is_correct,true_match_rank,assigned_cost,true_match_cost,best_candidate_cost_for_this_h1,second_best_candidate_cost_for_this_h1,margin_best_to_second
061ea7d0-Audio_SP16,a1a056ce-Audio_SP11,061ea7d0-Audio_SP16,False,14,0.6435536811761187,0.8139328631206784,0.4245751604112829,0.4916935744405857,0.0671184140293028
0af9ac47-Audio_SP14,0af9ac47-Audio_SP14,0af9ac47-Audio_SP14,True,1,0.548475607404587,0.548475607404587,0.548475607404587,0.5826557697117108,0.0341801623071238
0e6115f2-Audio_SP19,5586979c-Audio_SP18,0e6115f2-Audio_SP19,False,3,0.4228364030319493,0.4350452983150202,0.2963360679417194,0.4228364030319493,0.1265003350902298
0f786745-Audio_SP20,0f786745-Audio_SP20,0f786745-Audio_SP20,True,1,0.3743405960992301,0.3743405960992301,0.3743405960992301,0.8929498020901127,0.5186092059908826
12c532f8-Audio_SP15,12c532f8-Audio_SP15,12c532f8-Audio_SP15,True,1,0.4100058115356418,0.4100058115356418,0.4100058115356418,0.5692670286303815,0.1592612170947396
181d5ce9-Audio_SP21,181d5ce9-Audio_SP21,181d5ce9-Audio_SP21,True,2,0.5595929232733412,0.5595929232733412,0.53651931738899,0.5595929232733412,0.0230736058843512
1c403477-Audio_SP13,1c403477-Audio_SP13,1c403477-Audio_SP13,True,1,0.2343272769775251,0.2343272769775251,0.2343272769775251,0.3731991994708394,0.1388719224933143
1d46eb6e-Audio_SP18,1d46eb6e-Audio_SP18,1d46eb6e-Audio_SP18,True,1,0.2345711238554146,0.2345711238554146,0.2345711238554146,0.4354540629522004,0.2008829390967857
2988c6fc-Audio_SP13,2988c6fc-Audio_SP13,2988c6fc-Audio_SP13,True,1,0.3612195104475719,0.3612195104475719,0.3612195104475719,0.4609461001892996,0.0997265897417277
2e25304d-Audio_SP12,2e25304d-Audio_SP12,2e25304d-Audio_SP12,True,1,0.5193990147094109,0.5193990147094109,0.5193990147094109,0.741457039570916,0.2220580248615051
30a90cb2-Audio_SP21,30a90cb2-Audio_SP21,30a90cb2-Audio_SP21,True,3,0.6595858231104458,0.6595858231104458,0.6062000089381328,0.6423652191925143,0.0361652102543815
3361ee02-Audio_SP10,0e6115f2-Audio_SP19,3361ee02-Audio_SP10,False,1,0.831780091139189,0.6962511651723916,0.6962511651723916,0.7447951300739958,0.0485439649016041
34ad326e-Audio_SP7,34ad326e-Audio_SP7,34ad326e-Audio_SP7,True,1,0.6329169922243146,0.6329169922243146,0.6329169922243146,0.7088092798640869,0.0758922876397723
375a28cd-Audio_SP16,375a28cd-Audio_SP16,375a28cd-Audio_SP16,True,1,0.6079630839799329,0.6079630839799329,0.6079630839799329,1.0144617001019185,0.4064986161219855
42d56bbf-Audio_SP23,42d56bbf-Audio_SP23,42d56bbf-Audio_SP23,True,1,0.1099330474144785,0.1099330474144785,0.1099330474144785,0.4985934731278642,0.3886604257133856
49ae7020-Audio_SP17,3361ee02-Audio_SP10,49ae7020-Audio_SP17,False,2,0.4901289856074852,0.5317919001724661,0.4901289856074852,0.5317919001724661,0.0416629145649808
501e6487-Audio_SP19,713a2f9b-Audio_SP16,501e6487-Audio_SP19,False,2,0.3475639181743835,0.3452545274438255,0.3162470124481359,0.3452545274438255,0.0290075149956896
514fc6b6-Audio_SP19,514fc6b6-Audio_SP19,514fc6b6-Audio_SP19,True,4,0.518789846138243,0.518789846138243,0.4294910770820261,0.4963332739356419,0.0668421968536158
51a17262-Audio_SP18,51a17262-Audio_SP18,51a17262-Audio_SP18,True,2,0.6683960346290592,0.6683960346290592,0.6650060255076125,0.6683960346290592,0.0033900091214467
5278b5b9-Audio_SP15,5278b5b9-Audio_SP15,5278b5b9-Audio_SP15,True,9,0.7093008376643027,0.7093008376643027,0.5519515314175238,0.5552396392022033,0.0032881077846794
5586979c-Audio_SP18,061ea7d0-Audio_SP16,5586979c-Audio_SP18,False,13,0.5674893406480654,0.6325910346800265,0.3449027400952171,0.3538322398126878,0.0089294997174707
5819ce7a-Audio_SP11,5819ce7a-Audio_SP11,5819ce7a-Audio_SP11,True,1,0.1984970702715312,0.1984970702715312,0.1984970702715312,0.4024575115629783,0.203960441291447
5a932187-audio_SP16,5a932187-audio_SP16,5a932187-audio_SP16,True,1,0.2804183739518894,0.2804183739518894,0.2804183739518894,0.7346633660196726,0.4542449920677832
63239054-Audio_SP15,63239054-Audio_SP15,63239054-Audio_SP15,True,5,0.5866288126345228,0.5866288126345228,0.4613617374388054,0.5456625177536145,0.084300780314809
713a2f9b-Audio_SP16,49ae7020-Audio_SP17,713a2f9b-Audio_SP16,False,8,0.4125474723697067,0.6263771852047153,0.3824641353005835,0.4125474723697067,0.0300833370691231
7a414497-Audio_SP15,7a414497-Audio_SP15,7a414497-Audio_SP15,True,2,0.4229856235754086,0.4229856235754086,0.3464955114963633,0.4229856235754086,0.0764901120790453
7aee4437-Audio_SP12,7aee4437-Audio_SP12,7aee4437-Audio_SP12,True,1,0.4980536976595332,0.4980536976595332,0.4980536976595332,0.5418313867655887,0.0437776891060555
7c3c98d2-Audio_SP13,7c3c98d2-Audio_SP13,7c3c98d2-Audio_SP13,True,1,0.3109014669739264,0.3109014669739264,0.3109014669739264,0.7244936226407661,0.4135921556668396
7dec1dd7-Audio_SP13,7dec1dd7-Audio_SP13,7dec1dd7-Audio_SP13,True,1,0.4486602080174187,0.4486602080174187,0.4486602080174187,0.4606152676631994,0.0119550596457806
7e277fda-Audio_SP28,7e277fda-Audio_SP28,7e277fda-Audio_SP28,True,1,0.1872684645536763,0.1872684645536763,0.1872684645536763,0.7537346562877112,0.5664661917340348
85c7895f-Audio_SP16,85c7895f-Audio_SP16,85c7895f-Audio_SP16,True,1,0.4382916886233279,0.4382916886233279,0.4382916886233279,0.7821287639448526,0.3438370753215247
919b9bc1-Audio_SP14,919b9bc1-Audio_SP14,919b9bc1-Audio_SP14,True,1,0.4161560529803939,0.4161560529803939,0.4161560529803939,0.6348983539192687,0.2187423009388748
9a0c18cb-Audio_SP14,9a0c18cb-Audio_SP14,9a0c18cb-Audio_SP14,True,7,0.7994788514731787,0.7994788514731787,0.6712681559276935,0.7159235113869092,0.0446553554592157
a1a056ce-Audio_SP11,e90f8e4d-Audio_SP22,a1a056ce-Audio_SP11,False,11,0.6101792583124673,0.8456419180717326,0.6073013566452085,0.6101792583124673,0.0028779016672588
a452055c-Audio_SP11,a452055c-Audio_SP11,a452055c-Audio_SP11,True,1,0.3103176224353618,0.3103176224353618,0.3103176224353618,0.4674298248289411,0.1571122023935792
adad0062-Audio_SP17,adad0062-Audio_SP17,adad0062-Audio_SP17,True,1,0.2717934028311173,0.2717934028311173,0.2717934028311173,0.4733891798336748,0.2015957770025574
c3533b36-Audio_SP16,c3533b36-Audio_SP16,c3533b36-Audio_SP16,True,3,0.4794802146413995,0.4794802146413995,0.429042330676753,0.4700103159541546,0.0409679852774015
cafd9c21-Audio_SP27,cafd9c21-Audio_SP27,cafd9c21-Audio_SP27,True,1,0.4459011812931148,0.4459011812931148,0.4459011812931148,0.6222673133144839,0.1763661320213691
d4c363bf-Audio_SP13,d4c363bf-Audio_SP13,d4c363bf-Audio_SP13,True,1,0.394847943579359,0.394847943579359,0.394847943579359,0.5775048649418711,0.1826569213625121
dbeec025-Audio_SP13,dbeec025-Audio_SP13,dbeec025-Audio_SP13,True,1,0.4385668551069101,0.4385668551069101,0.4385668551069101,0.4512481371088733,0.0126812820019632
e90f8e4d-Audio_SP22,501e6487-Audio_SP19,e90f8e4d-Audio_SP22,False,3,0.5741015270772757,0.6769243917040699,0.5741015270772757,0.6331197535508722,0.0590182264735965
f061152e-Audio_SP12,f061152e-Audio_SP12,f061152e-Audio_SP12,True,1,0.3004468959290217,0.3004468959290217,0.3004468959290217,0.7357414586665688,0.4352945627375471
fcd45f4d-Audio_SP21,fcd45f4d-Audio_SP21,fcd45f4d-Audio_SP21,True,5,0.5805392244830281,0.5805392244830281,0.409635784901447,0.4702246560170741,0.0605888711156271
