half,n_tokens,n_vowels_present,min_tokens_per_vowel,vowel_space_area,mean_pairwise_centroid_distance,min_pairwise_centroid_distance,mean_pairwise_separation_score,min_pairwise_separation_score,mean_within_vowel_dispersion,silhouette_by_vowel
H1,1372,5,51,229431.87684411684,737.0743854526988,280.3039032578812,2.9284368461808414,1.168434513645246,244.63036147358952,0.10428130603280811
H2,1566,5,59,228012.34484708024,722.5743791722699,249.5467038212242,2.9116569762171607,1.0294315127938873,244.3880802898297,0.11491608047775893
