pair,centroid_distance_H1,centroid_distance_H2
i-e,524.9517418319473,503.10996872960123
i-a,762.5778568042507,785.3072861569837
i-o,1172.0734088896004,1164.0194208440037
i-u,1435.0564523513822,1387.9318233758847
e-a,280.3039032578812,316.3229755135482
e-o,652.3384218723414,666.9511970841614
e-u,926.0009825233927,901.0079554305479
a-o,519.9421240697923,501.1306224034425
a-u,808.6564644989618,750.4158383633013
o-u,288.8424984274366,249.5467038212242
