half,n_tokens,n_vowels_present,min_tokens_per_vowel,vowel_space_area,mean_pairwise_centroid_distance,min_pairwise_centroid_distance,mean_pairwise_separation_score,min_pairwise_separation_score,mean_within_vowel_dispersion,silhouette_by_vowel
H1,885,5,34,146948.03722714682,623.3559101389458,226.67850214807538,3.1140931189657817,1.1581076544853084,197.40326278520644,0.11997902296541878
H2,871,5,38,150439.24222092048,586.9370928686222,218.55828842195,3.2216614951615403,1.081322085610079,179.46702502684485,0.12333993267658368
