half,vowel_1,vowel_2,pair,centroid_distance,pooled_within_dispersion,pairwise_separation_score,is_consecutive
H1,i,e,i-e,365.60132103327857,279.61447179431195,1.3075193093089246,True
H1,i,u,i-u,1734.867459313688,249.61101554544084,6.950284047051046,True
H1,e,a,e-a,671.4771314546665,284.9967735628508,2.3560867832301424,True
H1,a,o,a-o,472.76173038288346,267.2211816939501,1.7691776055550121,True
H1,o,u,o-u,338.0019929125027,204.41466410056094,1.6535114758020688,True
H2,i,e,i-e,542.465314164749,283.04705756118017,1.9165198848516416,True
H2,i,u,i-u,1823.8182201151703,251.05518301633668,7.2646109042747415,True
H2,e,a,e-a,468.908570154382,260.5239269914669,1.7998675805686764,True
H2,a,o,a-o,617.1469179325729,260.704943981869,2.3672236840107375,True
H2,o,u,o-u,302.4939136254457,240.04903804161702,1.2601338297094224,True
