center_f1,center_f2,cov_00_f2,cov_01,cov_11_f1,det_cov,region_level,chi2_q,width_f2_axis,height_f1_axis,angle_degrees,ellipse_area_analytic,raw_n_tokens,filtered_n_tokens,removed_outliers,removed_outliers_percent,audio,half,vowel
315.203844807071,1956.302749621819,46561.06694029598,-2115.028192626245,1582.6444772482644,69216271.19224244,0.8,3.218875824868201,775.0966968825375,138.20139538817006,177.31367192383541,84131.41542207549,513,493,20,3.898635477582846,501e6487-Audio_SP19,H1,i
412.5069285984497,1732.7628085862495,23535.93533333267,-1774.4126916088806,2052.2132022000546,45152216.8170493,0.8,3.218875824868201,552.187720773227,156.68124305072527,175.3101005157981,67950.6529983655,818,808,10,1.2224938875305624,501e6487-Audio_SP19,H1,e
542.4790549841105,1461.312809266281,16606.632122809027,-1338.8301266047988,12868.025208624169,211902094.6787495,0.8,3.218875824868201,468.3536222673468,400.1823737132282,162.19452639937427,147204.71498952745,867,858,9,1.0380622837370241,501e6487-Audio_SP19,H1,a
421.24462602401866,1181.2152353020335,37055.07367391355,1187.06433994013,2972.3316983266855,108730848.31764634,0.8,3.218875824868201,691.110993848381,194.26421214808894,-178.007669388256,105446.09086482975,612,607,5,0.8169934640522877,501e6487-Audio_SP19,H1,o
356.5079937751334,1083.713820594944,86525.07175744907,-2925.4088703286843,2239.3390940986183,185200958.74754587,0.8,3.218875824868201,1056.1058658990867,165.91222019008154,178.01454969253527,137618.14867565417,166,159,7,4.216867469879518,501e6487-Audio_SP19,H1,u
314.50531811463907,1932.8628356224694,47947.134853199255,-1396.9398478302437,2454.643315077925,115741673.10608931,0.8,3.218875824868201,786.0631522855094,176.21856237047533,178.242823050551,108792.50428635468,383,378,5,1.3054830287206265,501e6487-Audio_SP19,H2,i
399.3647909643937,1735.545647775216,19666.08516781323,-1041.17584985098,2766.7222831146505,53326548.90510651,0.8,3.218875824868201,504.0174210283831,186.547917840853,176.4876911277959,73845.8060285259,634,631,3,0.47318611987381703,501e6487-Audio_SP19,H2,e
544.2182086021594,1448.3614058007518,20460.977865622528,-1220.3145799387996,12736.742561912508,259117039.96541315,0.8,3.218875824868201,515.6245077574303,401.9561243464401,171.23250479422583,162780.38929377423,706,698,8,1.13314447592068,501e6487-Audio_SP19,H2,a
414.2007270525328,1139.7310035958403,33068.24247676913,643.9252637413636,2785.769937374847,91705876.0283209,0.8,3.218875824868201,652.6457553872762,188.92319368627372,-178.78239858335826,96839.53107127336,598,582,16,2.6755852842809364,501e6487-Audio_SP19,H2,o
356.05482410527014,971.120760297122,72747.5244371085,610.2982923996548,2764.901325106194,200767262.7086505,0.8,3.218875824868201,967.847876563954,188.49661769707134,-179.50039067204682,143284.93953236827,136,131,5,3.6764705882352944,501e6487-Audio_SP19,H2,u
