pair,centroid_distance_H1,centroid_distance_H2
i-e,333.6094840040392,364.2630244702145
i-a,646.417253367362,653.0052262901779
i-o,873.4970311482858,937.6710234765353
i-u,968.8313426514635,1048.2947083248853
e-a,314.31503775574186,289.1032720391707
e-o,559.4512095934682,586.1547925468964
e-u,670.7279063914114,708.8741040271799
a-o,274.7904777296793,317.10254642865596
a-u,406.84391484219,454.74560198964974
o-u,138.02743631092014,144.48289892251046
