half,vowel,nearest_vowel,nearest_centroid_distance,within_dispersion_mean,pooled_dispersion_with_nearest,differentiation_score,overlap_risk,silhouette_mean,silhouette_median,n_silhouette_tokens
H1,i,e,148.21586943776546,186.3061780101775,219.56677417832978,0.6750377874449535,1.4813985507167566,0.16896764777999002,0.2234072998809968,304
H1,e,i,148.21586943776546,248.41325383601293,219.56677417832978,0.6750377874449535,1.4813985507167566,-0.06385397000815526,-0.08094032917316189,472
H1,a,o,294.3548456376621,334.9868870805244,262.2385971974578,1.122469570778026,0.890892747593026,-0.2695522760037487,-0.3129444102450277,432
H1,o,u,179.92498194567497,159.12871898020504,162.83853633179083,1.1049287594864508,0.905035724171738,0.08391844702571902,0.1445366105300158,510
H1,u,o,179.92498194567497,166.4656980434073,162.83853633179083,1.1049287594864508,0.905035724171738,0.10630451232364488,0.23122422941188792,111
H2,i,e,159.66784716177557,197.1751307639532,203.9861852064344,0.7827385320245653,1.2775658270118433,0.11326348618267286,0.14758937299270738,311
H2,e,i,159.66784716177557,210.57705316193758,203.9861852064344,0.7827385320245653,1.2775658270118433,-0.006215555621284879,0.07664323288995731,415
H2,a,o,220.01827025436813,237.52302265064318,200.0423657516114,1.0998583696393613,0.9092079740484182,-0.23152791125316857,-0.2283499469825419,422
H2,o,u,134.52716179101708,153.6772914320948,155.51776928334695,0.8650275940231251,1.156032486026413,0.11570475523641932,0.1795485491127691,487
H2,u,o,134.52716179101708,157.33671924834223,155.51776928334695,0.8650275940231251,1.156032486026413,0.035012490595680464,0.12111838431705865,90
