vowel,f1_centroid_H1,f2_centroid_H1,f1_centroid_H2,f2_centroid_H2,f1_shift_H2_minus_H1,f2_shift_H2_minus_H1,centroid_shift_distance
i,396.9327172864091,2336.254941209424,398.62168144423435,2388.3110154902483,1.6889641578252395,52.056074280824305,52.08346637328506
e,520.2964412547519,2100.9117539711247,516.1597358145893,2107.3874925041564,-4.1367054401625865,6.475738533031745,7.684238507937066
a,774.0444368329045,1702.5721570788314,766.7324011173921,1673.9423520459054,-7.312035715512366,-28.629805032926015,29.54880035683825
o,542.108488926167,1115.3633905026081,541.0221130301028,1124.8259373137969,-1.086375896064169,9.462546811188759,9.524704968737234
u,467.3463852036996,974.8576025177986,450.4612253389644,972.7124290585575,-16.885159864735158,-2.1451734592410503,17.020881082596613
