half,n_tokens,n_vowels_present,min_tokens_per_vowel,vowel_space_area,mean_pairwise_centroid_distance,min_pairwise_centroid_distance,mean_pairwise_separation_score,min_pairwise_separation_score,mean_within_vowel_dispersion,silhouette_by_vowel
H1,2214,5,68,240045.7909221099,776.1430676658863,159.15793605799624,3.293191352989298,0.6270888562259384,233.29628303685655,0.14206113146775767
H2,1836,5,76,249729.67746384436,795.627894966153,177.03048825872833,3.4794357369722198,0.6716016378087156,226.09475631391624,0.15763793440557475
