audio,half,vowel,ellipse_area_grid,overlap_area_with_any_other_vowel,overlap_percent_with_any_other_vowel,unique_area_not_overlapped,unique_percent_not_overlapped
2e25304d-Audio_SP12,H1,i,173106.8068370318,27132.526313622628,15.673864482501859,145974.28052340916,84.32613551749813
2e25304d-Audio_SP12,H1,e,155595.41727187732,70772.89778514324,45.485207100591715,84822.51948673408,54.51479289940829
2e25304d-Audio_SP12,H1,a,196234.36235105284,89122.10882791552,45.41615839354415,107112.25352313732,54.58384160645585
2e25304d-Audio_SP12,H1,o,239276.2899099893,158440.32756400807,66.21647620146985,80835.96234598124,33.783523798530155
2e25304d-Audio_SP12,H1,u,253804.66674164744,96524.39968511015,38.030979069176915,157280.26705653727,61.969020930823085
2e25304d-Audio_SP12,H2,i,148768.7102380078,37716.45688570377,25.3524123623597,111052.25335230403,74.6475876376403
2e25304d-Audio_SP12,H2,e,192681.55523565155,64124.30762586186,33.27994085756531,128557.24760978969,66.72005914243469
2e25304d-Audio_SP12,H2,a,209941.2263367258,98121.34891436026,46.73753251159109,111819.87742236555,53.2624674884089
2e25304d-Audio_SP12,H2,o,253054.79266348077,118491.08454671476,46.82427995121494,134563.708116766,53.17572004878506
2e25304d-Audio_SP12,H2,u,153358.62735796336,37368.25627660369,24.3665823829919,115990.37108135966,75.63341761700809
