audio,vowel,n_points
85c7895f-Audio_SP16,i,583
85c7895f-Audio_SP16,o,729
85c7895f-Audio_SP16,u,112
919b9bc1-Audio_SP14,a,265
919b9bc1-Audio_SP14,e,289
919b9bc1-Audio_SP14,i,219
919b9bc1-Audio_SP14,o,257
919b9bc1-Audio_SP14,u,46
9a0c18cb-Audio_SP14,a,280
9a0c18cb-Audio_SP14,e,160
9a0c18cb-Audio_SP14,i,176
9a0c18cb-Audio_SP14,o,249
9a0c18cb-Audio_SP14,u,48
a1a056ce-Audio_SP11,a,244
a1a056ce-Audio_SP11,e,238
a1a056ce-Audio_SP11,i,169
a1a056ce-Audio_SP11,o,170
a1a056ce-Audio_SP11,u,26
a452055c-Audio_SP11,a,545
a452055c-Audio_SP11,e,435
a452055c-Audio_SP11,i,355
a452055c-Audio_SP11,o,441
a452055c-Audio_SP11,u,89
adad0062-Audio_SP17,a,473
adad0062-Audio_SP17,e,468
adad0062-Audio_SP17,i,371
adad0062-Audio_SP17,o,335
adad0062-Audio_SP17,u,106
c3533b36-Audio_SP16,a,266
c3533b36-Audio_SP16,e,229
c3533b36-Audio_SP16,i,130
c3533b36-Audio_SP16,o,222
c3533b36-Audio_SP16,u,42
cafd9c21-Audio_SP27,a,816
cafd9c21-Audio_SP27,e,631
cafd9c21-Audio_SP27,i,477
cafd9c21-Audio_SP27,o,552
cafd9c21-Audio_SP27,u,105
d4c363bf-Audio_SP13,a,499
d4c363bf-Audio_SP13,e,405
d4c363bf-Audio_SP13,i,421
d4c363bf-Audio_SP13,o,348
d4c363bf-Audio_SP13,u,85
dbeec025-Audio_SP13,a,438
dbeec025-Audio_SP13,e,332
dbeec025-Audio_SP13,i,185
dbeec025-Audio_SP13,o,299
dbeec025-Audio_SP13,u,64
e90f8e4d-Audio_SP22,a,302
e90f8e4d-Audio_SP22,e,282
e90f8e4d-Audio_SP22,i,239
e90f8e4d-Audio_SP22,o,315
e90f8e4d-Audio_SP22,u,77
f061152e-Audio_SP12,a,489
f061152e-Audio_SP12,e,438
f061152e-Audio_SP12,i,309
f061152e-Audio_SP12,o,316
f061152e-Audio_SP12,u,59
fcd45f4d-Audio_SP21,a,249
fcd45f4d-Audio_SP21,e,260
fcd45f4d-Audio_SP21,i,157
fcd45f4d-Audio_SP21,o,306
fcd45f4d-Audio_SP21,u,56
