label,F1,F2,id,time,dur,word,file_name,audio,source_file,vowel_raw,vowel,f1,f2,token_id
y,439.3929622054412,1669.3733401196346,0-0-3054-2,1306.60775,0.0800000000001546,voy,061ea7d0-Audio_SP16.v0,061ea7d0-Audio_SP16,061ea7d0-Audio_SP16.csv,y,i,439.3929622054412,1669.3733401196346,0-0-3054-2
y,456.8419905807311,2158.5258389079468,0-0-3105-0,1340.61075,0.1000000000001364,ya,061ea7d0-Audio_SP16.v0,061ea7d0-Audio_SP16,061ea7d0-Audio_SP16.csv,y,i,456.8419905807311,2158.5258389079468,0-0-3105-0
y,466.135484950472,1934.4469367065308,0-0-3107-0,1340.99775,0.1399999999998726,ya,061ea7d0-Audio_SP16.v0,061ea7d0-Audio_SP16,061ea7d0-Audio_SP16.csv,y,i,466.135484950472,1934.4469367065308,0-0-3107-0
y,450.8503431268287,2116.9411115156604,0-0-3112-2,1342.50275,0.1099999999998999,PayPal,061ea7d0-Audio_SP16.v0,061ea7d0-Audio_SP16,061ea7d0-Audio_SP16.csv,y,i,450.8503431268287,2116.9411115156604,0-0-3112-2
y,442.2581458668165,1790.9729078781068,0-0-3139-0,1349.99875,0.0899999999999181,yo,061ea7d0-Audio_SP16.v0,061ea7d0-Audio_SP16,061ea7d0-Audio_SP16.csv,y,i,442.2581458668165,1790.9729078781068,0-0-3139-0
y,502.8667533733786,2072.9600287691987,0-0-3144-2,1351.24575,0.0699999999999363,PayPal,061ea7d0-Audio_SP16.v0,061ea7d0-Audio_SP16,061ea7d0-Audio_SP16.csv,y,i,502.8667533733786,2072.9600287691987,0-0-3144-2
y,457.1499175085191,2157.502652895092,0-0-3164-2,1356.40875,0.0899999999999181,PayPal,061ea7d0-Audio_SP16.v0,061ea7d0-Audio_SP16,061ea7d0-Audio_SP16.csv,y,i,457.1499175085191,2157.502652895092,0-0-3164-2
y,483.65338593049626,2020.6805085271667,0-0-3176-0,1361.78375,0.1800000000000636,yo,061ea7d0-Audio_SP16.v0,061ea7d0-Audio_SP16,061ea7d0-Audio_SP16.csv,y,i,483.65338593049626,2020.6805085271667,0-0-3176-0
y,451.7604316021556,2234.300332038212,0-0-3181-2,1363.68375,0.1199999999998908,PayPal,061ea7d0-Audio_SP16.v0,061ea7d0-Audio_SP16,061ea7d0-Audio_SP16.csv,y,i,451.7604316021556,2234.300332038212,0-0-3181-2
y,375.3159813023239,2527.3557594992863,0-0-3186-0,1364.79875,0.0899999999999181,ya,061ea7d0-Audio_SP16.v0,061ea7d0-Audio_SP16,061ea7d0-Audio_SP16.csv,y,i,375.3159813023239,2527.3557594992863,0-0-3186-0
y,491.94117437851656,2144.4161159158293,0-0-3187-2,1365.17775,0.0799999999999272,PayPal,061ea7d0-Audio_SP16.v0,061ea7d0-Audio_SP16,061ea7d0-Audio_SP16.csv,y,i,491.94117437851656,2144.4161159158293,0-0-3187-2
y,427.9502271263944,1341.5561531168307,0-0-3194-2,1366.6137499999998,0.0600000000001728,voy,061ea7d0-Audio_SP16.v0,061ea7d0-Audio_SP16,061ea7d0-Audio_SP16.csv,y,i,427.9502271263944,1341.5561531168307,0-0-3194-2
y,458.05156056900233,2126.359714617409,0-0-3264-2,1421.8537499999998,0.1200000000001182,muy,061ea7d0-Audio_SP16.v0,061ea7d0-Audio_SP16,061ea7d0-Audio_SP16.csv,y,i,458.05156056900233,2126.359714617409,0-0-3264-2
y,340.4627199189638,1951.427733299912,0-0-3393-0,1494.3437499999998,0.0600000000001728,ya,061ea7d0-Audio_SP16.v0,061ea7d0-Audio_SP16,061ea7d0-Audio_SP16.csv,y,i,340.4627199189638,1951.427733299912,0-0-3393-0
y,587.7463178490907,2392.738550646972,0-0-3395-0,1494.8527499999998,0.1100000000001273,ya,061ea7d0-Audio_SP16.v0,061ea7d0-Audio_SP16,061ea7d0-Audio_SP16.csv,y,i,587.7463178490907,2392.738550646972,0-0-3395-0
y,436.64086898138606,1302.3791997837586,0-0-3439-2,1527.2737499999998,0.0599999999999454,voy,061ea7d0-Audio_SP16.v0,061ea7d0-Audio_SP16,061ea7d0-Audio_SP16.csv,y,i,436.64086898138606,1302.3791997837586,0-0-3439-2
y,479.7974791665306,2086.6073013510645,0-0-3476-1,1566.46275,0.1099999999998999,hay,061ea7d0-Audio_SP16.v0,061ea7d0-Audio_SP16,061ea7d0-Audio_SP16.csv,y,i,479.7974791665306,2086.6073013510645,0-0-3476-1
y,541.0024047162656,1790.34896866527,0-0-3481-1,1568.01575,0.0699999999999363,hay,061ea7d0-Audio_SP16.v0,061ea7d0-Audio_SP16,061ea7d0-Audio_SP16.csv,y,i,541.0024047162656,1790.34896866527,0-0-3481-1
y,443.1110880641026,2047.8773951116543,0-0-3494-1,1571.59875,0.0900000000001455,ayuda,061ea7d0-Audio_SP16.v0,061ea7d0-Audio_SP16,061ea7d0-Audio_SP16.csv,y,i,443.1110880641026,2047.8773951116543,0-0-3494-1
y,380.1569226331477,2149.8163919951776,0-0-3499-0,1572.92875,0.0899999999999181,ya,061ea7d0-Audio_SP16.v0,061ea7d0-Audio_SP16,061ea7d0-Audio_SP16.csv,y,i,380.1569226331477,2149.8163919951776,0-0-3499-0
y,553.69006649455,2102.7267068817728,0-0-3512-0,1574.92575,0.0699999999999363,yo,061ea7d0-Audio_SP16.v0,061ea7d0-Audio_SP16,061ea7d0-Audio_SP16.csv,y,i,553.69006649455,2102.7267068817728,0-0-3512-0
y,467.5773937548824,1621.1136476082966,0-0-3554-2,1599.8737499999995,0.0600000000001728,muy,061ea7d0-Audio_SP16.v0,061ea7d0-Audio_SP16,061ea7d0-Audio_SP16.csv,y,i,467.5773937548824,1621.1136476082966,0-0-3554-2
y,455.2033420606382,2034.5057258189668,0-0-3583-1,1607.8137499999998,0.1200000000001182,hayan,061ea7d0-Audio_SP16.v0,061ea7d0-Audio_SP16,061ea7d0-Audio_SP16.csv,y,i,455.2033420606382,2034.5057258189668,0-0-3583-1
y,566.6211734233142,1978.4653477081872,0-0-3585-1,1608.46375,0.0599999999999454,hay,061ea7d0-Audio_SP16.v0,061ea7d0-Audio_SP16,061ea7d0-Audio_SP16.csv,y,i,566.6211734233142,1978.4653477081872,0-0-3585-1
y,390.8952624878681,2151.148347904587,0-0-3633-0,1622.20575,0.0699999999999363,ya,061ea7d0-Audio_SP16.v0,061ea7d0-Audio_SP16,061ea7d0-Audio_SP16.csv,y,i,390.8952624878681,2151.148347904587,0-0-3633-0
y,453.12009874638073,1844.3257785798623,0-0-3634-0,1622.40375,0.1199999999998908,ya,061ea7d0-Audio_SP16.v0,061ea7d0-Audio_SP16,061ea7d0-Audio_SP16.csv,y,i,453.12009874638073,1844.3257785798623,0-0-3634-0
y,359.3024554100572,1834.6088276671435,0-0-3636-0,1622.89075,0.1000000000001364,ya,061ea7d0-Audio_SP16.v0,061ea7d0-Audio_SP16,061ea7d0-Audio_SP16.csv,y,i,359.3024554100572,1834.6088276671435,0-0-3636-0
y,406.3333859696937,1912.272215918923,0-0-3672-0,1632.33775,0.0800000000001546,yo,061ea7d0-Audio_SP16.v0,061ea7d0-Audio_SP16,061ea7d0-Audio_SP16.csv,y,i,406.3333859696937,1912.272215918923,0-0-3672-0
y,494.5775226755023,1939.963934521636,0-0-3786-1,1669.8137499999998,0.0599999999999454,ayudé,061ea7d0-Audio_SP16.v0,061ea7d0-Audio_SP16,061ea7d0-Audio_SP16.csv,y,i,494.5775226755023,1939.963934521636,0-0-3786-1
y,553.8274856186473,1623.97402184991,0-0-3802-1,1673.16575,0.0699999999999363,haya,061ea7d0-Audio_SP16.v0,061ea7d0-Audio_SP16,061ea7d0-Audio_SP16.csv,y,i,553.8274856186473,1623.97402184991,0-0-3802-1
y,455.3494860541553,2069.613111964775,0-0-3803-1,1673.29575,0.0699999999999363,ayudado,061ea7d0-Audio_SP16.v0,061ea7d0-Audio_SP16,061ea7d0-Audio_SP16.csv,y,i,455.3494860541553,2069.613111964775,0-0-3803-1
