audio,half,vowel,ellipse_area_grid,overlap_area_with_any_other_vowel,overlap_percent_with_any_other_vowel,unique_area_not_overlapped,unique_percent_not_overlapped
1c403477-Audio_SP13,H1,i,129559.28232051256,37046.37524343541,28.59414978217274,92512.90707707715,71.40585021782726
1c403477-Audio_SP13,H1,e,94009.09683902485,41337.841686387175,43.9721719241399,52671.25515263767,56.0278280758601
1c403477-Audio_SP13,H1,a,108953.07601823893,10616.675855736628,9.744264451936518,98336.40016250231,90.25573554806348
1c403477-Audio_SP13,H1,o,121361.59590026023,56631.230450726776,46.66322161523697,64730.365449533456,53.33677838476303
1c403477-Audio_SP13,H1,u,95182.7546762413,50306.021037941915,52.85203313253012,44876.73363829938,47.147966867469876
1c403477-Audio_SP13,H2,i,173539.1987147102,59081.13115124366,34.04483343752791,114458.06756346652,65.95516656247209
1c403477-Audio_SP13,H2,e,95293.89687393012,70015.48005659581,73.47320484671059,25278.416817334306,26.526795153289413
1c403477-Audio_SP13,H2,a,123377.5825103555,22728.87692374051,18.422209660197222,100648.70558661499,81.57779033980277
1c403477-Audio_SP13,H2,o,117123.8478777409,73448.44714736193,62.710070133650916,43675.40073037897,37.289929866349084
1c403477-Audio_SP13,H2,u,134660.65267774934,61653.919128973575,45.784657881107215,73006.73354877577,54.215342118892785
