vowel,social_variable,n_speakers_or_rows,n_clusters,n_categories,chi2,dof,p_value,cramers_v,effect_label,min_expected_count,n_cells_expected_below_5,caution_sparse_table,p_fdr
i,English,43,8,2,4.94720826048951,7,0.6664057130576719,0.33919220936676137,moderate,0.2558139534883721,13,True,0.9146139137680309
e,Discipline,43,3,4,9.849984438219732,6,0.1311133211183525,0.3384297604673633,moderate,0.4186046511627907,9,True,0.9116640541301209
e,Education,43,3,4,9.631437908496732,6,0.14105577377276002,0.33465424553154494,moderate,0.27906976744186046,10,True,0.9116640541301209
a,EmploymentStatus,43,3,5,9.55413729128015,8,0.2977233486959874,0.3333085952477797,moderate,0.09302325581395349,9,True,0.9116640541301209
i,Age,43,8,4,14.095845515721082,21,0.8654471994252129,0.33056031261618146,moderate,0.06976744186046512,31,True,0.9413195809386011
o,Discipline,43,4,4,13.487693259121828,9,0.14175149069914986,0.3233508337682444,moderate,0.6976744186046512,15,True,0.9116640541301209
o,Income_group,43,4,4,13.24322532686169,9,0.1519058796272027,0.32040702465542203,moderate,0.5813953488372093,13,True,0.9116640541301209
u,Income_group,43,3,4,8.580868205868207,6,0.19855772279800746,0.3158758257251373,moderate,0.23255813953488372,9,True,0.9116640541301209
o,MigrationStatus,43,4,2,4.218341843341843,3,0.23883192272327625,0.31321074869961457,moderate,0.46511627906976744,5,True,0.9116640541301209
e,Income_group,43,3,4,7.931238859180035,6,0.243184344461302,0.30368356502267974,moderate,0.3488372093023256,9,True,0.9116640541301209
u,Age,43,3,4,7.364634058751706,6,0.2884378137050879,0.2926350624120883,moderate,0.13953488372093023,8,True,0.9116640541301209
e,Age,43,3,4,7.132966610475261,6,0.30872548066623146,0.28799561145064106,moderate,0.20930232558139536,9,True,0.9116640541301209
o,Sex,43,4,2,3.5451261533079705,3,0.31495639988236795,0.2871320153918334,moderate,1.1627906976744187,4,True,0.9116640541301209
a,CivilStatus,42,3,4,6.116666666666667,6,0.41024882435855436,0.2698471054457696,moderate,0.09523809523809523,10,True,0.9116640541301209
o,Part,43,4,2,3.0637344877344885,3,0.3819025788474103,0.26692628055258866,moderate,2.0930232558139537,5,True,0.9116640541301209
e,EmploymentStatus,43,3,5,5.6282149223325675,8,0.6887972095905476,0.25582095215600814,moderate,0.13953488372093023,12,True,0.9146139137680309
a,Part,43,3,2,2.7818042328042334,2,0.2488507110340133,0.2543484257728396,moderate,0.8372093023255814,2,True,0.9116640541301209
o,EmploymentStatus,43,4,5,8.288747399786361,12,0.7621782614733591,0.2534834428760533,moderate,0.23255813953488372,17,True,0.9146139137680309
e,CivilStatus,42,3,4,5.209090909090908,6,0.5172890631258076,0.24902406914390224,moderate,0.14285714285714285,9,True,0.9146139137680309
e,English,43,3,2,2.4192290552584668,2,0.2983122483994024,0.2371943102605211,moderate,0.7674418604651163,4,True,0.9116640541301209
u,Discipline,43,3,4,4.822016460905348,6,0.5668353084216986,0.23679096023230406,moderate,0.27906976744186046,9,True,0.9146139137680309
a,Discipline,43,3,4,4.7688397581254724,6,0.5737845612183494,0.23548168738668881,moderate,0.27906976744186046,10,True,0.9146139137680309
o,Type_mw_earnings,43,4,2,2.3278444307015738,3,0.5072076504744427,0.2326712637887624,moderate,1.744186046511628,5,True,0.9146139137680309
a,Income_group,43,3,4,4.270836940836941,6,0.6400767415760187,0.22284724512745197,moderate,0.23255813953488372,6,True,0.9146139137680309
i,MigrationStatus,43,8,2,2.131447238658777,7,0.9522080027876644,0.2226399344994627,moderate,0.09302325581395349,13,True,0.9522080027876644
o,CivilStatus,42,4,4,6.022010582010582,9,0.7377133703781322,0.21861778239169327,moderate,0.23809523809523808,14,True,0.9146139137680309
u,Education,43,3,4,3.974466490299824,6,0.6801319538650712,0.21497610711749643,moderate,0.18604651162790697,9,True,0.9146139137680309
a,Education,43,3,4,3.9406428571428567,6,0.6847089379065954,0.21405940430503997,moderate,0.18604651162790697,10,True,0.9146139137680309
u,English,43,3,2,1.797160594035594,2,0.4071472778250461,0.2044368665858299,moderate,0.5116279069767442,3,True,0.9116640541301209
u,CivilStatus,42,3,4,3.384615384615384,6,0.7592524133452841,0.20073126386549825,moderate,0.09523809523809523,8,True,0.9146139137680309
o,English,43,4,2,1.5540998458612094,3,0.6698415574102704,0.19011011777518114,weak,1.2790697674418605,4,True,0.9146139137680309
a,MigrationStatus,43,3,2,1.4878052503052506,2,0.4752555473694533,0.18601108058425472,weak,0.18604651162790697,4,True,0.9146139137680309
u,EmploymentStatus,43,3,5,2.9334432763004186,8,0.9384645891759175,0.18468840120152907,weak,0.09302325581395349,12,True,0.9522080027876644
o,Age,43,4,4,4.370590868826163,9,0.8853740142476331,0.18406669815788365,weak,0.3488372093023256,13,True,0.9413195809386011
a,English,43,3,2,1.302448593073593,2,0.5214070290125915,0.1740387949984203,weak,0.5116279069767442,2,True,0.9146139137680309
e,Sex,43,3,2,1.2519310754604873,2,0.5347448628361708,0.1706302322963305,weak,0.6976744186046512,4,True,0.9146139137680309
a,Age,43,3,4,2.3866961143431737,6,0.8809264293846315,0.16659015697015003,weak,0.13953488372093023,8,True,0.9413195809386011
e,MigrationStatus,43,3,2,1.1674208144796383,2,0.5578247649447279,0.16477051091432693,weak,0.27906976744186046,4,True,0.9146139137680309
o,Education,43,4,4,3.30593265993266,9,0.9509216136060312,0.16008555512824477,weak,0.46511627906976744,14,True,0.9522080027876644
a,Sex,43,3,2,1.0573160173160172,2,0.5893954027100321,0.15680798636786517,weak,0.46511627906976744,4,True,0.9146139137680309
e,Type_mw_earnings,43,3,2,0.7026143790849669,2,0.7037675306208169,0.12782749814122837,weak,1.0465116279069768,4,True,0.9146139137680309
u,Part,43,3,2,0.6936625514403295,2,0.7069245935389348,0.12701057925542408,weak,0.8372093023255814,2,True,0.9146139137680309
u,MigrationStatus,43,3,2,0.38721001221001217,2,0.8239833083744132,0.0948940672796988,very weak,0.18604651162790697,4,True,0.9413195809386011
e,Part,43,3,2,0.2594989106753813,2,0.8783154606062573,0.07768435098396308,very weak,1.255813953488372,4,True,0.9413195809386011
u,Type_mw_earnings,43,3,2,0.234013605442177,2,0.8895791415840414,0.07377111135633177,very weak,0.6976744186046512,3,True,0.9413195809386011
a,Type_mw_earnings,43,3,2,0.22353174603174603,2,0.8942536018916711,0.07210001871298438,very weak,0.6976744186046512,2,True,0.9413195809386011
