vowel,social_variable,n_speakers_or_rows,n_clusters,n_categories,chi2,dof,p_value,cramers_v,effect_label,min_expected_count,n_cells_expected_below_5,caution_sparse_table,p_fdr
i,Sex,43,8,2,16.256305361305362,7,0.022875141977219432,0.6148606452307815,very strong,0.23255813953488372,13,True,0.686254259316583
i,Discipline,43,8,4,28.379212454212453,21,0.1297204924561143,0.4690350679788186,strong,0.13953488372093023,31,True,0.9116640541301209
a,CountryRes,43,3,8,18.613760504201686,14,0.18023881214797097,0.46523013190275214,strong,0.046511627906976744,22,True,0.9116640541301209
i,EmploymentStatus,43,8,5,36.09666000666001,28,0.14015286624974208,0.45810948731095097,strong,0.046511627906976744,40,True,0.9116640541301209
u,Sex,43,3,2,8.447979797979798,2,0.014640115238614368,0.44324332647502596,strong,0.46511627906976744,3,True,0.686254259316583
i,CountryRes,43,8,8,56.12659313725491,49,0.2253299318222453,0.43181834934927665,strong,0.023255813953488372,63,True,0.9116640541301209
i,Part,43,8,2,7.982257834757834,7,0.3341609933562015,0.4308525306110005,strong,0.4186046511627907,13,True,0.9116640541301209
i,Income_group,43,8,4,23.21448717948718,21,0.33264985199317976,0.42421370199141956,strong,0.11627906976744186,32,True,0.9116640541301209
u,CountryRes,43,3,8,15.277680516651108,14,0.3594401329725711,0.4214824407588484,strong,0.046511627906976744,21,True,0.9116640541301209
e,CountryRes,43,3,8,15.178950403690887,14,0.36603231344124654,0.4201183443968274,strong,0.06976744186046512,22,True,0.9116640541301209
i,Education,43,8,4,22.637202991452995,21,0.3636226288220313,0.4189059485519318,strong,0.09302325581395349,30,True,0.9116640541301209
i,Type_mw_earnings,43,8,2,6.324780219780219,7,0.5023790472265396,0.3835204193884754,moderate,0.3488372093023256,13,True,0.9146139137680309
i,CivilStatus,42,8,4,16.46937321937322,21,0.742726359241912,0.3615374271978862,moderate,0.047619047619047616,31,True,0.9146139137680309
o,CountryRes,43,4,8,16.250421229097697,21,0.7554198500588646,0.3549257071415152,moderate,0.11627906976744186,31,True,0.9146139137680309
