audio,half,vowel,ellipse_area_grid,overlap_area_with_any_other_vowel,overlap_percent_with_any_other_vowel,unique_area_not_overlapped,unique_percent_not_overlapped
5819ce7a-Audio_SP11,H1,i,194218.37431493623,54011.845820839655,27.80985373364126,140206.52849409656,72.19014626635874
5819ce7a-Audio_SP11,H1,e,113228.63941368756,58525.292452581096,51.68771147973921,54703.346961106465,48.31228852026079
5819ce7a-Audio_SP11,H1,a,268881.80824374396,4513.446631741445,1.6785987349690696,264368.36161200254,98.32140126503094
5819ce7a-Audio_SP11,H1,o,157559.46927079195,93997.43202626749,59.65838325128996,63562.03724452446,40.34161674871004
5819ce7a-Audio_SP11,H1,u,169632.7053954502,93997.43202626749,55.41232854073708,75635.27336918272,44.58767145926293
5819ce7a-Audio_SP11,H2,i,183293.33483462362,60050.40489341222,32.761914091198506,123242.92994121139,67.2380859088015
5819ce7a-Audio_SP11,H2,e,130128.66182239649,62510.23609998943,48.037254225595035,67618.42572240706,51.962745774404965
5819ce7a-Audio_SP11,H2,a,188150.1548446903,6679.249699611107,3.5499570569710848,181470.9051450792,96.45004294302892
5819ce7a-Audio_SP11,H2,o,212012.31304572028,85142.47869773082,40.15921409214092,126869.83434798945,59.84078590785907
5819ce7a-Audio_SP11,H2,u,124392.04816910147,80923.06020469693,65.05484988452656,43468.98796440454,34.945150115473446
