F1,F2,F3,B1,B2,B3,max_formant,smooth_error,time,rel_time,prop_time,id,label,file_name,group,speaker_num,point_heuristic,f0,intensity,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
534.2192568137059,1644.8898235430852,2623.8434538752767,3.0567994650781967,4.7612344856347955,3.276159984531448,5512.820512820513,0.005518212100851499,20.865750000000002,0.031,0.32978723404255317,0-0-1-1,e,0f786745-Audio_SP20.v0,group_0,1,fave,148.47875439874312,66.75223358010972,8,Se,"",0.07000000000000028,[silence],escucha,s,#,s,s,final
546.2492691744577,1990.8488210388377,2565.8294259785353,2.874590543392689,4.030937972752623,2.950984287575064,5512.820512820513,0.002143490310292869,31.713749999999997,0.027000000000000003,0.32142857142857145,0-0-10-1,e,0f786745-Audio_SP20.v0,group_0,1,fave,155.26570361880763,75.08658441187282,8,se,"",0.060000000000002274,",",escucha,s,#,s,s,final
439.9832519779252,1924.9186770865917,2602.9231817997706,2.7145489923645845,4.361103430647449,4.016549086638288,5512.820512820513,0.0006991302619190026,34.585750000000004,0.031,0.32978723404255317,0-0-19-1,e,0f786745-Audio_SP20.v0,group_0,1,fave,141.2948605909529,76.24728948136776,8,se,"",0.07000000000000028,que,cortó,s,#,s,k,final
580.0724941729421,2666.4255981157194,4208.551999808379,3.4569073176198897,3.6801335346101522,3.9738846425228163,9102.564102564102,0.0001956990817579789,35.91775,0.035,0.33653846153846156,0-0-23-4,e,0f786745-Audio_SP20.v0,group_0,1,fave,149.25522271037505,81.17513619856634,8,escuché,"",0.0799999999999983,no,la,h,#,h,l,final
494.6023277421499,1235.6286455133304,2464.5348513417252,3.0213033160054765,4.354212363242787,3.0369619749301515,5333.333333333333,0.00002101560582801382,97.04375,0.027000000000000003,0.32142857142857145,0-0-38-4,e,0f786745-Audio_SP20.v0,group_0,1,fave,147.71815928475985,73.8447474965826,8,procesador,"",0.060000000000002274,era,de,z,s,z,s,internal
525.0468065826811,2526.5489489420443,3804.337559158736,2.4486285220740864,4.056186906676598,4.46548853055391,9282.051282051281,0.0006601440059583198,97.44375000000001,0.027000000000000003,0.32142857142857145,0-0-39-1,e,0f786745-Audio_SP20.v0,group_0,1,fave,136.43330129239942,77.54802582992328,8,de,"",0.05999999999998806,procesador,datos,d,#,d,d,final
542.4250144677371,2620.091830621651,4436.921432261333,2.670122628944547,3.143758483010325,4.195098141588375,9820.51282051282,0.0009712627209463968,109.07375,0.027000000000000003,0.32142857142857145,0-0-76-0,e,0f786745-Audio_SP20.v0,group_0,1,fave,137.16361118336943,75.94164277952466,8,en,"",0.060000000000002274,en,mi,#,n,n,n,initial
489.9540055533503,1677.8833030394785,2934.898718110895,1.904795423318516,2.2928372481051076,4.239655646240429,5692.3076923076915,0.0009389242308837878,110.52575,0.031,0.32978723404255317,0-0-81-1,e,0f786745-Audio_SP20.v0,group_0,1,fave,519.7659050763759,55.527921907389725,8,de,"",0.06999999999999318,normal,mi,d,#,d,m,final
585.8886645040736,963.4406592215311,2445.6153865111655,2.6998493982037752,4.258061696307638,3.2678467274164524,5692.3076923076915,0.000056104533317656635,133.38375000000002,0.027000000000000003,0.32142857142857145,0-0-121-1,e,0f786745-Audio_SP20.v0,group_0,1,fave,135.6042841023599,77.82214689240874,8,de,"",0.060000000000002274,datos,de,d,#,d,d,final
474.515671935023,1735.1076871937091,2368.955859109014,2.070552975538366,3.7500239375005675,2.1668287389099423,5153.846153846154,0.00008263616889835944,134.33775,0.035,0.3365384615384616,0-0-126-1,e,0f786745-Audio_SP20.v0,group_0,1,fave,110.86063248560627,66.631039558772,8,de,"",0.0800000000000125,de,de,d,#,d,d,final
