F1,F2,F3,B1,B2,B3,max_formant,smooth_error,time,rel_time,prop_time,id,label,file_name,group,speaker_num,point_heuristic,f0,intensity,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context,B1_Hz,B2_Hz,B3_Hz,_source_file,_audio_id,_token_time,_audio_duration,_split_time,_time_basis,_split_basis,half
530.7466087713184,1628.174356105917,2440.256298451868,3.249772404071116,3.4315808150088567,3.821164331618112,6051.282051282051,0.0008346132747692,33.71274999999999,0.045,0.335820895522388,0-0-1-4,o,d4c363bf-Audio_SP13.v0,group_0,1,fave,213.24217697848323,72.64626894739827,5,claro,,0.1099999999999994,Sí,",",R,#,R,.,final,25.7844708087413,30.925491610292173,45.65733766660208,d4c363bf-Audio_SP13.csv,d4c363bf-Audio_SP13,33.71274999999999,2751.72,1375.86,time column: time,audio_duration,H1
524.6924750034847,1505.8443512917647,2440.4171314509044,2.687591007222908,3.176628592757034,3.461913178529059,5333.333333333333,0.000382023277201,35.11575,0.051,0.3311688311688312,0-0-5-6,o,d4c363bf-Audio_SP13.v0,group_0,1,fave,180.59562021248576,68.98610090717095,5,ejemplo,,0.1299999999999954,por,primera,l,#,l,p,final,14.696230131022826,23.965818661868184,31.8779063372244,d4c363bf-Audio_SP13.csv,d4c363bf-Audio_SP13,35.11575,2751.72,1375.86,time column: time,audio_duration,H1
514.7228367486528,1011.1005657687888,2550.680690470535,2.227657830712929,3.669245775098561,3.5244519498918763,5692.307692307692,0.0021862395940941,40.68075,0.061,0.3315217391304348,0-0-16-3,o,d4c363bf-Audio_SP13.v0,group_0,1,fave,170.29214448804072,72.29735444093886,5,como,,0.1600000000000037,Personales,crema,m,#,m,k,final,9.27810970727758,39.22231225699486,33.93517034517395,d4c363bf-Audio_SP13.csv,d4c363bf-Audio_SP13,40.68075,2751.72,1375.86,time column: time,audio_duration,H1
510.9062046125699,1574.2351273713105,2567.311605382179,2.461488284675653,2.537744989849413,3.136414896314003,5512.820512820513,2.07644978876e-05,43.79375,0.027,0.3214285714285714,0-0-23-3,o,d4c363bf-Audio_SP13.v0,group_0,1,fave,182.3758097279965,76.58468072914316,5,desodorante,,0.0600000000000022,[silence],[silence],s,d,s,d,internal,11.722244601088224,12.651110398381649,23.02118539984617,d4c363bf-Audio_SP13.csv,d4c363bf-Audio_SP13,43.79375,2751.72,1375.86,time column: time,audio_duration,H1
517.8835007783312,1126.6804007157764,2492.332551496195,1.871053821736392,3.158140118747851,3.756554253203492,5512.820512820513,0.0150023974247875,48.48275,0.105,0.3343949044585987,0-0-31-4,o,d4c363bf-Audio_SP13.v0,group_0,1,fave,179.6008382808295,78.37234147970969,5,cloro,,0.2899999999999991,desinfectante,.,R,#,R,.,final,6.4951375110874805,23.526798161546303,42.80069125193576,d4c363bf-Audio_SP13.csv,d4c363bf-Audio_SP13,48.48275,2751.72,1375.86,time column: time,audio_duration,H1
598.749507476083,1657.3871091780395,2518.009807605121,3.056058412192481,3.1793757717518325,1.6717928815679204,5871.794871794871,1.3235818247912184e-06,64.61274999999999,0.025,0.3378378378378378,0-0-54-1,o,d4c363bf-Audio_SP13.v0,group_0,1,fave,278.9541100437975,77.8136026636928,5,lo,,0.0500000000000113,",",hago,l,#,l,á,final,21.243658178979206,24.031747573285767,5.321700427795801,d4c363bf-Audio_SP13.csv,d4c363bf-Audio_SP13,64.61274999999999,2751.72,1375.86,time column: time,audio_duration,H1
525.6357683059895,1369.4244956755963,2361.9971031603186,3.377477385519549,3.438399662000816,3.649226744644878,5333.333333333333,0.0032483248004053,68.50375,0.047,0.3263888888888889,0-0-63-0,o,d4c363bf-Audio_SP13.v0,group_0,1,fave,226.4842633282479,54.93140936954206,5,o,,0.1199999999999903,",",sea,#,#,,s,coextensive,29.29677335392759,31.137088408952582,38.44492680696908,d4c363bf-Audio_SP13.csv,d4c363bf-Audio_SP13,68.50375,2751.72,1375.86,time column: time,audio_duration,H1
536.1141244603466,850.2787520349804,2440.1734747386386,2.61405205107802,3.2651977937812986,2.316981437012088,5333.333333333333,0.0001333072014837,79.66875,0.037,0.3245614035087719,0-0-78-2,o,d4c363bf-Audio_SP13.v0,group_0,1,fave,265.53248228701653,76.90910887665827,5,hago,,0.0899999999999892,lo,por,g,#,g,p,final,13.654266693651223,26.18528976611854,10.145004704585665,d4c363bf-Audio_SP13.csv,d4c363bf-Audio_SP13,79.66875,2751.72,1375.86,time column: time,audio_duration,H1
452.3125494323716,1709.0684741313446,2644.5073643660253,1.8681766382956329,4.060105893663872,2.9209146513067927,6230.769230769231,4.59681153184e-05,80.18375,0.027,0.3214285714285714,0-0-80-4,o,d4c363bf-Audio_SP13.v0,group_0,1,fave,221.5653090926481,78.47769578989502,5,medio,,0.0600000000000022,por,de,i,#,i,d,final,6.47647666720379,57.980450516227904,18.558254030616823,d4c363bf-Audio_SP13.csv,d4c363bf-Audio_SP13,80.18375,2751.72,1375.86,time column: time,audio_duration,H1
429.004367534596,1291.828476373355,2669.316259628028,2.632513677860798,3.3361671420316097,3.3712963514281524,5871.794871794871,4.87090963957e-05,84.11375,0.027,0.3214285714285714,0-0-94-3,o,d4c363bf-Audio_SP13.v0,group_0,1,fave,202.78355928727365,72.82842299290624,5,todo,,0.0600000000000022,que,por,d,#,d,p,final,13.908687958365114,28.11117381695862,29.11624749206392,d4c363bf-Audio_SP13.csv,d4c363bf-Audio_SP13,84.11375,2751.72,1375.86,time column: time,audio_duration,H1
