audio,half,vowel_raw,vowel_norm,f1,f2,token_time
919b9bc1-Audio_SP14,H1,o,o,563.7219570462377,1232.782408906318,50.24775
919b9bc1-Audio_SP14,H1,o,o,522.2026910913168,1681.4968029357788,59.08375
919b9bc1-Audio_SP14,H1,o,o,450.0952334251304,1698.273321037237,59.963750000000005
919b9bc1-Audio_SP14,H1,o,o,495.9843315998107,926.7750051884173,62.85875000000001
919b9bc1-Audio_SP14,H1,o,o,507.1148082842944,960.1826471365164,63.182750000000006
919b9bc1-Audio_SP14,H1,o,o,486.1957133853875,778.5112010178093,63.77275
919b9bc1-Audio_SP14,H1,o,o,550.866298498327,1107.5176204754343,84.28575
919b9bc1-Audio_SP14,H1,o,o,529.1307378372,760.7424664230603,87.05775
919b9bc1-Audio_SP14,H1,o,o,475.2585306801584,1105.4146426843276,90.08275
919b9bc1-Audio_SP14,H1,o,o,519.5598218247649,1137.658174149759,90.47575
919b9bc1-Audio_SP14,H1,o,o,489.3444931988044,1443.376248374828,93.64375
919b9bc1-Audio_SP14,H1,o,o,444.51740047603937,1462.175160269581,94.60375
919b9bc1-Audio_SP14,H1,o,o,484.01947922497015,1289.003390435561,96.85875
919b9bc1-Audio_SP14,H1,o,o,505.700435299503,1020.655348228934,99.20575
919b9bc1-Audio_SP14,H1,o,o,514.2116549303212,1143.8715432134695,126.53775
919b9bc1-Audio_SP14,H1,o,o,537.408101325693,1016.3930114737032,130.44375000000002
919b9bc1-Audio_SP14,H1,o,o,490.0100431260655,1491.310235050342,132.27375
919b9bc1-Audio_SP14,H1,o,o,362.302078131187,1448.880795464041,132.54274999999998
919b9bc1-Audio_SP14,H1,o,o,605.1745612501209,1144.8436008505553,134.31775000000002
919b9bc1-Audio_SP14,H1,o,o,448.1665184380522,993.5605368500196,135.64075000000005
919b9bc1-Audio_SP14,H1,o,o,428.8061515495664,549.9430701483818,135.73575
919b9bc1-Audio_SP14,H1,o,o,506.33833598720247,1129.720272803989,136.64075000000005
919b9bc1-Audio_SP14,H1,o,o,483.7991286357087,660.2107946524957,136.73375
