audio,a_f1_median,e_f1_median,i_f1_median,o_f1_median,u_f1_median,a_f2_median,e_f2_median,i_f2_median,o_f2_median,u_f2_median
061ea7d0-Audio_SP16,695.3452846310845,512.2325432020702,414.9667912135186,529.2476879146652,463.396465367674,1555.298443972616,1899.5119713101824,2165.304763769491,1077.7578147473548,919.3433210048148
0af9ac47-Audio_SP14,701.0597997834732,560.2639359192885,430.770601933547,601.7086366057465,484.65174249209815,1539.8764967645131,1900.8711909960768,2076.185294861082,1186.898676995732,1057.714179375334
0e6115f2-Audio_SP19,596.9263783901112,442.384582697831,361.9798692756276,466.2474762760978,403.1577607606431,1554.3510167822085,1927.607964265924,2242.710787993946,1169.4068830621834,982.3435833373592
0f786745-Audio_SP20,608.8561310113683,501.73360519570485,368.6180245235911,503.8187965157098,392.6738190139528,775.9764613627284,1918.3021194578173,2176.7885625017234,935.7038259934844,819.2969870574867
12c532f8-Audio_SP15,622.3425917699177,436.1538251582683,342.33805972940934,492.35126714639387,424.9503410050058,1522.9714571901743,1912.862381987955,2128.8003494464783,1104.242746902523,906.9393148913596
181d5ce9-Audio_SP21,610.0511714300974,458.876091166838,348.7632974620207,489.0580274897175,362.0744260890253,1479.1817640776362,1811.3348776266407,2026.306804261761,1122.234736047366,928.3703287687084
1c403477-Audio_SP13,624.5390580996439,458.0793444144157,372.8142985129683,478.58031892828274,409.0953939649327,1511.04873815674,1869.7016316834447,2127.747631671456,1103.082825791932,951.4957379444772
1d46eb6e-Audio_SP18,703.790948089287,490.300825558849,389.8127923134527,510.3566313335526,429.3830480766045,1569.0515675990007,2070.4044087322627,2328.1856304511066,1100.1029949146955,891.974585002455
2988c6fc-Audio_SP13,690.5252133772518,481.3558021554612,350.5740576324679,501.77046003017966,425.9377099391624,1488.1762709674306,2022.4070270386585,2311.6932727965145,1030.6250940465006,897.3243534150889
2e25304d-Audio_SP12,776.7194812281965,575.1272060507195,420.8222314108283,646.2882278337952,498.54314881731,1633.8902014854257,1986.8609173036496,2393.8021657035506,1268.773412814112,937.4160717948253
30a90cb2-Audio_SP21,567.0282762535832,460.8073887212599,391.0269216835491,478.912376944758,418.6653028479277,1440.1939169255425,1841.449016769686,2166.766835377606,1188.5677336381789,1050.114584733094
3361ee02-Audio_SP10,583.8434900092685,441.9034911383739,327.4631769980781,475.1720362798924,394.5243415210237,1389.2331405660502,1639.4236439612512,1808.6533619470224,1116.1011052006993,972.2735361093628
34ad326e-Audio_SP7,691.2749788041349,440.8082939698892,324.244216862576,523.181136763697,357.0016975366337,1355.3207697026517,1683.6885382323585,2081.603492279575,1115.2216878827894,964.5957255395532
375a28cd-Audio_SP16,537.4263107586132,439.3384316889497,360.7315539799458,468.64214901538577,412.670403975195,1231.699427168906,2198.891652626688,2076.099723923443,985.8158179755766,845.450760096715
42d56bbf-Audio_SP23,575.3709335561932,391.443752732736,300.0523742218971,397.6124858481869,339.04996468135096,1441.6197917941886,1971.9312223859065,2191.908520672724,963.3294256862428,792.9646724867293
49ae7020-Audio_SP17,659.8446743090141,549.8002336625806,463.7514279429016,571.463190162369,502.0233756931644,1539.480883859387,1945.9531979114104,2350.297638223938,1138.8638080084982,954.9290121085972
501e6487-Audio_SP19,544.0426584768383,406.0862720062988,315.1124023829682,417.62918961509934,356.59563758039883,1457.192331173307,1733.3190307229577,1940.5327565557216,1156.2871557735175,1071.3555951748183
514fc6b6-Audio_SP19,787.0688197287611,569.5252795531554,469.5691193409915,585.6740601809934,498.0778283096007,1683.433271340106,2208.673887283487,2664.288483301759,1191.0330761731277,873.3472533816238
51a17262-Audio_SP18,718.7786961345718,512.2561462495378,408.5976290047712,498.52475526709503,441.9585131673136,1777.5164300981637,2072.0085852707325,2805.0985379376166,1007.7391877290588,916.4845745850536
5278b5b9-Audio_SP15,496.2971158939776,387.8139001765837,333.0615261311883,416.7302761578784,356.2899651987251,1508.2060263176395,1946.9746455712268,2224.365761051657,1185.4477293377597,1138.7376982365845
5586979c-Audio_SP18,633.5785353020991,478.26414822172114,393.4612178596391,505.3922517455434,442.3057582097944,1552.8577772068884,1860.340573153164,2113.587946735772,1149.1790294959792,1018.2689828587676
5819ce7a-Audio_SP11,771.6711803254477,518.7199089563904,398.26607118562384,541.2232803672385,460.7589559721139,1687.1173834653844,2103.301331840108,2366.687870232576,1118.542887240905,973.7771957354092
5a932187-audio_SP16,734.4541565925302,539.7023906022721,386.6279313707991,572.5852856468946,484.37835255644495,1660.239864222974,1822.2011038079715,2121.1818220481823,1378.2347048952006,1193.1836767731015
63239054-Audio_SP15,622.6394355733177,468.40901741239645,377.5544605670518,514.9711017645832,432.5440503390523,1386.1024937143347,1800.8054064492533,2016.937289413809,1094.4855307134071,952.351143381052
713a2f9b-Audio_SP16,560.8757074124037,419.822377144979,327.0105516191462,446.9568007176956,373.4504956335479,1443.6567551124635,1787.668882688415,2048.6550889617192,1089.4097384888985,1017.591613213347
7a414497-Audio_SP15,685.6385394874496,523.7365748651381,368.4185680847525,539.291399142744,409.485653608252,1486.3521655311802,1828.3129029912743,2148.479074393479,1139.8428795610912,992.7449020340098
7aee4437-Audio_SP12,769.5168801046079,520.6957793353644,427.7558827361903,518.646572223963,461.6247067201473,1545.0443307531536,1931.0980524556635,2251.286759008278,1188.7982337180174,1097.6118000296494
7c3c98d2-Audio_SP13,844.92294211866,502.7022725570995,340.93978333551024,629.2976685259247,384.2300811559452,1650.1699266796115,2006.675369240936,2520.594418256848,1348.2862424776984,1197.0577195017145
7dec1dd7-Audio_SP13,658.4498834763972,447.7030326919797,362.710226230876,509.93664766640825,416.94373833122927,1515.4812393365437,1841.990740783444,2085.7642427103183,1159.299860823991,927.5592837035234
