audio,a_f1_median,e_f1_median,i_f1_median,o_f1_median,u_f1_median,a_f2_median,e_f2_median,i_f2_median,o_f2_median,u_f2_median
7e277fda-Audio_SP28,641.92737991814,534.8177036439233,409.4093360874458,518.0803010582499,449.6995008256927,992.208782114192,1974.2373095128603,2212.00755826398,1003.2869642161942,894.0251391319285
85c7895f-Audio_SP16,677.4185442188599,412.9333796610936,336.2113683691624,451.2528596696057,364.2411622643758,1478.9971261325522,1976.906292666752,2117.0372489725896,972.119783228264,998.8292556763474
919b9bc1-Audio_SP14,623.374477553683,451.2098133479648,329.03184554219786,498.5552797104741,427.4945633732293,1560.3784097753403,1893.2523338322085,2188.637451754093,1113.0031342948498,1065.2508178791531
9a0c18cb-Audio_SP14,632.9849018971888,443.82402778536857,305.2818775997876,487.5286412498596,399.08562807486175,1379.064290085321,1849.8259675000013,2020.921369510473,968.6708890490952,817.342751467971
a1a056ce-Audio_SP11,635.5771682307528,504.25605692217874,432.16265944905007,510.5079911853401,432.05138042671376,1731.3955387472738,2175.3810787259995,2513.0205942955904,1104.809299783717,901.4936298231002
a452055c-Audio_SP11,617.7155009899809,446.6448153767228,350.1009875471542,437.6527304457022,393.28584273756553,1378.643673812656,1755.6687164935213,2024.1236916583457,995.370611612758,876.7333404203047
adad0062-Audio_SP17,609.5767928202173,486.4616234101477,404.06514869413246,505.16989770063896,443.1538767376656,1428.624782600808,1854.5483191140609,2070.575701064853,1028.9719074410073,1009.5310479326408
c3533b36-Audio_SP16,670.2105464888284,477.07973814648005,354.2790248296264,496.1663508031624,438.7150328647799,1411.4937552547565,1808.3731986377,2042.3147727038,1018.425424562808,870.3360372571398
cafd9c21-Audio_SP27,642.3955865014308,502.513951679901,391.29739987478393,519.7949528657623,421.91852962558,1405.5773531437248,1735.529333990842,1960.4317996553264,1054.3292024346126,891.7463465220592
d4c363bf-Audio_SP13,651.215682359504,480.5955753876815,403.499217920337,495.0803713459371,438.38045946358034,1663.2547449494248,2113.211700758968,2502.554278927994,1125.3837612144334,994.4002414132538
dbeec025-Audio_SP13,647.9755167203483,557.8579520393638,421.22242201447006,572.2418618768222,474.67895061699113,1378.875299896733,1668.941175297129,1980.126667758952,1096.950758472241,978.58161301206
e90f8e4d-Audio_SP22,646.9277101755727,476.3367008471332,363.10855012588496,485.9719788216072,398.3404778959821,1469.226023658125,1965.6718614740776,2311.7145530598577,1007.2312930569356,794.6830916117715
f061152e-Audio_SP12,817.670470392077,584.8135835661226,481.4955661090145,586.0877437534923,489.5655292741939,1708.0188908035211,1907.247958975861,2411.643823070924,1246.511283743924,1010.567984132161
fcd45f4d-Audio_SP21,568.489910131493,456.6498201487687,376.56710038081,478.5544978352185,424.5716626359148,1341.6729895552846,1807.510445204089,1990.3813990246829,982.2333116962157,804.7419504000968
