audio,cluster,PC1,PC2,PC3
061ea7d0-Audio_SP16,1,-1.1622159529281983,0.543576400848472,-0.7056298332909553
0af9ac47-Audio_SP14,2,-2.757606894064458,-0.8542443199084292,-1.5122908385902796
0e6115f2-Audio_SP19,1,0.7996913567776565,-0.6068778122278138,1.136637461041421
0f786745-Audio_SP20,1,2.1450185997952396,2.516662748598722,-2.027270712019222
12c532f8-Audio_SP15,1,1.0293446854658082,-0.020168800208527665,0.42226017538987404
181d5ce9-Audio_SP21,1,1.7047359735606238,-0.7258887685860991,0.013957735167657784
1c403477-Audio_SP13,1,0.8490396397053955,-0.2576465984950536,0.1908846260023676
1d46eb6e-Audio_SP18,2,-0.9061214995741098,1.073407896940382,0.8947661823974746
2988c6fc-Audio_SP13,2,0.04424137371876409,1.1450519194821915,0.7088452089848041
2e25304d-Audio_SP12,2,-4.385364352660448,-0.01192070488401839,-0.6413506551942066
30a90cb2-Audio_SP21,1,0.576741254976355,-1.1588741953261046,0.047690267450862925
3361ee02-Audio_SP10,1,2.6051797613322205,-1.681330114908559,-1.2471705701000437
34ad326e-Audio_SP7,1,1.69980088612491,-1.3152341760509632,-0.46940152883859976
375a28cd-Audio_SP16,1,2.05465330114517,2.222349990549473,0.45340499586824384
42d56bbf-Audio_SP23,1,3.8959177445892985,1.3994137784631933,1.7751688254186841
49ae7020-Audio_SP17,2,-2.871552172403068,0.7534624193336704,-0.9663310924560924
501e6487-Audio_SP19,1,3.2616422946580754,-2.3041519603056573,0.57050809504225
514fc6b6-Audio_SP19,2,-4.828089448621861,2.0333070833161173,0.8666813825735747
51a17262-Audio_SP18,2,-2.1101634296210143,1.9607278273815048,2.242706318251232
5278b5b9-Audio_SP15,1,2.5344841492052312,-1.8868799660300157,2.2988308148171543
5586979c-Audio_SP18,1,-0.2594671383606526,-0.8240426632283396,-0.20227059941015532
5819ce7a-Audio_SP11,2,-2.465719598118075,0.6057207636074062,0.9765534449751847
5a932187-audio_SP16,2,-3.0256297766217046,-3.2457192686029526,-0.5091851782328985
63239054-Audio_SP15,1,0.7291883026070368,-0.3603034884168475,-1.0681232368140754
713a2f9b-Audio_SP16,1,2.6585867903140454,-1.20578630344354,0.44764618728426897
7a414497-Audio_SP15,1,-0.4684359756577117,-0.7423362398301933,-0.5585572957805192
7aee4437-Audio_SP12,2,-2.3167938894527813,-0.8854270092592563,-0.07384079854204707
7c3c98d2-Audio_SP13,2,-3.1715281041919097,-2.6974615672005497,1.92794054608995
7dec1dd7-Audio_SP13,1,0.5249746736959757,-0.6384560035899006,-0.055960499083178246
7e277fda-Audio_SP28,1,0.04652868416599217,2.0411283266240297,-1.858925885688387
85c7895f-Audio_SP16,1,2.057596338609134,0.11125404585358037,1.3118402065739476
919b9bc1-Audio_SP14,1,0.5921354691827327,-1.1173898783963832,0.7394456370137165
9a0c18cb-Audio_SP14,1,2.4447982556982932,0.883527306945917,-0.3747935685470538
a1a056ce-Audio_SP11,2,-1.7410571933712868,1.5959572542307847,1.822404654226919
a452055c-Audio_SP11,1,2.503077042151146,0.34206872420253215,-0.5417942468514367
adad0062-Audio_SP17,1,0.2952664213092321,0.00680198412999351,-0.8893282908198823
c3533b36-Audio_SP16,1,0.9490343453646111,0.5327053959484308,-1.000987948128205
cafd9c21-Audio_SP27,1,0.6491399630497288,0.04024240403726936,-1.7444198752749702
d4c363bf-Audio_SP13,2,-1.3201059284817218,0.6322049252139125,1.8719304353916288
dbeec025-Audio_SP13,2,-1.0435360825870572,-0.5415677796809423,-2.9400827362584736
e90f8e4d-Audio_SP22,2,0.8603119919516578,1.7651976400269942,0.5108894118699252
f061152e-Audio_SP12,2,-4.715997224355727,-0.33017324157548367,-0.5918389873898061
fcd45f4d-Audio_SP21,1,2.038255361917477,1.207112024421025,-1.251438234520677
