config_id,true_vowel,predicted_vowel,count,row_percent
QDA__F1_F2,i,e,7799,34.908911866075826
QDA__F1_F2,i,i,13702,61.33118481715232
QDA__F1_F2,i,o,170,0.7609328141085896
QDA__F1_F2,i,u,11,0.049236829148202856
QDA__F1_F2,o,a,4278,12.878172130407297
QDA__F1_F2,o,e,1384,4.166290375989645
QDA__F1_F2,o,i,28,0.08428911165296969
QDA__F1_F2,o,o,27410,82.51301965742496
QDA__F1_F2,o,u,119,0.35822872452512117
QDA__F1_F2,u,a,334,4.981357196122297
QDA__F1_F2,u,e,463,6.905294556301268
QDA__F1_F2,u,i,87,1.2975391498881432
QDA__F1_F2,u,o,5682,84.74272930648769
QDA__F1_F2,u,u,139,2.0730797912005965
QDA__ALL_SAFE_NUMERIC,a,a,30060,75.77705513121077
QDA__ALL_SAFE_NUMERIC,a,e,4175,10.52459099044594
QDA__ALL_SAFE_NUMERIC,a,i,122,0.30754493433159397
QDA__ALL_SAFE_NUMERIC,a,o,5203,13.11603519120724
QDA__ALL_SAFE_NUMERIC,a,u,109,0.27477375280445687
QDA__ALL_SAFE_NUMERIC,e,a,3436,9.37286887258245
QDA__ALL_SAFE_NUMERIC,e,e,28343,77.31525682642734
QDA__ALL_SAFE_NUMERIC,e,i,3798,10.360348072778853
QDA__ALL_SAFE_NUMERIC,e,o,827,2.2559262391227257
QDA__ALL_SAFE_NUMERIC,e,u,255,0.6955999890886276
QDA__ALL_SAFE_NUMERIC,i,a,668,2.990018351909046
QDA__ALL_SAFE_NUMERIC,i,e,6846,30.643212031690613
QDA__ALL_SAFE_NUMERIC,i,i,14498,64.89414081733136
QDA__ALL_SAFE_NUMERIC,i,o,152,0.6803634573206213
QDA__ALL_SAFE_NUMERIC,i,u,177,0.7922653417483551
QDA__ALL_SAFE_NUMERIC,o,a,4588,13.811373009422319
QDA__ALL_SAFE_NUMERIC,o,e,1282,3.8592371835395407
QDA__ALL_SAFE_NUMERIC,o,i,37,0.11138204039856708
QDA__ALL_SAFE_NUMERIC,o,o,26754,80.53824618441253
QDA__ALL_SAFE_NUMERIC,o,u,558,1.6797615822270386
QDA__ALL_SAFE_NUMERIC,u,a,340,5.070842654735272
QDA__ALL_SAFE_NUMERIC,u,e,303,4.519015659955257
QDA__ALL_SAFE_NUMERIC,u,i,117,1.74496644295302
QDA__ALL_SAFE_NUMERIC,u,o,5449,81.26771066368381
QDA__ALL_SAFE_NUMERIC,u,u,496,7.397464578672633
Random forest__F1_F2,a,a,29570,74.54183367364945
Random forest__F1_F2,a,e,4068,10.254858957876428
Random forest__F1_F2,a,i,257,0.6478610501903249
Random forest__F1_F2,a,o,5536,13.955481610325442
Random forest__F1_F2,a,u,238,0.5999647079583554
Random forest__F1_F2,e,a,3843,10.483101012029788
Random forest__F1_F2,e,e,26654,72.7079298398756
Random forest__F1_F2,e,i,5068,13.824708802749665
Random forest__F1_F2,e,o,994,2.711476035898415
Random forest__F1_F2,e,u,100,0.27278430944652066
Random forest__F1_F2,i,a,509,2.278322366948659
Random forest__F1_F2,i,e,6508,29.130298554227654
Random forest__F1_F2,i,i,15111,67.6379750234994
Random forest__F1_F2,i,o,140,0.6266505527953091
Random forest__F1_F2,i,u,73,0.3267535025289826
Random forest__F1_F2,o,a,5669,17.065534784310184
Random forest__F1_F2,o,e,1183,3.5612149673379694
Random forest__F1_F2,o,i,76,0.22878473162948915
Random forest__F1_F2,o,o,24339,73.2683103043439
Random forest__F1_F2,o,u,1952,5.876155212378458
Random forest__F1_F2,u,a,514,7.6659209545115585
Random forest__F1_F2,u,e,310,4.6234153616703955
Random forest__F1_F2,u,i,158,2.356450410141685
Random forest__F1_F2,u,o,4481,66.83072334079046
Random forest__F1_F2,u,u,1242,18.523489932885905
Logistic regression__F1_F2_F3,a,a,29540,74.46620787012529
Logistic regression__F1_F2_F3,a,e,4369,11.013637853235524
Logistic regression__F1_F2_F3,a,i,93,0.23443999092490359
Logistic regression__F1_F2_F3,a,o,4841,12.203483828682346
Logistic regression__F1_F2_F3,a,u,826,2.0822304570319394
Logistic regression__F1_F2_F3,e,a,2864,7.812542622548351
Logistic regression__F1_F2_F3,e,e,25005,68.20971657710248
Logistic regression__F1_F2_F3,e,i,7648,20.8625439864699
Logistic regression__F1_F2_F3,e,o,564,1.5385035052783764
Logistic regression__F1_F2_F3,e,u,578,1.5766933086008892
Logistic regression__F1_F2_F3,i,a,510,2.2827984423257686
Logistic regression__F1_F2_F3,i,e,3654,16.355579427957565
Logistic regression__F1_F2_F3,i,i,17862,79.95165838592722
Logistic regression__F1_F2_F3,i,o,58,0.2596123718723423
Logistic regression__F1_F2_F3,i,u,257,1.150351371917103
Logistic regression__F1_F2_F3,o,a,4530,13.636774135284025
Logistic regression__F1_F2_F3,o,e,935,2.814654264125952
Logistic regression__F1_F2_F3,o,i,37,0.11138204039856708
Logistic regression__F1_F2_F3,o,o,16796,50.561425690117105
Logistic regression__F1_F2_F3,o,u,10921,32.87576387007436
Logistic regression__F1_F2_F3,u,a,340,5.070842654735272
Logistic regression__F1_F2_F3,u,e,235,3.504847129008203
Logistic regression__F1_F2_F3,u,i,98,1.4615958240119313
Logistic regression__F1_F2_F3,u,o,1392,20.76062639821029
Logistic regression__F1_F2_F3,u,u,4640,69.2020879940343
Logistic regression__F1_F2,a,a,29298,73.85615972169704
Logistic regression__F1_F2,a,e,4336,10.930449469358946
Logistic regression__F1_F2,a,i,103,0.2596485920996244
Logistic regression__F1_F2,a,o,4858,12.246338450679373
Logistic regression__F1_F2,a,u,1074,2.7074037661650157
Logistic regression__F1_F2,e,a,2815,7.678878310919556
Logistic regression__F1_F2,e,e,25036,68.2942797130309
Logistic regression__F1_F2,e,i,7656,20.88436673122562
Logistic regression__F1_F2,e,o,539,1.4703074279167463
Logistic regression__F1_F2,e,u,613,1.6721678169071714
Logistic regression__F1_F2,i,a,512,2.2917505930799873
Logistic regression__F1_F2,i,e,3852,17.24184235262522
Logistic regression__F1_F2,i,i,17671,79.09672798889933
Logistic regression__F1_F2,i,o,52,0.23275591960968622
Logistic regression__F1_F2,i,u,254,1.1369231457857751
Logistic regression__F1_F2,o,a,4548,13.69095999277522
Logistic regression__F1_F2,o,e,949,2.856798819952437
Logistic regression__F1_F2,o,i,42,0.12643366747945453
Logistic regression__F1_F2,o,o,16932,50.97082994671724
Logistic regression__F1_F2,o,u,10748,32.35497757307565
Logistic regression__F1_F2,u,a,337,5.026099925428785
Logistic regression__F1_F2,u,e,233,3.4750186428038776
Logistic regression__F1_F2,u,i,114,1.7002237136465324
Logistic regression__F1_F2,u,o,1395,20.80536912751678
Logistic regression__F1_F2,u,u,4626,68.99328859060402
Logistic regression__ALL_SAFE_NUMERIC,a,a,29261,73.76288789735058
Logistic regression__ALL_SAFE_NUMERIC,a,e,4339,10.93801204971136
Logistic regression__ALL_SAFE_NUMERIC,a,i,112,0.2823363331568731
Logistic regression__ALL_SAFE_NUMERIC,a,o,5264,13.269807658373036
Logistic regression__ALL_SAFE_NUMERIC,a,u,693,1.7469560614081525
Logistic regression__ALL_SAFE_NUMERIC,e,a,2901,7.913472817043564
Logistic regression__ALL_SAFE_NUMERIC,e,e,24827,67.72416050628767
Logistic regression__ALL_SAFE_NUMERIC,e,i,7640,20.840721241714178
Logistic regression__ALL_SAFE_NUMERIC,e,o,601,1.639433699773589
Logistic regression__ALL_SAFE_NUMERIC,e,u,690,1.8822117351809924
Logistic regression__ALL_SAFE_NUMERIC,i,a,498,2.2290855378004566
Logistic regression__ALL_SAFE_NUMERIC,i,e,3582,16.033302000805694
Logistic regression__ALL_SAFE_NUMERIC,i,i,17881,80.03670381809229
Logistic regression__ALL_SAFE_NUMERIC,i,o,76,0.34018172866031066
Logistic regression__ALL_SAFE_NUMERIC,i,u,304,1.3607269146412426
Logistic regression__ALL_SAFE_NUMERIC,o,a,4655,14.01306481230621
Logistic regression__ALL_SAFE_NUMERIC,o,e,934,2.8116439387097745
Logistic regression__ALL_SAFE_NUMERIC,o,i,52,0.15653692164122943
Logistic regression__ALL_SAFE_NUMERIC,o,o,16857,50.74505554050393
Logistic regression__ALL_SAFE_NUMERIC,o,u,10721,32.27369878683886
Logistic regression__ALL_SAFE_NUMERIC,u,a,314,4.683072334079045
Logistic regression__ALL_SAFE_NUMERIC,u,e,163,2.431021625652498
Logistic regression__ALL_SAFE_NUMERIC,u,i,117,1.74496644295302
Logistic regression__ALL_SAFE_NUMERIC,u,o,1503,22.416107382550337
Logistic regression__ALL_SAFE_NUMERIC,u,u,4608,68.7248322147651
Nearest centroid__F1_F2,a,a,29287,73.82843026040484
Nearest centroid__F1_F2,a,e,4042,10.189316594822154
Nearest centroid__F1_F2,a,i,107,0.2697320325695127
Nearest centroid__F1_F2,a,o,5228,13.179056694144043
Nearest centroid__F1_F2,a,u,1005,2.5334644180594417
Nearest centroid__F1_F2,e,a,3301,9.004610054829646
Nearest centroid__F1_F2,e,e,24081,65.68918955781663
Nearest centroid__F1_F2,e,i,8081,22.04370004637333
Nearest centroid__F1_F2,e,o,827,2.2559262391227257
Nearest centroid__F1_F2,e,u,369,1.006574101857661
Nearest centroid__F1_F2,i,a,736,3.294391477552482
Nearest centroid__F1_F2,i,e,3260,14.592005729376483
Nearest centroid__F1_F2,i,i,18069,80.87820598898885
Nearest centroid__F1_F2,i,o,76,0.34018172866031066
Nearest centroid__F1_F2,i,u,200,0.8952150754218701
Nearest centroid__F1_F2,o,a,4280,12.884192781239651
Nearest centroid__F1_F2,o,e,1167,3.5130497606791296
Nearest centroid__F1_F2,o,i,50,0.15051627080887445
Nearest centroid__F1_F2,o,o,16543,49.7998133598242
Nearest centroid__F1_F2,o,u,11179,33.65242782744815
Nearest centroid__F1_F2,u,a,324,4.832214765100671
Nearest centroid__F1_F2,u,e,266,3.967188665175242
Nearest centroid__F1_F2,u,i,135,2.0134228187919465
Nearest centroid__F1_F2,u,o,1264,18.85160328113348
Nearest centroid__F1_F2,u,u,4716,70.33557046979865
Nearest centroid__F1_F2_F3,a,a,28854,72.73689782953944
Nearest centroid__F1_F2_F3,a,e,3861,9.733040913559707
Nearest centroid__F1_F2_F3,a,i,318,0.8016335173561219
Nearest centroid__F1_F2_F3,a,o,5550,13.990773651970052
Nearest centroid__F1_F2_F3,a,u,1086,2.7376540875746804
Nearest centroid__F1_F2_F3,e,a,3408,9.296489265937423
Nearest centroid__F1_F2_F3,e,e,23321,63.616028806023074
Nearest centroid__F1_F2_F3,e,i,7907,21.569055347936388
