config_id,model,feature_set,fold,train_tokens,test_tokens,train_speakers,test_speakers,speaker_overlap,accuracy,balanced_accuracy,macro_f1
QDA__F1_F2,QDA,F1_F2,3,110505,28088,34,9,0,0.717281401310168,0.5838056725859333,0.5834037522485349
QDA__F1_F2,QDA,F1_F2,4,111885,26708,35,8,0,0.7009510259098397,0.5804049253886202,0.5708244523625037
QDA__F1_F2,QDA,F1_F2,5,110183,28410,34,9,0,0.7578317493840198,0.6148480241917946,0.6089501965375709
Nearest centroid__F1_F2,Nearest centroid,F1_F2,1,111294,27299,35,8,0,0.5674200520165574,0.6296611921515776,0.5468461900877314
Nearest centroid__F1_F2,Nearest centroid,F1_F2,2,110505,28088,34,9,0,0.6554400455710624,0.6661133284275593,0.6137305834196608
Nearest centroid__F1_F2,Nearest centroid,F1_F2,3,110505,28088,34,9,0,0.7041797208772429,0.6864581829321693,0.6659011962628992
Nearest centroid__F1_F2,Nearest centroid,F1_F2,4,111885,26708,35,8,0,0.6706230342968399,0.6837897948829406,0.6354650076561881
Nearest centroid__F1_F2,Nearest centroid,F1_F2,5,110183,28410,34,9,0,0.7429074269623372,0.7263194098851341,0.6959066980984089
Logistic regression__ALL_SAFE_NUMERIC,Logistic regression,ALL_SAFE_NUMERIC,1,111294,27299,35,8,0,0.5933916993296457,0.6506089901400386,0.5724429282733161
Logistic regression__ALL_SAFE_NUMERIC,Logistic regression,ALL_SAFE_NUMERIC,2,110505,28088,34,9,0,0.6593919111364284,0.6663281996240842,0.6194840244033377
Logistic regression__ALL_SAFE_NUMERIC,Logistic regression,ALL_SAFE_NUMERIC,3,110505,28088,34,9,0,0.7041797208772429,0.6746514694086242,0.6627657756389539
Logistic regression__ALL_SAFE_NUMERIC,Logistic regression,ALL_SAFE_NUMERIC,4,111885,26708,35,8,0,0.6776621237082522,0.690348110176294,0.6387565056454438
Logistic regression__ALL_SAFE_NUMERIC,Logistic regression,ALL_SAFE_NUMERIC,5,110183,28410,34,9,0,0.7334037310806054,0.7143222199292133,0.6856666776841649
Random forest__ALL_SAFE_NUMERIC,Random forest,ALL_SAFE_NUMERIC,1,111294,27299,35,8,0,0.7322246236125866,0.6930172031607154,0.6860195629969162
Random forest__ALL_SAFE_NUMERIC,Random forest,ALL_SAFE_NUMERIC,2,110505,28088,34,9,0,0.7371119339219595,0.6477338592381786,0.6597123784272602
Random forest__ALL_SAFE_NUMERIC,Random forest,ALL_SAFE_NUMERIC,3,110505,28088,34,9,0,0.7271788664198234,0.6196031038450951,0.6310255287929992
Random forest__ALL_SAFE_NUMERIC,Random forest,ALL_SAFE_NUMERIC,4,111885,26708,35,8,0,0.7428485846937247,0.6477805458705879,0.6597808050369429
Random forest__ALL_SAFE_NUMERIC,Random forest,ALL_SAFE_NUMERIC,5,110183,28410,34,9,0,0.7790918690601901,0.6581584327999638,0.668779438418007
QDA__ALL_SAFE_NUMERIC,QDA,ALL_SAFE_NUMERIC,1,111294,27299,35,8,0,0.7206491080259351,0.6398524780259605,0.6335467769760414
QDA__ALL_SAFE_NUMERIC,QDA,ALL_SAFE_NUMERIC,2,110505,28088,34,9,0,0.7045357448020507,0.5969722337716401,0.5980051177478447
QDA__ALL_SAFE_NUMERIC,QDA,ALL_SAFE_NUMERIC,3,110505,28088,34,9,0,0.6946382796923953,0.5683010947922014,0.5729938562534652
QDA__ALL_SAFE_NUMERIC,QDA,ALL_SAFE_NUMERIC,4,111885,26708,35,8,0,0.7270480754830013,0.6165306235746184,0.6199123577015156
QDA__ALL_SAFE_NUMERIC,QDA,ALL_SAFE_NUMERIC,5,110183,28410,34,9,0,0.7659274903203097,0.6311861043016775,0.6310640465650099
Nearest centroid__ALL_SAFE_NUMERIC,Nearest centroid,ALL_SAFE_NUMERIC,1,111294,27299,35,8,0,0.5353309645041943,0.6006093275226597,0.518062938858636
Nearest centroid__ALL_SAFE_NUMERIC,Nearest centroid,ALL_SAFE_NUMERIC,2,110505,28088,34,9,0,0.602712902307035,0.6073489756262875,0.5639198039376347
Nearest centroid__ALL_SAFE_NUMERIC,Nearest centroid,ALL_SAFE_NUMERIC,3,110505,28088,34,9,0,0.6650170891483907,0.6168585338367973,0.6124334043455925
Nearest centroid__ALL_SAFE_NUMERIC,Nearest centroid,ALL_SAFE_NUMERIC,4,111885,26708,35,8,0,0.5953646847386551,0.6216493703981243,0.566185531471784
Nearest centroid__ALL_SAFE_NUMERIC,Nearest centroid,ALL_SAFE_NUMERIC,5,110183,28410,34,9,0,0.7079901443153819,0.685008576779725,0.6582134223512366
