rank,config_id,model,feature_set,n_features,features,accuracy_oof,balanced_accuracy_oof,speaker_macro_balanced_accuracy,macro_f1_oof,fold_accuracy_mean,fold_accuracy_sd
1,Random forest__ALL_SAFE_NUMERIC,Random forest,ALL_SAFE_NUMERIC,6,"F1, F2, F3, B1_Hz, B2_Hz, B3_Hz",0.7438470918444654,0.6554803715067143,0.6429888671809881,0.6663769711269713,0.7436911755416569,0.020623673574908696
2,Random forest__F1_F2_F3,Random forest,F1_F2_F3,3,"F1, F2, F3",0.7278866898039583,0.6394068246362554,0.6307905707730309,0.6478865495730103,0.7276901031180646,0.021485649000074724
3,QDA__F1_F2_F3,QDA,F1_F2_F3,3,"F1, F2, F3",0.7278145360876812,0.6052305407066194,0.596936820144308,0.6003309170809368,0.7276687061945173,0.021446706142363648
4,QDA__F1_F2,QDA,F1_F2,2,"F1, F2",0.7226627607454922,0.6010762867322905,0.593045289514526,0.595907977141429,0.7223123979363042,0.021432251321439777
5,QDA__ALL_SAFE_NUMERIC,QDA,ALL_SAFE_NUMERIC,6,"F1, F2, F3, B1_Hz, B2_Hz, B3_Hz",0.7226266838873536,0.6118443270761094,0.6004033559010696,0.6138508976691035,0.7225597396647385,0.0274273120556766
6,Random forest__F1_F2,Random forest,F1_F2,2,"F1, F2",0.6992849566716933,0.6133590775485086,0.6051325823957833,0.6201141010568059,0.6989592321133923,0.022827401018465084
7,Logistic regression__F1_F2_F3,Logistic regression,F1_F2_F3,3,"F1, F2, F3",0.6771121196597231,0.6847821930346127,0.6832925582547186,0.6380253705738135,0.6766886300545784,0.05492182154549438
8,Logistic regression__F1_F2,Logistic regression,F1_F2,2,"F1, F2",0.6750918156039627,0.6824225719218971,0.6822988596474638,0.6361132004954518,0.6744072321279575,0.06151787998919542
9,Logistic regression__ALL_SAFE_NUMERIC,Logistic regression,ALL_SAFE_NUMERIC,6,"F1, F2, F3, B1_Hz, B2_Hz, B3_Hz",0.6741610326639874,0.6819872799539992,0.6793395217374346,0.6357679475761648,0.6736058372264349,0.05282837198023339
10,Nearest centroid__F1_F2,Nearest centroid,F1_F2,2,"F1, F2",0.6688360884027332,0.6810624192736663,0.6811419139761525,0.6315800778146,0.668114055944808,0.06557626947610654
11,Nearest centroid__F1_F2_F3,Nearest centroid,F1_F2_F3,3,"F1, F2, F3",0.6473920039251622,0.6586295557650261,0.6581475937583693,0.611052935940535,0.6464713093021606,0.06974295001792584
12,Nearest centroid__ALL_SAFE_NUMERIC,Nearest centroid,ALL_SAFE_NUMERIC,6,"F1, F2, F3, B1_Hz, B2_Hz, B3_Hz",0.6222320030593176,0.6299215556837547,0.6258331285177995,0.5859432484382227,0.6212831570027314,0.06677417058457105
