half,n_tokens,n_vowels_present,min_tokens_per_vowel,vowel_space_area,mean_pairwise_centroid_distance,min_pairwise_centroid_distance,mean_pairwise_separation_score,min_pairwise_separation_score,mean_within_vowel_dispersion,silhouette_by_vowel
H1,1881,5,57,129870.47540285724,643.553551666316,125.99541273504018,2.9278993450936577,0.4198409328131577,218.9281884753771,0.18447737669030947
H2,1770,5,81,146249.8500276548,701.9334892629586,283.42004487756833,3.1509694141778057,0.9167752925003056,217.46180064002596,0.18349681345178417
