center_f1,center_f2,cov_00_f2,cov_01,cov_11_f1,det_cov,region_level,chi2_q,width_f2_axis,height_f1_axis,angle_degrees,ellipse_area_analytic,raw_n_tokens,filtered_n_tokens,removed_outliers,removed_outliers_percent,audio,half,vowel
450.497131689345,2350.5880325113367,50152.760040332396,-5202.697996667549,9484.683702124847,448614999.32658976,0.8,3.218875824868201,808.8114287174292,337.17380748540216,172.8240549008402,214185.9558839635,294,288,6,2.0408163265306123,49ae7020-Audio_SP17,H1,i
549.8765236552686,1947.4699200521432,43266.18850719162,-1094.1284124509593,2627.1170535609804,112468224.68689466,0.8,3.218875824868201,746.6277223721726,182.88370992662402,178.458910198381,107243.0151624691,363,350,13,3.581267217630854,49ae7020-Audio_SP17,H1,e
664.4837889483452,1535.416789474483,28963.800308042457,-1716.0087254604875,3958.096230934632,111696822.88694952,0.8,3.218875824868201,611.9090284200962,222.38104337032792,176.0925084156147,106874.600895379,357,340,17,4.761904761904762,49ae7020-Audio_SP17,H1,a
569.2777060981246,1167.4593170293488,44356.5568405076,1457.4036560389768,2191.2309971433524,95071436.85883531,0.8,3.218875824868201,756.1486681092492,166.02827350618136,-178.02277238002165,98600.50168822722,327,320,7,2.1406727828746175,49ae7020-Audio_SP17,H1,o
503.7270991157507,933.565914920934,44010.179690621735,4092.9776401638624,3274.9495023347977,127378650.11258543,0.8,3.218875824868201,756.2379863821769,192.15604308098176,-174.31872732714098,114130.68317867444,54,53,1,1.8518518518518516,49ae7020-Audio_SP17,H1,u
473.6268368017976,2345.674084664115,46320.96396485503,-5020.537469170247,8621.76844647884,374162829.04332787,0.8,3.218875824868201,777.7318537148233,320.23194119494894,172.5428366948256,195607.01069494968,247,239,8,3.2388663967611335,49ae7020-Audio_SP17,H2,i
549.5958348965537,1945.9531979114104,46150.667610968594,-1304.4592566454892,2714.795235654792,123587998.60029723,0.8,3.218875824868201,771.1789810927943,185.6082089581301,178.2813669573674,112419.65430516221,289,284,5,1.7301038062283738,49ae7020-Audio_SP17,H2,e
658.2554072172073,1541.8849524584982,32981.59895173908,-465.91578260643087,3917.656627659227,128993502.20759745,0.8,3.218875824868201,651.7291063663713,224.37838326256872,179.08182219818022,114851.85471682953,269,262,7,2.6022304832713754,49ae7020-Audio_SP17,H2,a
577.7179202210075,1112.946326088516,36165.95475018979,1904.3697517642945,2525.62078486802,87714862.87024094,0.8,3.218875824868201,683.4021539960912,176.45113878051595,-176.7702556443466,94708.87769414227,238,233,5,2.100840336134454,49ae7020-Audio_SP17,H2,o
491.1304599821578,961.10953620187,77828.0336176443,-300.47614662608737,6736.591085650936,524205351.56767136,0.8,3.218875824868201,1001.0451813945194,294.48369936682553,179.75783857547876,231528.69345705878,33,31,2,6.0606060606060606,49ae7020-Audio_SP17,H2,u
