half,vowel,nearest_vowel,nearest_centroid_distance,within_dispersion_mean,pooled_dispersion_with_nearest,differentiation_score,overlap_risk,silhouette_mean,silhouette_median,n_silhouette_tokens
H1,i,e,352.17151149602614,233.4340763047956,208.17901801045457,1.6916763027402713,0.5911296377327887,0.16559920538878195,0.35152960261918315,317
H1,e,i,352.17151149602614,179.4032861998943,208.17901801045457,1.6916763027402713,0.5911296377327887,0.19113955173092825,0.28178305434775636,334
H1,a,e,375.27076360351,184.17623997294893,181.805426857801,2.0641340035302016,0.4844646705542092,0.17243804692024112,0.3185987678781814,495
H1,o,u,268.68915977034595,140.99265500781743,224.9942652922265,1.1942044808180678,0.8373775312875802,0.3589902789161159,0.4824865579283133,288
H1,u,o,268.68915977034595,285.2471035131192,224.9942652922265,1.1942044808180678,0.8373775312875802,-0.09707000942426959,-0.04268801917286471,69
H2,i,e,369.48081184499625,228.58580777629783,214.45891194521977,1.7228512841628818,0.5804331512489722,0.15907349767507953,0.32410436278203886,179
H2,e,i,369.48081184499625,199.33333466510933,214.45891194521977,1.7228512841628818,0.5804331512489722,0.12367799967315235,0.19676194517930803,157
H2,a,o,343.08525387904353,172.12155039080304,156.12208453367526,2.1975446645092713,0.45505332207812377,0.22033934311145423,0.34885335480672386,240
H2,o,u,183.56186752142852,138.2837027611943,204.06518262513802,0.8995256572436783,1.1116970282584209,0.3710345519276359,0.47073434472660247,153
H2,u,o,183.56186752142852,253.30379995238036,204.06518262513802,0.8995256572436783,1.1116970282584209,-0.18673932254745224,-0.22718187077466095,41
