vowel,f1_centroid_H1,f2_centroid_H1,f1_centroid_H2,f2_centroid_H2,f1_shift_H2_minus_H1,f2_shift_H2_minus_H1,centroid_shift_distance
i,365.9938742202031,2148.677194910437,369.6243095133681,2142.045284845531,3.6304352931649646,-6.631910064905696,7.560574814579594
e,518.4089430982385,1831.1958249242605,538.7648834026602,1813.5524590699315,20.355940304421665,-17.643365854328977,26.937940981947378
a,681.547699122403,1493.2403658790638,693.0143434799193,1464.3128901484736,11.466644357516316,-28.92747573059023,31.117242566873557
o,537.2467084360679,1131.9948901698656,545.2311695622923,1154.6879154838316,7.984461126224346,22.693025313966018,24.056704208525538
u,402.3912889635689,899.5989340583385,427.9254936136509,1013.4989017533476,25.53420465008196,113.89996769500908,116.72702449748463
