half,vowel,nearest_vowel,nearest_centroid_distance,within_dispersion_mean,pooled_dispersion_with_nearest,differentiation_score,overlap_risk,silhouette_mean,silhouette_median,n_silhouette_tokens
H1,i,e,244.89441813002432,182.89363892583404,166.52723663323437,1.470596780930129,0.6799960485208705,0.12657858553201634,0.28112375653578947,492
H1,e,i,244.89441813002432,148.366296448584,166.52723663323437,1.470596780930129,0.6799960485208705,0.2218257056628227,0.3073664373905078,675
H1,a,o,372.46803458381487,165.95966177695996,162.3612307454741,2.2940700367547415,0.43590648235597423,0.13775480055598602,0.25503812010752036,747
H1,o,u,197.50894497789707,158.68121867835282,154.8332918463379,1.2756232372422336,0.7839305296459613,0.012646604332984725,0.06659976280369712,602
H1,u,o,197.50894497789707,150.88726707943005,154.8332918463379,1.2756232372422336,0.7839305296459613,0.22296337687375603,0.3633008360901029,101
H2,i,e,258.37891202946423,197.55785936719957,169.39450604938057,1.5253086894928198,0.6556049977873724,0.09912702369802356,0.25712001945192653,476
H2,e,i,258.37891202946423,135.49866996276037,169.39450604938057,1.5253086894928198,0.6556049977873724,0.2562553336267004,0.35452283405333496,631
H2,a,e,343.5209291655365,160.50654468148215,148.5298630701343,2.3128071491140427,0.4323750038489226,0.19288838892238147,0.33788885652420597,816
H2,o,u,188.4367085873305,176.72676861891074,172.83008294484782,1.0903004001187857,0.9171784215534108,-0.020116616178058797,0.014362718515162355,552
H2,u,o,188.4367085873305,168.8434908279379,172.83008294484782,1.0903004001187857,0.9171784215534108,0.15530785189166332,0.2538947280284186,105
