half,n_tokens,n_vowels_present,min_tokens_per_vowel,vowel_space_area,mean_pairwise_centroid_distance,min_pairwise_centroid_distance,mean_pairwise_separation_score,min_pairwise_separation_score,mean_within_vowel_dispersion,silhouette_by_vowel
H1,2617,5,101,137652.50734045322,600.8979091678588,197.50894497789707,3.711961538906189,1.2756232372422336,161.3576165818322,0.13820912636694865
H2,2580,5,105,132663.1635348532,567.4453372726597,188.4367085873305,3.3464116535844624,1.0903004001187857,167.82666669165818,0.1401108937127854
