pair,centroid_distance_H1,centroid_distance_H2
i-e,349.486212707724,326.2573121908011
i-a,583.8148450933982,572.2497069188014
i-o,763.908209993433,782.280267090289
i-u,936.9010313822035,962.1450897799745
e-a,243.8790292734579,258.67501213267957
e-o,432.57718541687615,471.20692552423196
e-u,625.6685726532936,670.3690666911416
a-o,315.4733675055618,349.61400290305943
a-u,523.3630821911726,569.2535972087776
o-u,208.717802115553,219.76832106964986
