half,vowel,nearest_vowel,nearest_centroid_distance,within_dispersion_mean,pooled_dispersion_with_nearest,differentiation_score,overlap_risk,silhouette_mean,silhouette_median,n_silhouette_tokens
H1,i,e,374.1562202773935,509.11906777842927,414.41746302439714,0.9028485854500938,1.1076054347490323,-0.15071582207612447,-0.1423429360896195,144
H1,e,i,374.1562202773935,290.3126627337814,414.41746302439714,0.9028485854500938,1.1076054347490323,0.003989043660587471,0.06022156869897703,202
H1,a,o,293.20411162819,137.55027988828041,183.75781446321847,1.5956007774944376,0.6267231842104602,0.4338312094747475,0.532965168696786,244
H1,o,a,293.20411162819,220.48534929843515,183.75781446321847,1.5956007774944376,0.6267231842104602,-0.033187006897400874,-0.03249423516813563,168
H1,u,o,302.6031488617409,213.913700047311,217.22437745702473,1.393044152798216,0.717852336547477,0.061219824837966286,0.11965194702606417,31
H2,i,e,429.99803666449185,475.31101425572507,402.7334988240397,1.0676987087492427,0.9365938085393506,-0.10783988684926843,-0.03522736203409651,123
H2,e,a,414.05573959852325,313.7960832727195,245.65820038368034,1.685495289600884,0.5932974159997769,-0.019963645577121266,0.02532749643963632,183
H2,a,o,308.15847701296383,149.0903114028453,182.8088214415037,1.6856871270381788,0.593229896556807,0.4237407079959258,0.5194869534997091,231
H2,o,u,179.98456332277706,211.21129098479986,237.32043742555177,0.7584031332288389,1.3185599533886185,-0.03765843809715364,-0.0024844301766642905,154
H2,u,o,179.98456332277706,260.82900643955355,237.32043742555177,0.7584031332288389,1.3185599533886185,-0.017218288780192485,0.09376051531262503,28
