H1_audio,061ea7d0-Audio_SP16,0af9ac47-Audio_SP14,0e6115f2-Audio_SP19,0f786745-Audio_SP20,12c532f8-Audio_SP15,181d5ce9-Audio_SP21,1c403477-Audio_SP13,1d46eb6e-Audio_SP18,2988c6fc-Audio_SP13,2e25304d-Audio_SP12,30a90cb2-Audio_SP21,3361ee02-Audio_SP10,34ad326e-Audio_SP7,375a28cd-Audio_SP16,42d56bbf-Audio_SP23,49ae7020-Audio_SP17,501e6487-Audio_SP19,514fc6b6-Audio_SP19,51a17262-Audio_SP18,5278b5b9-Audio_SP15,5586979c-Audio_SP18,5819ce7a-Audio_SP11,5a932187-audio_SP16,63239054-Audio_SP15,713a2f9b-Audio_SP16,7a414497-Audio_SP15,7aee4437-Audio_SP12,7c3c98d2-Audio_SP13,7dec1dd7-Audio_SP13,7e277fda-Audio_SP28,85c7895f-Audio_SP16,919b9bc1-Audio_SP14,9a0c18cb-Audio_SP14,a1a056ce-Audio_SP11,a452055c-Audio_SP11,adad0062-Audio_SP17,c3533b36-Audio_SP16,cafd9c21-Audio_SP27,d4c363bf-Audio_SP13,dbeec025-Audio_SP13,e90f8e4d-Audio_SP22,f061152e-Audio_SP12,fcd45f4d-Audio_SP21
061ea7d0-Audio_SP16,0.22328954536765394,0.8483360743619635,0.7448605218965259,1.5260859858483444,0.5794224446192223,0.9499583571407875,0.5796544814926965,0.4806360454219717,0.6697570841177773,1.0364621443129434,0.8536691183157672,1.2751915249556265,1.0702208132046798,1.2784783007746705,1.1822946109625405,0.5810326736252656,1.2646553805430427,1.1609882355180832,1.3090540996276707,1.358960571607108,0.803756303800378,0.5526450047047518,1.0505277071355794,0.6701063893060955,1.0257516303037024,0.6202869304525964,0.7204413264966032,1.3402531507843123,0.5797460353676971,1.1230430080114369,0.8483543719863789,0.6905410384662432,0.8915371980188193,0.8420412233996704,0.8464454233429394,0.5981512998364108,0.5186820627753435,0.6662239447082743,0.6546848046063234,0.86480707854135,0.7194508254244641,0.9082761953408655,0.7509197876799911
0af9ac47-Audio_SP14,0.5172026442087891,0.27599004226120005,1.0456915813788332,1.712507983638368,0.8988780048566674,1.0289576557221323,0.8596282747417191,0.9493213032333605,1.1545473303451095,0.9079029746857301,0.8194959063421604,1.2022407241402862,1.123780289180458,1.5569465997320242,1.6634439683241145,0.6295161340677807,1.2866705836421561,1.4139284569693138,1.760746459475802,1.415002246696077,0.6710204838632375,0.9033568917003066,0.649668527506184,0.670659148722091,1.1027818153299478,0.5178214358211908,0.5923949010908289,1.2754754181600263,0.7057780703476253,1.246262717837333,1.2484891890572754,0.9506201911985475,1.1757605970991505,1.2935641832132492,1.1099268550358072,0.7243097079325856,0.8217833182398465,0.6541959215782479,1.0642718337243346,0.6036258324979455,1.1896519764819755,0.8043390919421352,0.9946230302664947
0e6115f2-Audio_SP19,0.6950746094226683,1.0903703963820237,0.3622869857792511,1.4925904437102873,0.4388007442434232,0.5801161911544844,0.4097656473955291,0.7848198352600058,0.7597884335435408,1.362120818004464,0.4655496494112823,0.9398422952322238,0.778653768750198,1.1822155842328739,0.9789329542198608,0.9523219694254531,0.7692136072744716,1.573943746006035,1.4659175581244344,0.7331311089072529,0.7198816339666869,0.9451451468910639,1.0728890824006907,0.576223088224034,0.5287770128445255,0.6457042045942392,0.8400602654501118,1.2787248629017833,0.4520544402780638,1.2501017718154979,0.7126306557940776,0.4017945715582396,0.7850729575067167,1.1335982801636235,0.6200045747330332,0.5825665977985507,0.717514903795243,0.7051949800793085,0.8018250445128554,1.123232909424292,0.7932771484581287,1.2471163797315707,0.7654481581305017
0f786745-Audio_SP20,1.4525021738625736,1.839798995632386,1.5096978461681265,0.17795036808149264,1.3560330315916116,1.517424191534512,1.3908068875576705,1.4410667774063133,1.3029054741965387,1.9268788801775925,1.5506831523437046,1.6293772197854763,1.3988582855865097,1.0163270792437191,1.412038886028433,1.6074961632897558,1.6910688603971822,2.073675893543287,2.0872247031734843,1.736004185235007,1.6881850108936918,1.6783623152043186,2.0982726279914776,1.3179156548593882,1.487693066417232,1.4470964274918972,1.6778466200232698,2.0463785047121497,1.4828398723371667,0.5769809079269049,1.3423262401692948,1.4879974578558646,1.2267857423861592,1.869747021218577,1.2648958412686395,1.3301229034482562,1.2626753425796131,1.3977408336699813,1.611617332213346,1.6432952536059768,1.1395696187822615,2.0477233131966504,1.115478246383246
12c532f8-Audio_SP15,0.6246785297392485,1.1587123811535178,0.4068883042949576,1.4569212769440592,0.16588116398834746,0.5523902216331746,0.3177753625382654,0.6949606340151688,0.6515927532594707,1.3564846174689433,0.7461498975301829,0.9377920778907225,0.8111993708267551,1.103959149439465,0.8294437979679209,1.0447288567006547,0.8058115771612353,1.5698758807981241,1.504679859068864,0.9884585877810507,0.9023553220759861,0.9010922046543295,1.1954700774773281,0.5816428925505102,0.6233967063408901,0.7638314175084376,1.0142684808519076,1.405380129668853,0.3686042999997302,1.267584493827149,0.5842136034624216,0.3738465409779188,0.5279952713489218,1.1181955733895597,0.6166459674623858,0.627426929523004,0.5311726983958134,0.6731782183576556,0.8758941781136516,1.1802615190052745,0.7204006684066644,1.3517203958963426,0.63426267188186
181d5ce9-Audio_SP21,0.6248273710419988,1.0287380735063842,0.4510929055541871,1.3382308792421127,0.3558265231442695,0.3752581219561574,0.24241123867347525,0.7951822433027709,0.8147195532730062,1.3016148537726504,0.6522801670077911,0.7621236275346551,0.6760272608571415,1.1789353058663874,0.9923238678477087,1.0340445400267821,0.7237581328431757,1.6505548997786659,1.6440098673737527,0.99542972426186,0.8567949163543728,1.0126503769652713,1.0683157022337244,0.39527635066172156,0.5860269683717343,0.6021596721328926,0.9768747238937274,1.3570263904770914,0.3075608340028526,1.1557028777760343,0.7313878544311355,0.5985309882412462,0.5791807113931022,1.240716270317983,0.6174044092515962,0.5641093401073287,0.6373574095183683,0.43504966484689234,1.0224310871271758,1.011416066923015,0.7888844143294796,1.304705522059578,0.5477194836015563
1c403477-Audio_SP13,0.5562191233759317,0.9949771309760507,0.4581819722773107,1.4081782403601046,0.34984307234189493,0.513957076346651,0.2913966176317409,0.7318566659539235,0.6907253671492444,1.3556049145256064,0.49712937915997935,0.8560883577680096,0.7183013228731536,1.159442545629062,0.9604809056606858,0.9252883648963688,0.7625316940796549,1.5773735868276981,1.5005267182972815,0.8525155879994899,0.664558758727342,0.898753302208598,1.0561539251102097,0.4142162874097637,0.4980883958979572,0.5686539816224108,0.7777246261885087,1.3454375998324066,0.3438296511172503,1.164514660174098,0.6049283120887428,0.3275984548138884,0.6607517791300087,1.134441209187664,0.47800586004524553,0.40799469078953854,0.5170024830772306,0.5285123977978597,0.8347081046438002,1.0041959373149345,0.736157890694079,1.2353881623196157,0.635804172443504
1d46eb6e-Audio_SP18,0.5494813419301229,1.0953452656610583,0.6458326112975898,1.4223906314649537,0.5741402321075901,0.9650773145191833,0.63474118208656,0.20438781477889745,0.3662473460310619,1.063207185977412,0.945626150601824,1.401608158083627,1.097541773097374,1.0817510263673742,0.925159873488834,0.7761535788462797,1.306047212106696,1.0917635683097942,1.1629581072460113,1.2930746985743349,0.9977792579629113,0.37793450081448254,1.234039174197598,0.8408447309862912,1.0711173490535866,0.7748153444452999,0.8347237273936414,1.2060201194496842,0.6885591680065062,1.1017926657632118,0.694758610278423,0.7304334433737709,0.8553173222193468,0.6721344523134269,0.932982788822713,0.7687278130990283,0.7315361324430234,0.8942837536922815,0.42251026425491356,1.2191793356174818,0.4706941250667396,1.0547805525243161,0.8473567758608526
2988c6fc-Audio_SP13,0.5778284058393954,1.1088421274535611,0.6730723484676862,1.2475982965285684,0.4813982271669907,0.8838665137011308,0.5930991634785612,0.46546155328338934,0.33251545433518637,1.2000254798592866,0.8486949685631533,1.232635271147101,0.9055422680516501,1.0010472880722547,0.9167670201697289,0.8186845343181615,1.1818187136720317,1.305066757787391,1.2843068695812083,1.1773678733174668,0.9177826545344023,0.6360746078878272,1.2582325245154355,0.7042490322127659,0.8975010492619039,0.674693224826792,0.8339993678783055,1.2806424604499815,0.6206356804260853,0.965433587026929,0.5933712373484361,0.5318928292881259,0.7068228662028673,0.9382602728298175,0.7171511882205881,0.633128460379284,0.5309171151003962,0.7904466465477316,0.603939223618716,1.136659360761558,0.4216144420054804,1.1910068137371597,0.7405048354492355
2e25304d-Audio_SP12,0.9102091505279231,0.9002108520049676,1.2147293160623638,2.0049494063081466,1.2569994402961544,1.5790884779541625,1.2740218217809405,0.9915004361959557,1.3035823154842676,0.26795944975203256,1.4069632058937527,1.848634532551214,1.5064712386810473,1.8941035255598644,1.906833765468773,0.7513176252988569,1.9180528475464276,0.8859191975148344,1.4577393872585223,1.9825825589171278,1.3445698239007815,0.8691793138213879,1.0139748490526257,1.3398927766035267,1.7279549388116766,0.9891552277417681,1.0507223836866157,1.014439029089008,1.16913857237875,1.5486478727657222,1.6713383444889236,1.4471858368993598,1.5780457721931762,1.1426706985871702,1.645942757503524,1.3952641236303098,1.307144109211638,1.2769808619860363,1.0797995097145843,1.1107665410253058,1.2683421873239231,0.5174071764228148,1.456148962068437
