audio,half,n_tokens,n_F1,mean_F1,sd_F1,valid_F1,n_F2,mean_F2,sd_F2,valid_F2
061ea7d0-Audio_SP16,H1,1665,1665,548.3638564222891,130.0144369422639,True,1665,1656.163466765105,452.1905385559587,True
061ea7d0-Audio_SP16,H2,1238,1238,558.8730455662728,111.23855138383195,True,1238,1558.7585973568987,422.555543950889,True
0af9ac47-Audio_SP14,H1,1779,1779,590.7812084663544,122.01987328377815,True,1779,1615.3590390742734,378.4681323072594,True
0af9ac47-Audio_SP14,H2,1687,1687,609.7151132169245,125.20456021717504,True,1687,1614.231338967394,366.694447928966,True
0e6115f2-Audio_SP19,H1,1797,1797,477.43573610322517,109.51994049518116,True,1797,1659.4642489251457,466.863053993286,True
0e6115f2-Audio_SP19,H2,1698,1698,474.5591274428946,109.8628072035231,True,1698,1657.6293527829969,470.9923177249587,True
0f786745-Audio_SP20,H1,1982,1982,519.4205258073929,108.09171879410928,True,1982,1326.3580219906987,632.603755262636,True
0f786745-Audio_SP20,H2,1695,1695,517.3108692898031,114.32570613255476,True,1695,1344.659845185077,615.5962236592102,True
12c532f8-Audio_SP15,H1,1785,1785,493.7821031118282,127.34878462423588,True,1785,1590.9341934182162,434.9471702975607,True
12c532f8-Audio_SP15,H2,1557,1557,509.32630206526295,125.36021166395062,True,1557,1554.369488753995,424.0519285266761,True
181d5ce9-Audio_SP21,H1,882,882,507.1607582102108,123.95162238772129,True,882,1562.706349516673,409.6890618918763,True
181d5ce9-Audio_SP21,H2,847,847,471.95981775636375,116.106000655459,True,847,1513.9629212548168,375.49270651893414,True
1c403477-Audio_SP13,H1,1884,1884,492.70359003867776,114.93649686241868,True,1884,1596.0163866265657,455.20127302880996,True
1c403477-Audio_SP13,H2,1437,1437,487.17492362563564,119.98018807326501,True,1437,1572.3476263112996,452.226439824407,True
1d46eb6e-Audio_SP18,H1,2399,2399,545.155615471179,141.92823822383966,True,2399,1662.2488814564786,511.596323342347,True
1d46eb6e-Audio_SP18,H2,2573,2573,551.3318739408652,138.31750904797985,True,2573,1685.9135679049034,514.1965250630777,True
2988c6fc-Audio_SP13,H1,1166,1166,530.9198655402471,142.96017201389063,True,1166,1652.106729966063,484.59385014016095,True
2988c6fc-Audio_SP13,H2,1240,1240,533.8773945180376,156.75247605915783,True,1240,1689.9624755790703,524.1012451121867,True
2e25304d-Audio_SP12,H1,744,744,644.698778307488,168.82938642278077,True,744,1751.2096331150588,442.21576168236925,True
2e25304d-Audio_SP12,H2,490,490,643.1906620081611,182.3727248978675,True,490,1719.0616675060614,462.0801240459175,True
30a90cb2-Audio_SP21,H1,1749,1749,478.2874497251603,91.34008561537085,True,1749,1617.918225124587,493.7966023352644,True
