audio,half,n_tokens,n_F1,mean_F1,sd_F1,valid_F1,n_F2,mean_F2,sd_F2,valid_F2
30a90cb2-Audio_SP21,H2,1402,1402,489.11985647090404,110.35451293947132,True,1402,1615.842831305368,544.5718557365542,True
3361ee02-Audio_SP10,H1,1236,1236,469.00898570311773,124.59909940574143,True,1236,1492.3045349710465,325.4231227861788,True
3361ee02-Audio_SP10,H2,997,997,473.52499988994145,124.5095357453846,True,997,1436.0281690711352,302.52654654342666,True
34ad326e-Audio_SP7,H1,816,816,535.294272977411,164.42475982766837,True,816,1482.845040464747,467.8591531310098,True
34ad326e-Audio_SP7,H2,642,642,543.5740014500777,178.5986167331312,True,642,1486.169054832563,495.6020116135954,True
375a28cd-Audio_SP16,H1,1762,1762,459.3300355303248,84.73944752823822,True,1762,1512.1151569480944,573.3364992282862,True
375a28cd-Audio_SP16,H2,1683,1683,463.7421559458825,84.41899703472583,True,1683,1541.3234017573152,587.1818056876928,True
42d56bbf-Audio_SP23,H1,4999,4999,413.8453064987206,114.930210377196,True,4999,1562.6716488347074,532.2088871249969,True
42d56bbf-Audio_SP23,H2,4771,4771,422.2324336444195,118.65658254580501,True,4771,1551.0202128586807,532.0494584659018,True
49ae7020-Audio_SP17,H1,1349,1349,570.7134615852277,100.8544150087914,True,1349,1686.0342906555047,496.7930743744211,True
49ae7020-Audio_SP17,H2,1028,1028,572.726113322636,105.6701986733546,True,1028,1712.1457854471294,502.83128948833723,True
501e6487-Audio_SP19,H1,2878,2878,436.87368629593857,115.9196191778897,True,2878,1525.9060917343832,334.92169446916,True
501e6487-Audio_SP19,H2,2381,2381,432.45013964944707,114.9935392318252,True,2381,1489.0182080273553,347.2363732165126,True
514fc6b6-Audio_SP19,H1,2149,2149,639.040812800536,160.04977643152338,True,2149,1838.425539710212,608.8277801711965,True
514fc6b6-Audio_SP19,H2,2078,2078,605.7935065927232,149.45283757997973,True,2078,1869.0717162075243,608.4415110840129,True
51a17262-Audio_SP18,H1,1353,1353,557.737177423847,145.1761376437353,True,1353,1796.7172044575784,692.9194669102149,True
51a17262-Audio_SP18,H2,1385,1385,527.3840312774526,150.21887071286153,True,1385,1805.8690445664408,660.1133067941788,True
5278b5b9-Audio_SP15,H1,1128,1128,409.13159860247083,82.33571550459153,True,1128,1674.2296290708287,446.2630755026256,True
5278b5b9-Audio_SP15,H2,788,788,417.11698463089004,77.8867061615812,True,788,1621.1122279025083,442.17103957248946,True
5586979c-Audio_SP18,H1,2479,2479,518.8857975732201,112.34827336744802,True,2479,1623.000375417482,390.1421224734063,True
5586979c-Audio_SP18,H2,1765,1765,524.5924011175487,101.95567603022712,True,1765,1613.133303625933,381.8491989243411,True
5819ce7a-Audio_SP11,H1,2097,2097,587.8806832568855,159.52433125739287,True,2097,1792.7029275733255,502.5485295029236,True
5819ce7a-Audio_SP11,H2,1751,1751,583.2540076389803,156.77386613569985,True,1751,1795.0170092799833,511.2306180548731,True
5a932187-audio_SP16,H1,2059,2059,584.4723199163371,165.94263646980153,True,2059,1697.7427385121955,365.2935285834344,True
5a932187-audio_SP16,H2,1871,1871,583.9941356858127,180.03011552559764,True,1871,1684.9914809414165,378.7354414167784,True
63239054-Audio_SP15,H1,1484,1484,518.561278358129,102.53376296795051,True,1484,1499.4939459483628,434.0572132224539,True
63239054-Audio_SP15,H2,1144,1144,525.2905714789703,101.42365040148015,True,1144,1470.2130656226097,400.28979651433,True
713a2f9b-Audio_SP16,H1,1671,1671,442.0481579263387,111.75458824266106,True,1671,1557.9156871360813,417.0462776899153,True
713a2f9b-Audio_SP16,H2,1501,1501,456.25675075899096,131.5187775727846,True,1501,1494.096661595088,420.90346794027084,True
7a414497-Audio_SP15,H1,1363,1363,563.5356096316078,142.6004016686198,True,1363,1597.540654655909,422.05399821916666,True
7a414497-Audio_SP15,H2,774,774,568.686545103141,145.43100653928198,True,774,1581.2135589177292,419.2576732531553,True
7aee4437-Audio_SP12,H1,710,710,593.0062884605497,193.17219161086643,True,710,1702.3177350180479,431.4475979372844,True
7aee4437-Audio_SP12,H2,932,932,591.8331445819131,198.90114997010227,True,932,1683.3290225755072,449.7674767929626,True
7c3c98d2-Audio_SP13,H1,2067,2067,638.0668859625771,263.5445914087083,True,2067,1830.715541989456,460.3272046014904,True
7c3c98d2-Audio_SP13,H2,2088,2088,621.6363656063309,252.97709775064814,True,2088,1852.5475570087249,463.98417571218977,True
7dec1dd7-Audio_SP13,H1,1211,1211,519.3459567646131,136.95081775926676,True,1211,1589.8854843762417,391.4112000460388,True
7dec1dd7-Audio_SP13,H2,1123,1123,527.886678190358,130.71195164581522,True,1123,1553.1828857311525,389.7354020288621,True
7e277fda-Audio_SP28,H1,1852,1852,543.1594547894127,120.26575105563056,True,1852,1495.8047404458516,577.9292306350833,True
7e277fda-Audio_SP28,H2,1531,1531,539.0103637103884,115.21855828304582,True,1531,1496.373805399986,571.2388795464373,True
85c7895f-Audio_SP16,H1,3029,3029,484.9857180313874,145.57918462299537,True,3029,1596.379924181972,463.8520327300148,True
85c7895f-Audio_SP16,H2,2697,2697,493.8705355406366,138.31664136815024,True,2697,1551.1499337771138,472.4573499369904,True
919b9bc1-Audio_SP14,H1,1107,1107,495.3147995528284,137.640096079689,True,1107,1619.547439179669,459.3711799137368,True
919b9bc1-Audio_SP14,H2,1026,1026,496.31499238940404,151.26946090088046,True,1026,1616.6791799195782,463.3143417584448,True
9a0c18cb-Audio_SP14,H1,1170,1170,482.5943525554675,122.90095310907117,True,1170,1486.8223405719555,507.84549896849416,True
9a0c18cb-Audio_SP14,H2,863,863,499.4715649906849,137.8816877977016,True,863,1433.3272266136782,477.81654223096564,True
a1a056ce-Audio_SP11,H1,813,813,531.2567614697513,106.07998844973639,True,813,1807.6478026036405,607.3431806327961,True
a1a056ce-Audio_SP11,H2,804,804,541.8616547401816,120.57673986314467,True,804,1794.8137351479536,604.2321083662679,True
a452055c-Audio_SP11,H1,2062,2062,485.30884336131953,121.68789448867602,True,2062,1437.0695168525183,418.3830394337774,True
a452055c-Audio_SP11,H2,1777,1777,488.89361740449516,115.52926925750326,True,1777,1467.0110660436703,438.14092582260065,True
adad0062-Audio_SP17,H1,2057,2057,524.8010613807462,98.55395140520699,True,2057,1576.1333258090735,438.36047272986946,True
adad0062-Audio_SP17,H2,1648,1648,512.6229957622704,95.73805558770643,True,1648,1570.6096841182218,429.96181140825144,True
c3533b36-Audio_SP16,H1,1089,1089,525.7162626338793,129.380476338698,True,1089,1473.1061293898483,436.6055012300218,True
c3533b36-Audio_SP16,H2,870,870,536.9759169545298,124.68238235714564,True,870,1484.3626146466866,456.3891783140664,True
cafd9c21-Audio_SP27,H1,2487,2487,530.7603374924091,96.8166550225406,True,2487,1483.3946021895656,384.23777638982466,True
cafd9c21-Audio_SP27,H2,2420,2420,542.1616811850698,112.21830078528063,True,2420,1488.751854516579,359.8257131503329,True
d4c363bf-Audio_SP13,H1,1725,1725,513.8677370289437,114.83127626075513,True,1725,1849.2967246568408,521.3164698323094,True
d4c363bf-Audio_SP13,H2,1665,1665,526.8787760115738,134.70916065790948,True,1665,1823.46438393228,549.0467462038637,True
dbeec025-Audio_SP13,H1,1469,1469,560.1826588052201,107.56299271429029,True,1469,1476.8852836498077,364.25102696671286,True
dbeec025-Audio_SP13,H2,1258,1258,584.2734192578673,94.24358799506139,True,1258,1458.001970206549,390.29379529978985,True
e90f8e4d-Audio_SP22,H1,1389,1389,517.3512109131973,173.80874032756273,True,1389,1581.2295759249557,552.6963478857245,True
e90f8e4d-Audio_SP22,H2,1175,1175,520.7256683211689,146.2389009968118,True,1175,1598.9769779724254,601.4491620229328,True
f061152e-Audio_SP12,H1,1363,1363,659.9904337132033,200.11094429961634,True,1363,1756.3195181259703,448.58850174959707,True
f061152e-Audio_SP12,H2,1537,1537,664.5676421829592,205.16516653916034,True,1537,1764.455532520721,464.780822346657,True
fcd45f4d-Audio_SP21,H1,1507,1507,479.7744203593352,104.58921425944395,True,1507,1441.476282787209,443.34812621326193,True
fcd45f4d-Audio_SP21,H2,994,994,490.5368184525625,84.65521441890333,True,994,1433.8680058824525,474.9928442019593,True
