audio,half,median_F1_lobanov_a,median_F1_lobanov_e,median_F1_lobanov_i,median_F1_lobanov_o,median_F1_lobanov_u,median_F2_lobanov_a,median_F2_lobanov_e,median_F2_lobanov_i,median_F2_lobanov_o,median_F2_lobanov_u
2e25304d-Audio_SP12,H2,0.7875452767320953,-0.4218682063982114,-1.282082903759642,0.11303825170417268,-0.8685915071245819,-0.24035068078051788,0.6368178279448823,1.51601678999912,-0.9501587366543152,-1.7176032574984597
30a90cb2-Audio_SP21,H1,0.8867617468437865,-0.22319090731750865,-0.9419104579358741,-0.007252895417779082,-0.8458949887047104,-0.38158737125933284,0.4400646209969979,1.1567488453455295,-0.8632078372487134,-1.265714573023359
30a90cb2-Audio_SP21,H2,0.8332872516424866,-0.234560666106887,-0.8512670341158761,-0.07236754553165808,-0.5653039769779462,-0.30781714723455655,0.4209827314320105,1.0557744317005773,-0.7861815211617809,-0.9274953392233615
3361ee02-Audio_SP10,H1,0.9312240118769218,-0.21657584745469102,-1.2045182882576162,0.030794047800574823,-0.594460451863241,-0.1764549614514922,0.496833192006025,1.01282935902288,-1.1984478648709522,-1.7534390307621137
3361ee02-Audio_SP10,H2,0.8711264021321878,-0.25430375717734843,-1.1692039007763666,0.03046425561761265,-0.6912079351841217,-0.3056492369639863,0.62978131009946,1.1993491383243933,-1.0198078393289292,-1.412508473322248
34ad326e-Audio_SP7,H1,0.9654606534889809,-0.5189630908847438,-1.1880690370575118,-0.14902559369017498,-1.1154772589553117,-0.261399787461925,0.425362549615157,1.5585185850465175,-0.7599215504868366,-1.2959740465999166
34ad326e-Audio_SP7,H2,0.8135794234018294,-0.5936515323724487,-1.2337713724055839,0.0012876408392046039,-0.9984103458269498,-0.28070738938811185,0.43379831378398537,1.4679903554156173,-0.7855808503789168,-0.9442725880947409
375a28cd-Audio_SP16,H1,0.9372193393425743,-0.3376113676162872,-1.3055820144203643,0.0951230548523167,-0.6970435174256582,-0.4356033194855157,1.104952990674534,0.8804479289873193,-0.9368344405660654,-1.233498535105246
375a28cd-Audio_SP16,H2,0.8557514975670305,-0.2203261730823949,-1.270836272860618,0.07955773633559506,-0.42055740137228603,-0.5620939963687858,1.2190625071313246,0.9959948836270871,-0.9194169618249359,-1.1369484903536446
42d56bbf-Audio_SP23,H1,1.3447255179166258,-0.21928236075678742,-1.0276913244723183,-0.16121201296654633,-0.6778331580358801,-0.2076783900581398,0.7672422700001797,1.2292651859041261,-1.1234243636238515,-1.427689716979974
42d56bbf-Audio_SP23,H2,1.3705813510329892,-0.23204410950561316,-1.0330522464352576,-0.19155711591551117,-0.6913240462329063,-0.224747886576839,0.7935431095729977,1.2564944619380862,-1.105157062917326,-1.4403692388064375
49ae7020-Audio_SP17,H1,0.9163281259298932,-0.20378062686901552,-1.2514430461683657,-0.017108966150864928,-0.6048285772332773,-0.303179550903934,0.522316249970743,1.402251739194756,-1.0425686686019204,-1.5082769455559006
49ae7020-Audio_SP17,H2,0.8055811512435265,-0.21889121735809483,-1.0556376977998607,0.06512127116835201,-0.7125188446862322,-0.3304182644217293,0.46498182860138837,1.2875040955150239,-1.190305313241148,-1.4650040854419217
501e6487-Audio_SP19,H1,0.9147573794485832,-0.21438856477729396,-1.0581481777201058,-0.13668455369950672,-0.6842541260718846,-0.1904450257506118,0.6155912224930894,1.3266148520290173,-1.0253043162012225,-1.2681924716706112
501e6487-Audio_SP19,H2,0.9812727612164311,-0.2875860024934912,-1.0338766128952548,-0.15065065332284805,-0.675236975225442,-0.11887047292146477,0.7100509619291773,1.3648590427540097,-1.0022354488396348,-1.4510024588381343
514fc6b6-Audio_SP19,H1,1.0282391767587784,-0.3407622876823301,-1.0146279885422271,-0.2252801344142765,-0.8706093273952744,-0.34155606581148745,0.7005276598002232,1.3737403004171735,-1.0451651733953538,-1.573400474764986
514fc6b6-Audio_SP19,H2,1.114852177060151,-0.3591731599155928,-0.9950570666959625,-0.27753665974234876,-0.7306297610416683,-0.20387740566226736,0.47632250134825244,1.4157728486235277,-1.155284089420935,-1.6430009930609395
51a17262-Audio_SP18,H1,1.1902457433357205,-0.16238544747425399,-0.9852415600036839,-0.29010090905371433,-0.7768260439720857,-0.08831152909903676,0.4879192502790382,1.4524218619009543,-1.1972189494325445,-1.1758709917801218
51a17262-Audio_SP18,H2,1.1990552620960742,-0.23940915757390163,-0.8722823894083004,-0.3054952189430454,-0.6387025334339311,-0.0029352662585318133,0.3322767452767207,1.6578991522708375,-1.1156515020242623,-1.4648934549789954
5278b5b9-Audio_SP15,H1,1.057444353108945,-0.25891192291513343,-0.9454659043312721,0.08529557698675656,-0.567514670730577,-0.36152253679295926,0.629367593871449,1.2616029808562055,-1.0810306373568266,-1.2503882994788078
5278b5b9-Audio_SP15,H2,1.0178914354216895,-0.3797759887460343,-1.0790865469560478,0.006341289631512286,-0.8984911657380599,-0.2918201940460701,0.7109528459251324,1.3444148262901516,-0.9899198129215029,-1.0364280865490063
5586979c-Audio_SP18,H1,1.0671281451420462,-0.40648843064967677,-1.217021152186659,-0.18000889332778697,-0.7543188000714005,-0.1406373441916446,0.6330295923432746,1.2799299216014242,-1.2140755611062302,-1.63793475125456
5586979c-Audio_SP18,H2,1.0104583852008917,-0.3924035334785863,-1.1660423161984552,-0.11359399684091831,-0.6212300564380431,-0.25220447066153984,0.6078303596710457,1.3495467804851689,-1.2150473514299769,-1.1813994742860257
5819ce7a-Audio_SP11,H1,1.1669928474775637,-0.42366102693818064,-1.2346701491541117,-0.28692923499466017,-0.7555856658549697,-0.179347396725334,0.6132916689710584,1.217432349304556,-1.3478092110640172,-1.6273957181099843
5819ce7a-Audio_SP11,H2,1.1703378758268113,-0.42796847126494725,-1.2217598480247644,-0.2693809602955287,-0.847033919448497,-0.2368298238762419,0.6110167744112789,1.2659401638842487,-1.31093688112055,-1.608480695757474
5a932187-audio_SP16,H1,0.8989612141535078,-0.21101652411343325,-1.2329750109789024,-0.06108197839559634,-0.5676020036768759,-0.09629794045287231,0.3385779326392865,1.4539515482242547,-0.8409487400759197,-1.3639389513956646
5a932187-audio_SP16,H2,0.8446555282552097,-0.27782896271747654,-1.1122272586873567,-0.08853715191551123,-0.6242997833035584,-0.06901123981820254,0.3666854089915251,1.43061450252709,-0.8786362507316052,-1.4000322651225159
63239054-Audio_SP15,H1,1.0747301656300432,-0.5206702832212666,-1.3027803994563412,-0.03449001020117671,-0.8081185306317951,-0.2557734566621226,0.7086496943299709,1.3088908230961964,-0.9402925214664903,-1.2911227415161315
63239054-Audio_SP15,H2,0.9061869751007376,-0.53275472670756,-1.1693625399628012,-0.10314340876185482,-1.0179970329930332,-0.21253083825081032,0.8136207802752772,1.4507864799138026,-0.9161704641866266,-1.169267483318602
713a2f9b-Audio_SP16,H1,0.9847199486471547,-0.2373864700288191,-1.0488680819064877,0.05271457833996142,-0.6857735312387048,-0.2679645259824471,0.5561090936944235,1.243559014688663,-1.1332797135747381,-1.2859494647838534
713a2f9b-Audio_SP16,H2,0.8309263338288182,-0.22167816375504878,-0.9761087949191676,-0.07345641694337075,-0.6094380954749568,-0.1244505309364601,0.6757912646456575,1.3613063231817641,-0.9489006211304402,-1.1353854646163235
7a414497-Audio_SP15,H1,0.8273140007760936,-0.31655869484965476,-1.3759691783097763,-0.19267713450032697,-1.1300411414163627,-0.24619540575580637,0.5749200400588431,1.4399479410714213,-1.0998337852205693,-1.5917055089448027
7a414497-Audio_SP15,H2,0.8577747019787278,-0.207781724533504,-1.3560092631026568,-0.1547878724514018,-1.0201035494153812,-0.27602942761474897,0.5260096550478472,1.4423511452215787,-1.0333922670726565,-1.3615670562685303
7aee4437-Audio_SP12,H1,0.7910687393044122,-0.3934458388876183,-0.8457053095405134,-0.38439236317662645,-0.6679518136252122,-0.30380316778413796,0.5257474073513722,1.4101546578912902,-1.1528104989237267,-1.4998058384258215
7aee4437-Audio_SP12,H2,0.992574008718829,-0.34161606477132994,-0.8535396679305394,-0.36848642339295007,-0.6656093177280706,-0.36569934220108957,0.5642801434395248,1.4299456820401648,-1.103886491729523,-1.2114457875733817
7c3c98d2-Audio_SP13,H1,0.7835814614438857,-0.5082373224489782,-1.1490276532003345,-0.02693078642751799,-0.9613335627245077,-0.3962972755431956,0.39415303129928425,1.5895119666806368,-1.0519320025705103,-1.4004745992403493
7c3c98d2-Audio_SP13,H2,0.8853331691906867,-0.47058592763329243,-1.1128394054464938,0.026752260645938428,-0.9392334891729627,-0.42978692659589335,0.32430870430099656,1.491176479908462,-1.0824656792211413,-1.3826916951276291
7dec1dd7-Audio_SP13,H1,1.0311360593059145,-0.5140612282796347,-1.2492078983186323,-0.1143929146794192,-0.8096581895784161,-0.18806957169080782,0.6567249075222832,1.3326769066838722,-1.0791725006224047,-1.7444698674418961
7dec1dd7-Audio_SP13,H2,0.9803906604057637,-0.6353352797380794,-1.2758701879121852,-0.09826112589353794,-0.7444334506880058,-0.10944347148067912,0.7115185535829697,1.4692914895073235,-1.0370946859435397,-1.6009336975162876
7e277fda-Audio_SP28,H1,0.8450396036728265,-0.06855140502774601,-1.192463617154734,-0.21781949100208656,-0.7763544870855602,-0.8826891269265822,0.8353832951175209,1.2843337654033058,-0.8745245188873273,-1.032236411223237
7e277fda-Audio_SP28,H2,0.8589650059593491,-0.03638875654185359,-1.1072971164410677,-0.17323500034830658,-0.7795573492526242,-0.8696057538386163,0.8230295882780149,1.3078844872986244,-0.8382778884170107,-1.059613962731641
85c7895f-Audio_SP16,H1,1.3191709455157141,-0.5363263786832608,-1.0234287918596459,-0.297474780587903,-0.8375153515625258,-0.23438326589746797,0.8187227449030182,1.1640921855999449,-1.3503170650221357,-1.1542540906918637
85c7895f-Audio_SP16,H2,1.328498653860858,-0.5210920935802628,-1.1370581923866991,-0.23184850859364545,-0.9343418834225274,-0.17003005401707288,0.9042004145187374,1.2490325261204658,-1.2179673080673306,-1.29618013986485
919b9bc1-Audio_SP14,H1,0.9211594926251948,-0.28297085338635464,-1.2144965000417007,0.07546604819051886,-0.3875207729335094,-0.1164565035121834,0.5787265163753861,1.3166454741352105,-1.0479348417780372,-1.1725387161447574
919b9bc1-Audio_SP14,H2,0.8544500275181042,-0.34093676558690844,-1.1592171037248864,-0.045041208286225834,-0.49644280039615196,-0.13373537156040705,0.6128875950373499,1.3264119169167021,-1.1761563146565435,-1.266367106463769
9a0c18cb-Audio_SP14,H1,1.0928738076804576,-0.2950826887113064,-1.4167492882381398,0.03192750677361417,-0.4597474843993307,-0.18678102823008275,0.6949593432819618,1.1319285281610396,-1.0597403133790504,-1.3119731265934502
9a0c18cb-Audio_SP14,H2,1.0691022453514716,-0.4139602311368612,-1.4374354772814582,-0.059110892345974685,-0.8597401207427317,-0.1360376819894376,0.8938855634721787,1.2520324177809288,-0.9230419665480377,-1.3029502061363925
a1a056ce-Audio_SP11,H1,0.7213062733832056,-0.2549620708448936,-0.9485479367105849,-0.14651936471265012,-0.7855018052988803,-0.24487978397371657,0.6463361866225694,1.13206235879949,-1.1360773173403953,-1.2665840420523424
a1a056ce-Audio_SP11,H2,1.024830107564859,-0.3100369990807734,-0.9907478005723707,-0.33383092850692586,-0.9311154037251146,-0.04358997371725597,0.584444912409744,1.2712034753968893,-1.1618780125622188,-1.5752517113517555
a452055c-Audio_SP11,H1,1.0800180644173891,-0.34487125269300156,-1.1414992408001414,-0.40247545706057364,-0.7919493370640094,-0.13749158569212613,0.7682134756585464,1.393958051668974,-1.0398366869617666,-1.374688060610521
a452055c-Audio_SP11,H2,1.1334448086363988,-0.33805916815239023,-1.1730439007332252,-0.435855804357911,-0.7187414842414389,-0.20464676225662817,0.6535432239894781,1.384481172199608,-1.093999618190549,-1.24082292349456
adad0062-Audio_SP17,H1,0.882000319009227,-0.33626729095978686,-1.2792666618458373,-0.13612222755611816,-0.7631966156728935,-0.3526317580688829,0.61599819150409,1.2676784965589627,-1.2657152905162412,-1.359935696135001
adad0062-Audio_SP17,H2,0.9662263923515858,-0.3122131526348743,-1.1955181266559416,-0.1428483936799764,-0.8003218232040334,-0.32457176009868005,0.6727001294574736,1.2263771836312365,-1.2345635975315477,-1.2451261748078952
c3533b36-Audio_SP16,H1,1.1558284394427667,-0.4064676334415169,-1.3491517740568297,-0.2877372130162029,-0.7882605671282799,-0.13311540148996726,0.7310370841091334,1.3781422995680264,-1.0053757002658417,-1.3827723263509226
c3533b36-Audio_SP16,H2,1.031812073463643,-0.4570914377497989,-1.4114899096788311,-0.24795845449847623,-0.5279848836339738,-0.16478953204904032,0.7508080330895552,1.3774364630454177,-1.0514014699254712,-1.3010435773711668
cafd9c21-Audio_SP27,H1,1.03643107082409,-0.2675254682806481,-1.4543538508974478,-0.09412975859485953,-1.1266212702462224,-0.23883332386978529,0.6840696402420494,1.3063113062757576,-1.1653998871224291,-1.6087312869489678
cafd9c21-Audio_SP27,H2,0.993727866671328,-0.3818603480251756,-1.3875851612075651,-0.22864087126781651,-1.0694267844374223,-0.20669233101005735,0.6461757808765717,1.42069713165519,-1.1353626987195642,-1.5886765894442219
d4c363bf-Audio_SP13,H1,0.9737417421368626,-0.3122212239550841,-0.9799508719657498,-0.15039185088632395,-0.6573755863685542,-0.3474878987974877,0.4959044727740602,1.28510586922283,-1.377571132970785,-1.6398800588797424
d4c363bf-Audio_SP13,H2,1.1119065062936857,-0.304114075446208,-0.9160213759638582,-0.24163384296146095,-0.6662084226350444,-0.29772838190728645,0.5363943164889272,1.3339894401753423,-1.2757758207969074,-1.5126727386533771
dbeec025-Audio_SP13,H1,0.779168523039496,-0.08755182074908048,-1.5136395818585953,-0.0665599836288149,-0.8930562743587211,-0.30907970146841746,0.5101853156878384,1.420310269509026,-1.0216539938393432,-1.3097676359417043
dbeec025-Audio_SP13,H2,0.7325985066082064,-0.12989518168704675,-1.6822144874666418,-0.03796778161788273,-0.9057139457340764,-0.16227725654483133,0.5573614733195078,1.5388936491105258,-0.9548877369877402,-1.2595628169601119
e90f8e4d-Audio_SP22,H1,0.6803372450261602,-0.2903052362198636,-0.9034495311377905,-0.22767847290220633,-0.6688013124356913,-0.17691799504024378,0.6377132681323865,1.2906179964503177,-1.0491113213802212,-1.4798118650268648
e90f8e4d-Audio_SP22,H2,0.9712382084467801,-0.21900901264077793,-1.0750344491826862,-0.16647045228057275,-0.8410519925549472,-0.270185521642885,0.6865251849610496,1.2946862521719873,-0.9805714858970913,-1.2954602830959754
f061152e-Audio_SP12,H1,0.7561217212931957,-0.3698883124216606,-0.9318468760634222,-0.3268516810801365,-0.849312552642329,-0.07843299778496511,0.3153752645465278,1.5552421877979166,-1.1391667105135088,-1.7380403390117736
f061152e-Audio_SP12,H2,0.8215971348137965,-0.39436984442559614,-0.9017594066588869,-0.39558798842721044,-0.8880589646406286,-0.148377170134339,0.3264773597989021,1.4893211469826402,-1.1070516952710447,-1.6010122137695106
fcd45f4d-Audio_SP21,H1,0.8107339134483722,-0.27825189265084516,-1.2242524247332738,-0.07276753827271348,-0.5910407401357539,-0.1914257470204518,0.7726340565016208,1.3286737036362117,-1.084611281879337,-1.410615386304366
fcd45f4d-Audio_SP21,H2,1.042048220099189,-0.34600778395197623,-1.1007348923006723,-0.07245152089218945,-0.6953840176814744,-0.2575669744651021,0.8287508605253365,1.282364831798873,-0.899612435059506,-1.341963297060036
