audio,half,median_F1_lobanov_a,median_F1_lobanov_e,median_F1_lobanov_i,median_F1_lobanov_o,median_F1_lobanov_u,median_F2_lobanov_a,median_F2_lobanov_e,median_F2_lobanov_i,median_F2_lobanov_o,median_F2_lobanov_u
061ea7d0-Audio_SP16,H1,1.0923939923996429,-0.31291685568648375,-1.1304262913543903,-0.2043405436136558,-0.6260690251634453,-0.15825072168924556,0.6105213849276228,1.1994435333468292,-1.290076203023592,-1.6247975106332744
061ea7d0-Audio_SP16,H2,1.2596762470003338,-0.38109047086757875,-1.3146787720771473,-0.20716465299785167,-0.8896350096172028,-0.09892944056490188,0.7435239563655687,1.451133430392501,-1.1327287537017487,-1.549245492059232
0af9ac47-Audio_SP14,H1,0.9055775788609255,-0.308572317512433,-1.3643463538916918,-0.015825414253424902,-0.9008701666259118,-0.18432963716384948,0.7413399602443501,1.2726924200042238,-1.1653076427145925,-1.5365561019690217
0af9ac47-Audio_SP14,H2,0.7287168163901945,-0.340625188615185,-1.4454906934762972,0.03469057232162302,-0.9110052655582497,-0.2187807931298049,0.7964815104097314,1.4129376779712117,-1.1268413283749952,-1.2516600806055025
0e6115f2-Audio_SP19,H1,1.0660646352699885,-0.30371853865072485,-1.0673966827121237,-0.06863865156465562,-0.6823600148413518,-0.23885091785353074,0.5529231982586005,1.2598743366345628,-1.0827649223179199,-1.2876403921516026
0e6115f2-Audio_SP19,H2,1.1495258619627475,-0.32048117287918365,-1.0682397377709805,-0.12495886094162584,-0.635651990925323,-0.20510510359007564,0.5889339476723636,1.2682288387126142,-1.0025770442331583,-1.5958903569497027
0f786745-Audio_SP20,H1,0.7937013373010905,-0.1602274154707149,-1.4290412862026936,-0.1133836820592255,-1.047988858048955,-0.868030867941024,0.9429709890898025,1.4345390429695455,-0.6150889589593775,-0.7899007950763812
0f786745-Audio_SP20,H2,0.8699411997101192,-0.13636637013371633,-1.3026655911541032,-0.14709878246677488,-1.1552573581880374,-0.9242419483193863,0.9265897673188381,1.3319332157011328,-0.6698917459207764,-0.8608616309880804
12c532f8-Audio_SP15,H1,0.9494780661282741,-0.48999579811744964,-1.2510410663161569,-0.014020299119147678,-0.5493304179749068,-0.08631289908452579,0.7521241205199454,1.267566834964188,-1.1343014529435385,-1.5529654676429445
12c532f8-Audio_SP15,H2,0.9551480586755374,-0.5253129875875369,-1.3230862319565169,-0.13390845664685946,-0.6453034562836174,-0.15216658426228702,0.8308545451950877,1.3723471750242455,-1.0549260475277977,-1.5546011556331032
181d5ce9-Audio_SP21,H1,0.8647445270253309,-0.29160274726829805,-1.1990818420864284,-0.04633413633641223,-0.9796373392736721,-0.24593175186160743,0.7198102539758162,1.2314118788448438,-1.0458284298959875,-1.59532585230731
181d5ce9-Audio_SP21,H2,1.1514961570631161,-0.2770285817247937,-1.1490054928334301,0.011948972456754026,-1.0506396425228992,-0.06586508116638176,0.7361052691298875,1.2725610625910249,-1.069768688740399,-1.552649847415621
1c403477-Audio_SP13,H1,1.1855614830030667,-0.28497263676144985,-1.0834166223603245,-0.11180255316337163,-0.708298432046655,-0.17382157788020533,0.6269458941007531,1.2320290039302624,-1.0828299331479507,-1.3403401433638522
1c403477-Audio_SP13,H2,1.100211385417694,-0.2515318463860737,-1.0369020105976832,-0.08821847138012151,-0.6711977815074284,-0.15314819699880486,0.6193364571875688,1.223533809664898,-1.0377385220854682,-1.4452766846175478
1d46eb6e-Audio_SP18,H1,1.1190818662856725,-0.40391016629282245,-1.1382255139096038,-0.2627768483532513,-0.8494888696680856,-0.19442716569655466,0.7924253494937399,1.3146267342593057,-1.105237580948933,-1.440281429938595
1d46eb6e-Audio_SP18,H2,1.101556176071159,-0.4132788003163377,-1.1793183125362694,-0.27945022780579065,-0.8211068668419528,-0.21811729332410346,0.7539427252909825,1.3210341222124091,-1.1389925993573145,-1.6103304359837194
2988c6fc-Audio_SP13,H1,1.029196046337438,-0.3467961778285031,-1.2547286661138188,-0.14246571847668305,-0.6494344216454893,-0.3816262128998126,0.6873472633525943,1.3420804667933726,-1.256588289160919,-1.4923476737961507
2988c6fc-Audio_SP13,H2,1.084843904229579,-0.3339731906002944,-1.1812530950380302,-0.26575192135084796,-0.7729669459748837,-0.3192901206745695,0.7003156459529565,1.2882216698713864,-1.277771684153885,-1.5302165769684561
2e25304d-Audio_SP12,H1,0.7472437502210056,-0.36374175648392976,-1.3370642258181666,-0.0522234661017666,-0.8314620272339781,-0.22268118674213744,0.4614351027157197,1.496927773172275,-1.1024801615427284,-1.7939096565187778
