audio,half,vowel,n_tokens,median_F1_Hz,median_F1_lobanov,median_F2_Hz,median_F2_lobanov
061ea7d0-Audio_SP16,H1,i,316,401.3921186471165,-1.1304262913543903,2198.5404840766696,1.1994435333468292
061ea7d0-Audio_SP16,H1,e,428,507.6801476204673,-0.31291685568648375,1932.2354606154568,0.6105213849276228
061ea7d0-Audio_SP16,H1,a,471,690.3908462632404,1.0923939923996429,1584.603987697576,-0.15825072168924556
061ea7d0-Audio_SP16,H1,o,360,521.7966356998836,-0.2043405436136558,1072.8032137416408,-1.290076203023592
061ea7d0-Audio_SP16,H1,u,90,466.96584462867173,-0.6260690251634453,921.4454053874638,-1.6247975106332744
061ea7d0-Audio_SP16,H2,i,162,412.630083425336,-1.3146787720771473,2171.9430733817217,1.451133430392501
061ea7d0-Audio_SP16,H2,e,328,516.481093640781,-0.38109047086757875,1872.9387671794686,0.7435239563655687
061ea7d0-Audio_SP16,H2,a,347,698.997606495212,1.2596762470003338,1516.9554137862394,-0.09892944056490188
061ea7d0-Audio_SP16,H2,o,354,535.8283496688575,-0.20716465299785167,1080.1177826876437,-1.1327287537017487
061ea7d0-Audio_SP16,H2,u,47,459.9113358361138,-0.8896350096172028,904.1163257463472,-1.549245492059232
0af9ac47-Audio_SP14,H1,i,238,424.30383924930544,-1.3643463538916918,2097.032562274878,1.2726924200042238
0af9ac47-Audio_SP14,H1,e,556,553.1292533846056,-0.308572317512433,1895.9325892326906,0.7413399602443501
0af9ac47-Audio_SP14,H1,a,480,701.2796698875952,0.9055775788609255,1545.5961455679965,-0.18432963716384948
0af9ac47-Audio_SP14,H1,o,445,588.8501934244882,-0.015825414253424902,1174.3272319727064,-1.1653076427145925
0af9ac47-Audio_SP14,H1,u,60,480.85714488952453,-0.9008701666259118,1033.821520976735,-1.5365561019690217
0af9ac47-Audio_SP14,H2,i,191,428.7330866422053,-1.4454906934762972,2132.3477407490827,1.4129376779712117
0af9ac47-Audio_SP14,H2,e,525,567.0672862774679,-0.340625188615185,1906.2966867127195,0.7964815104097314
0af9ac47-Audio_SP14,H2,a,508,700.9537817359187,0.7287168163901945,1534.005636813199,-0.2187807931298049
0af9ac47-Audio_SP14,H2,o,417,614.0585310681354,0.03469057232162302,1201.0248801553826,-1.1268413283749952
0af9ac47-Audio_SP14,H2,u,46,495.6530995871731,-0.9110052655582497,1155.2545367150342,-1.2516600806055025
0e6115f2-Audio_SP19,H1,i,366,360.5345149278396,-1.0673966827121237,2247.653029374123,1.2598743366345628
0e6115f2-Audio_SP19,H1,e,459,444.1724998229144,-0.30371853865072485,1917.6036618878911,0.5529231982586005
0e6115f2-Audio_SP19,H1,a,434,594.1910715220113,1.0660646352699885,1547.953579966947,-0.23885091785353074
0e6115f2-Audio_SP19,H1,o,480,469.91843506819464,-0.06863865156465562,1153.9613105349986,-1.0827649223179199
0e6115f2-Audio_SP19,H1,u,58,402.7037078815094,-0.6823600148413518,1058.312523000136,-1.2876403921516026
0e6115f2-Audio_SP19,H2,i,312,357.1993110850193,-1.0682397377709805,2254.9553929338836,1.2682288387126142
0e6115f2-Audio_SP19,H2,e,450,439.3501661345099,-0.32048117287918365,1935.012717784113,0.5889339476723636
0e6115f2-Audio_SP19,H2,a,417,600.8492655911716,1.1495258619627475,1561.0264246658894,-0.20510510359007564
0e6115f2-Audio_SP19,H2,o,438,460.83079619489286,-0.12495886094162584,1185.4232670217832,-1.0025770442331583
0e6115f2-Audio_SP19,H2,u,81,404.7246153153302,-0.635651990925323,905.9772547283447,-1.5958903569497027
0f786745-Audio_SP20,H1,i,271,364.9529969539991,-1.4290412862026936,2233.852807644101,1.4345390429695455
0f786745-Audio_SP20,H1,e,500,502.1012690712255,-0.1602274154707149,1922.88501079263,0.9429709890898025
0f786745-Audio_SP20,H1,a,647,605.2130675654508,0.7937013373010905,777.2384352473216,-0.868030867941024
0f786745-Audio_SP20,H1,o,422,507.1646887304064,-0.1133836820592255,937.2504367324111,-0.6150889589593775
0f786745-Audio_SP20,H1,u,142,406.1416088638056,-1.047988858048955,826.6638127404381,-0.7899007950763812
0f786745-Audio_SP20,H2,i,284,368.3827057265284,-1.3026655911541032,2164.5929029369627,1.3319332157011328
0f786745-Audio_SP20,H2,e,381,501.7206877315327,-0.13636637013371633,1915.06500682782,0.9265897673188381
0f786745-Audio_SP20,H2,a,528,616.7675112404643,0.8699411997101192,775.6999920522319,-0.9242419483193863
0f786745-Audio_SP20,H2,o,421,500.49369711305,-0.14709878246677488,932.277016135772,-0.6698917459207764
0f786745-Audio_SP20,H2,u,81,385.235256050126,-1.1552573581880374,814.7166760557062,-0.8608616309880804
12c532f8-Audio_SP15,H1,i,304,334.4635438014575,-1.2510410663161569,2142.2588014489247,1.267566834964188
12c532f8-Audio_SP15,H1,e,437,431.3817337505885,-0.48999579811744964,1918.068451350908,0.7521241205199454
12c532f8-Audio_SP15,H1,a,531,614.6969808606337,0.9494780661282741,1553.3926422012228,-0.08631289908452579
12c532f8-Audio_SP15,H1,o,439,491.9966350589365,-0.014020299119147678,1097.5729861960124,-1.1343014529435385
12c532f8-Audio_SP15,H1,u,74,423.82554202560027,-0.5493304179749068,915.4762576970894,-1.5529654676429445
12c532f8-Audio_SP15,H2,i,191,343.46393197753514,-1.3230862319565169,2136.315954931162,1.3723471750242455
12c532f8-Audio_SP15,H2,e,412,443.47295475146706,-0.5253129875875369,1906.6949609691264,0.8308545451950877
12c532f8-Audio_SP15,H2,a,508,629.0638648712398,0.9551480586755374,1489.8429552402554,-0.15216658426228702
12c532f8-Audio_SP15,H2,o,365,492.5395095964197,-0.13390845664685946,1107.0260638468085,-1.0549260475277977
12c532f8-Audio_SP15,H2,u,81,428.43092419806976,-0.6453034562836174,895.1378706179784,-1.5546011556331032
181d5ce9-Audio_SP21,H1,i,137,358.5326185079406,-1.1990818420864284,2067.20232696313,1.2314118788448438
181d5ce9-Audio_SP21,H1,e,232,471.01612459358864,-0.29160274726829805,1857.6047372081784,0.7198102539758162
181d5ce9-Audio_SP21,H1,a,248,614.3472452859032,0.8647445270253309,1461.9508008070654,-0.24593175186160743
181d5ce9-Audio_SP21,H1,o,231,501.41756683937865,-0.04633413633641223,1134.241881172732,-1.0458284298959875
181d5ce9-Audio_SP21,H1,u,34,385.7331206556486,-0.9796373392736721,909.1187976730332,-1.59532585230731
181d5ce9-Audio_SP21,H2,i,128,338.5533852523195,-1.1490054928334301,1991.8003188577313,1.2725610625910249
181d5ce9-Audio_SP21,H2,e,232,439.79513706504395,-0.2770285817247937,1790.3650810432468,0.7361052691298875
181d5ce9-Audio_SP21,H2,a,206,605.6554313230924,1.1514961570631161,1489.231063662563,-0.06586508116638176
181d5ce9-Audio_SP21,H2,o,243,473.3471651602597,0.011948972456754026,1112.2725809704732,-1.069768688740399
181d5ce9-Audio_SP21,H2,u,38,349.9742507329488,-1.0506396425228992,930.9542277725152,-1.552649847415621
1c403477-Audio_SP13,H1,i,327,368.17947882206806,-1.0834166223603245,2156.837557624038,1.2320290039302624
1c403477-Audio_SP13,H1,e,535,459.9498334676702,-0.28497263676144985,1881.402955741414,0.6269458941007531
1c403477-Audio_SP13,H1,a,419,628.9678737100642,1.1855614830030667,1516.8925830956198,-0.17382157788020533
1c403477-Audio_SP13,H1,o,527,479.8533962378055,-0.11180255316337163,1103.1108225839173,-1.0828299331479507
1c403477-Audio_SP13,H1,u,76,411.29424952609133,-0.708298432046655,985.8918470757226,-1.3403401433638522
1c403477-Audio_SP13,H2,i,248,362.767225380579,-1.0369020105976832,2125.66196506085,1.223533809664898
1c403477-Audio_SP13,H2,e,389,456.9960853898189,-0.2515318463860737,1852.427947398695,0.6193364571875688
1c403477-Audio_SP13,H2,a,335,619.178492568398,1.100211385417694,1503.089962417003,-0.15314819699880486
1c403477-Audio_SP13,H2,o,409,476.5904548379127,-0.08821847138012151,1103.0548289999465,-1.0377385220854682
1c403477-Audio_SP13,H2,u,56,406.64448756601615,-0.6711977815074284,918.7552966654837,-1.4452766846175478
1d46eb6e-Audio_SP18,H1,i,370,383.6092735805644,-1.1382255139096038,2334.807085271096,1.3146267342593057
1d46eb6e-Audio_SP18,H1,e,603,487.8293571685406,-0.40391016629282245,2067.65077678075,0.7924253494937399
1d46eb6e-Audio_SP18,H1,a,704,703.9849331813509,1.1190818662856725,1562.780658328248,-0.19442716569655466
1d46eb6e-Audio_SP18,H1,o,573,507.86016033838894,-0.2627768483532513,1096.8133986232149,-1.105237580948933
1d46eb6e-Audio_SP18,H1,u,149,424.58915680842665,-0.8494888696680856,925.4061973216352,-1.440281429938595
1d46eb6e-Audio_SP18,H2,i,379,388.21150257618143,-1.1793183125362694,2365.1847230362773,1.3210341222124091
1d46eb6e-Audio_SP18,H2,e,702,494.16817973877187,-0.4132788003163377,2073.588297346113,0.7539427252909825
1d46eb6e-Audio_SP18,H2,a,756,703.6963802914458,1.101556176071159,1573.7584136214855,-0.21811729332410346
1d46eb6e-Audio_SP18,H2,o,618,512.6790145278777,-0.27945022780579065,1100.24753124281,-1.1389925993573145
1d46eb6e-Audio_SP18,H2,u,118,437.758417457095,-0.8211068668419528,857.8872535187639,-1.6103304359837194
2988c6fc-Audio_SP13,H1,i,216,351.54363960185606,-1.2547286661138188,2302.470670567368,1.3420804667933726
