audio,vowel,n_points
061ea7d0-Audio_SP16,a,469
061ea7d0-Audio_SP16,e,426
061ea7d0-Audio_SP16,i,391
061ea7d0-Audio_SP16,o,359
061ea7d0-Audio_SP16,u,90
0af9ac47-Audio_SP14,a,473
0af9ac47-Audio_SP14,e,553
0af9ac47-Audio_SP14,i,311
0af9ac47-Audio_SP14,o,443
0af9ac47-Audio_SP14,u,60
0e6115f2-Audio_SP19,a,433
0e6115f2-Audio_SP19,e,459
0e6115f2-Audio_SP19,i,454
0e6115f2-Audio_SP19,o,479
0e6115f2-Audio_SP19,u,58
0f786745-Audio_SP20,a,650
0f786745-Audio_SP20,e,501
0f786745-Audio_SP20,i,341
0f786745-Audio_SP20,o,424
0f786745-Audio_SP20,u,142
12c532f8-Audio_SP15,a,524
12c532f8-Audio_SP15,e,432
12c532f8-Audio_SP15,i,335
12c532f8-Audio_SP15,o,436
12c532f8-Audio_SP15,u,74
181d5ce9-Audio_SP21,a,245
181d5ce9-Audio_SP21,e,229
181d5ce9-Audio_SP21,i,153
181d5ce9-Audio_SP21,o,225
181d5ce9-Audio_SP21,u,34
1c403477-Audio_SP13,a,415
1c403477-Audio_SP13,e,531
1c403477-Audio_SP13,i,412
1c403477-Audio_SP13,o,524
1c403477-Audio_SP13,u,74
1d46eb6e-Audio_SP18,a,704
1d46eb6e-Audio_SP18,e,603
1d46eb6e-Audio_SP18,i,470
1d46eb6e-Audio_SP18,o,573
1d46eb6e-Audio_SP18,u,149
2988c6fc-Audio_SP13,a,355
2988c6fc-Audio_SP13,e,307
2988c6fc-Audio_SP13,i,272
2988c6fc-Audio_SP13,o,250
2988c6fc-Audio_SP13,u,38
2e25304d-Audio_SP12,a,244
2e25304d-Audio_SP12,e,204
2e25304d-Audio_SP12,i,126
2e25304d-Audio_SP12,o,150
2e25304d-Audio_SP12,u,34
30a90cb2-Audio_SP21,a,452
30a90cb2-Audio_SP21,e,455
30a90cb2-Audio_SP21,i,463
30a90cb2-Audio_SP21,o,429
30a90cb2-Audio_SP21,u,53
3361ee02-Audio_SP10,a,321
3361ee02-Audio_SP10,e,324
3361ee02-Audio_SP10,i,318
3361ee02-Audio_SP10,o,254
3361ee02-Audio_SP10,u,69
34ad326e-Audio_SP7,a,244
34ad326e-Audio_SP7,e,202
34ad326e-Audio_SP7,i,148
34ad326e-Audio_SP7,o,168
34ad326e-Audio_SP7,u,31
375a28cd-Audio_SP16,a,432
375a28cd-Audio_SP16,e,472
375a28cd-Audio_SP16,i,307
375a28cd-Audio_SP16,o,510
375a28cd-Audio_SP16,u,113
42d56bbf-Audio_SP23,a,1260
42d56bbf-Audio_SP23,e,1376
42d56bbf-Audio_SP23,i,1061
