speaker_code,audio,color,marker
1,061ea7d0-Audio_SP16,#1f77b4,o
2,0af9ac47-Audio_SP14,#ff7f0e,o
3,0e6115f2-Audio_SP19,#2ca02c,o
4,0f786745-Audio_SP20,#d62728,o
5,12c532f8-Audio_SP15,#9467bd,o
6,181d5ce9-Audio_SP21,#8c564b,o
7,1c403477-Audio_SP13,#e377c2,o
8,1d46eb6e-Audio_SP18,#1f77b4,^
9,2988c6fc-Audio_SP13,#ff7f0e,^
10,2e25304d-Audio_SP12,#2ca02c,^
11,30a90cb2-Audio_SP21,#d62728,^
12,3361ee02-Audio_SP10,#9467bd,^
13,34ad326e-Audio_SP7,#8c564b,^
14,375a28cd-Audio_SP16,#e377c2,^
15,42d56bbf-Audio_SP23,#1f77b4,s
16,49ae7020-Audio_SP17,#ff7f0e,s
17,501e6487-Audio_SP19,#2ca02c,s
18,514fc6b6-Audio_SP19,#d62728,s
19,51a17262-Audio_SP18,#9467bd,s
20,5278b5b9-Audio_SP15,#8c564b,s
21,5586979c-Audio_SP18,#e377c2,s
22,5819ce7a-Audio_SP11,#1f77b4,D
23,5a932187-audio_SP16,#ff7f0e,D
24,63239054-Audio_SP15,#2ca02c,D
25,713a2f9b-Audio_SP16,#d62728,D
26,7a414497-Audio_SP15,#9467bd,D
27,7aee4437-Audio_SP12,#8c564b,D
28,7c3c98d2-Audio_SP13,#e377c2,D
29,7dec1dd7-Audio_SP13,#1f77b4,P
30,7e277fda-Audio_SP28,#ff7f0e,P
31,85c7895f-Audio_SP16,#2ca02c,P
32,919b9bc1-Audio_SP14,#d62728,P
33,9a0c18cb-Audio_SP14,#9467bd,P
34,a1a056ce-Audio_SP11,#8c564b,P
35,a452055c-Audio_SP11,#e377c2,P
36,adad0062-Audio_SP17,#1f77b4,X
37,c3533b36-Audio_SP16,#ff7f0e,X
38,cafd9c21-Audio_SP27,#2ca02c,X
39,d4c363bf-Audio_SP13,#d62728,X
40,dbeec025-Audio_SP13,#9467bd,X
41,e90f8e4d-Audio_SP22,#8c564b,X
42,f061152e-Audio_SP12,#e377c2,X
43,fcd45f4d-Audio_SP21,#1f77b4,v
