pair,centroid_distance_H1,centroid_distance_H2
i-e,235.2195414562718,214.38050366918216
i-a,535.4661159138425,536.781539412993
i-o,771.2847502699383,797.920665677911
i-u,848.4544180763228,948.2689025362085
e-a,300.29650207957627,322.6624037545828
e-o,549.6453246383551,594.7766060049713
e-u,635.3194963859702,751.7192468695451
a-o,304.7373689418671,333.13686509859184
a-u,407.37336514237114,500.1782890639217
o-u,104.87843846541494,167.09705706366915
