audio,half,vowel,ellipse_area_grid,overlap_area_with_any_other_vowel,overlap_percent_with_any_other_vowel,unique_area_not_overlapped,unique_percent_not_overlapped
7dec1dd7-Audio_SP13,H1,i,109956.4973969149,32582.27895838427,29.631972397929847,77374.21843853063,70.36802760207016
7dec1dd7-Audio_SP13,H1,e,74130.53338018575,32582.27895838427,43.9525759126578,41548.25442180148,56.0474240873422
7dec1dd7-Audio_SP13,H1,a,101692.37191688224,1903.2148198085902,1.8715413790959399,99789.15709707365,98.12845862090406
7dec1dd7-Audio_SP13,H1,o,129500.80639368683,52107.61903668635,40.237293100922805,77393.18735700048,59.7627068990772
7dec1dd7-Audio_SP13,H1,u,132289.23740875523,50204.40421687776,37.95048274543543,82084.83319187746,62.04951725456457
7dec1dd7-Audio_SP13,H2,i,139568.65156173456,36496.1562168678,26.149250428721576,103072.49534486677,73.85074957127843
7dec1dd7-Audio_SP13,H2,e,67834.82727340818,36496.1562168678,53.80150239016618,31338.671056540385,46.19849760983383
7dec1dd7-Audio_SP13,H2,a,101250.38980918222,6971.869909843796,6.8857709318285805,94278.51989933843,93.11422906817141
7dec1dd7-Audio_SP13,H2,o,151342.85046817065,90835.04926834138,60.01938577696153,60507.80119982928,39.98061422303847
7dec1dd7-Audio_SP13,H2,u,186449.26517477058,83863.17935849758,44.979088161000455,102586.085816273,55.020911838999545
