F1,F2,F3,B1,B2,B3,max_formant,smooth_error,time,rel_time,prop_time,id,label,file_name,group,speaker_num,point_heuristic,f0,intensity,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context,B1_Hz,B2_Hz,B3_Hz,_source_file,_audio_id,_token_time,_audio_duration,_split_time,_time_basis,_split_basis,half
370.766658487764,1926.746647173965,2746.815163313366,2.227289707177582,3.963552979640464,2.81200569230306,5153.846153846154,5.2555065801e-05,1894.80575,0.031,0.3297872340425531,0-0-5679-6,e,85c7895f-Audio_SP16.v0,group_0,1,fave,133.98031596469946,68.64899499730839,5,entonces,,0.0699999999999363,hacer,ya,z,s,z,s,internal,9.274694845314896,52.6440372545077,16.643266035462887,85c7895f-Audio_SP16.csv,85c7895f-Audio_SP16,1894.80575,3789.096,1894.548,time column: time,audio_duration,H2
408.53542295844505,2107.773775978107,2772.2264775559224,2.768267737522671,3.408205363068985,3.208104793899785,5153.846153846154,5.29512035954e-05,1897.37375,0.027,0.3214285714285714,0-0-5688-0,e,85c7895f-Audio_SP16.v0,group_0,1,fave,,62.1964991650961,5,en,,0.0600000000001728,[silence],esas,#,n,.,n,initial,15.931013396891943,30.21097784314808,24.732169221954965,85c7895f-Audio_SP16.csv,85c7895f-Audio_SP16,1897.37375,3789.096,1894.548,time column: time,audio_duration,H2
469.5482680410617,2291.7719867846754,2753.606676749753,2.9383937745673445,3.278859445346284,3.083636781264973,5153.846153846154,0.0002405645470651,1914.32775,0.055,0.3353658536585365,0-0-5700-4,e,85c7895f-Audio_SP16.v0,group_0,1,fave,225.0049714627871,70.69522325590452,5,porque,,0.1400000000001,",",[silence],k,#,k,.,final,18.885487586833555,26.545478857820303,21.837677011229687,85c7895f-Audio_SP16.csv,85c7895f-Audio_SP16,1914.32775,3789.096,1894.548,time column: time,audio_duration,H2
418.44791518635776,2078.415898870951,2884.9296510446,2.69558465891934,3.0788434503950666,3.632980612171605,5153.846153846154,0.0038240048179798,1916.04075,0.061,0.3315217391304348,0-0-5703-1,e,85c7895f-Audio_SP16.v0,group_0,1,fave,200.18693322730965,72.07229275048543,5,sé,,0.1600000000000818,no,cómo,s,#,s,k,final,14.81417746283152,21.733252270988874,37.82539158523297,85c7895f-Audio_SP16.csv,85c7895f-Audio_SP16,1916.04075,3789.096,1894.548,time column: time,audio_duration,H2
456.6901597118082,2093.1994879439103,2775.582592248821,2.976412146750476,2.9175917021840765,3.0722303634331585,5153.846153846154,0.0025088320961109,1917.64275,0.0849999999999999,0.3346456692913385,0-0-5706-8,e,85c7895f-Audio_SP16.v0,group_0,1,fave,131.9286821856737,68.76056146220355,5,realmente,,0.2300000000000182,cómo,,t,#,t,,final,19.61730621401473,18.49668824330683,21.590002567190247,85c7895f-Audio_SP16.csv,85c7895f-Audio_SP16,1917.64275,3789.096,1894.548,time column: time,audio_duration,H2
394.8166013669192,2233.924061179732,2748.948760403798,2.1708065759351243,2.535152973064516,3.5731220963788166,5153.846153846154,0.001581074013602,1924.59575,0.151,0.3325991189427312,0-0-5726-1,e,85c7895f-Audio_SP16.v0,group_0,1,fave,188.6103695838036,69.85518886227217,5,de,,0.4300000000000636,[silence],de,d,#,d,d,final,8.765351111562575,12.618360969751528,35.62765265752311,85c7895f-Audio_SP16.csv,85c7895f-Audio_SP16,1924.59575,3789.096,1894.548,time column: time,audio_duration,H2
412.9333796610936,1983.363268566393,2959.192004139867,2.0928913587222824,3.635688128725271,3.0942825683809763,5153.846153846154,9.896977660904732e-06,1925.01575,0.031,0.3297872340425531,0-0-5727-1,e,85c7895f-Audio_SP16.v0,group_0,1,fave,139.2787714471876,74.8169101210326,5,de,,0.0699999999999363,de,los,d,#,d,l,final,8.108325381643304,37.9279432265847,22.07139813712336,85c7895f-Audio_SP16.csv,85c7895f-Audio_SP16,1925.01575,3789.096,1894.548,time column: time,audio_duration,H2
422.6926682490154,2121.723140355902,2743.598269758983,3.244812657004371,2.9810957700368608,3.8601433090472215,5153.846153846154,0.0015646220874289,1929.35775,0.155,0.334051724137931,0-0-5742-1,e,85c7895f-Audio_SP16.v0,group_0,1,fave,130.94906585021937,66.88314572688326,5,me,,0.4400000000000545,ingresas,[silence],m,#,m,.,final,25.656902968894123,19.709401788349936,47.47215407056694,85c7895f-Audio_SP16.csv,85c7895f-Audio_SP16,1929.35775,3789.096,1894.548,time column: time,audio_duration,H2
405.66163751981424,2026.669964470288,2390.059751710767,2.390943049464217,3.1795823997982287,4.164068699261111,4974.358974358975,0.0039121453067131,1935.24275,0.045,0.3358208955223881,0-0-5766-4,e,85c7895f-Audio_SP16.v0,group_0,1,fave,196.69546930423925,72.772095131369,5,donde,,0.1099999999998999,acá,vivo,d,#,d,b,final,10.92379076209943,24.036713719393187,64.33274140662203,85c7895f-Audio_SP16.csv,85c7895f-Audio_SP16,1935.24275,3789.096,1894.548,time column: time,audio_duration,H2
462.1905572446419,2053.878168127268,2890.2788431780823,2.512417424162296,3.6891347504065246,3.6646921472554976,5153.846153846154,5.222199806412693e-06,1940.50375,0.027,0.3214285714285714,0-0-5789-1,e,85c7895f-Audio_SP16.v0,group_0,1,fave,169.16087496035186,77.9610586371479,5,del,,0.0599999999999454,relación,año,d,l,d,l,internal,12.334712279378012,40.010213155338405,39.04411447494168,85c7895f-Audio_SP16.csv,85c7895f-Audio_SP16,1940.50375,3789.096,1894.548,time column: time,audio_duration,H2
