config_id,model,feature_set,speaker,n_tokens,accuracy,balanced_accuracy,macro_f1,n_true_vowels_present
Majority class__F1_F2,Majority class,F1_F2,061ea7d0-Audio_SP16,2903,0.281777471581123,0.2,0.08793335124966407,5
Majority class__F1_F2,Majority class,F1_F2,0af9ac47-Audio_SP14,3466,0.2850548182342758,0.2,0.08872923215087561,5
Majority class__F1_F2,Majority class,F1_F2,0e6115f2-Audio_SP19,3495,0.2434907010014306,0.2,0.07832489645651174,5
Majority class__F1_F2,Majority class,F1_F2,0f786745-Audio_SP20,3677,0.3195539842262714,0.2,0.09686727122835945,5
Majority class__F1_F2,Majority class,F1_F2,12c532f8-Audio_SP15,3342,0.3108916816277678,0.2,0.09486418625884502,5
Majority class__F1_F2,Majority class,F1_F2,181d5ce9-Audio_SP21,1729,0.2625795257374205,0.2,0.08318827301878148,5
Majority class__F1_F2,Majority class,F1_F2,1c403477-Audio_SP13,3321,0.22704004817825957,0.2,0.07401226993865032,5
Majority class__F1_F2,Majority class,F1_F2,1d46eb6e-Audio_SP18,4972,0.2936444086886565,0.2,0.09079601990049752,5
Majority class__F1_F2,Majority class,F1_F2,2988c6fc-Audio_SP13,2406,0.3029925187032419,0.2,0.09301435406698565,5
Majority class__F1_F2,Majority class,F1_F2,2e25304d-Audio_SP12,1234,0.32820097244732577,0.2,0.09884075655887736,5
Majority class__F1_F2,Majority class,F1_F2,30a90cb2-Audio_SP21,3151,0.2557918121231355,0.2,0.08147586555471317,5
Majority class__F1_F2,Majority class,F1_F2,3361ee02-Audio_SP10,2233,0.2575011195700851,0.2,0.08190883190883191,5
Majority class__F1_F2,Majority class,F1_F2,34ad326e-Audio_SP7,1458,0.32578875171467764,0.2,0.09829280910501811,5
Majority class__F1_F2,Majority class,F1_F2,375a28cd-Audio_SP16,3445,0.24789550072568942,0.2,0.07946033961386369,5
Majority class__F1_F2,Majority class,F1_F2,42d56bbf-Audio_SP23,9770,0.24114636642784032,0.2,0.077717301665842,5
Majority class__F1_F2,Majority class,F1_F2,49ae7020-Audio_SP17,2377,0.26335717290702565,0.2,0.08338328338328338,5
Majority class__F1_F2,Majority class,F1_F2,501e6487-Audio_SP19,5259,0.29967674462825633,0.2,0.09223116313094368,5
Majority class__F1_F2,Majority class,F1_F2,514fc6b6-Audio_SP19,4227,0.2905133664537497,0.2,0.09004582951420716,5
Majority class__F1_F2,Majority class,F1_F2,51a17262-Audio_SP18,2738,0.26552227903579256,0.2,0.08392496392496393,5
Majority class__F1_F2,Majority class,F1_F2,5278b5b9-Audio_SP15,1916,0.26826722338204595,0.2,0.08460905349794239,5
Majority class__F1_F2,Majority class,F1_F2,5586979c-Audio_SP18,4244,0.2945334590009425,0.2,0.09100837277029486,5
Majority class__F1_F2,Majority class,F1_F2,5819ce7a-Audio_SP11,3848,0.29885654885654883,0.2,0.09203681472589036,5
Majority class__F1_F2,Majority class,F1_F2,5a932187-audio_SP16,3930,0.2964376590330789,0.2,0.0914622178606477,5
Majority class__F1_F2,Majority class,F1_F2,63239054-Audio_SP15,2628,0.2773972602739726,0.2,0.08686327077747989,5
Majority class__F1_F2,Majority class,F1_F2,713a2f9b-Audio_SP16,3172,0.2604035308953342,0.2,0.08264132066033017,5
Majority class__F1_F2,Majority class,F1_F2,7a414497-Audio_SP15,2137,0.34394010294805805,0.2,0.10236768802228413,5
Majority class__F1_F2,Majority class,F1_F2,7aee4437-Audio_SP12,1642,0.3081607795371498,0.2,0.09422718808193668,5
Majority class__F1_F2,Majority class,F1_F2,7c3c98d2-Audio_SP13,4155,0.3174488567990373,0.2,0.09638290098648154,5
Majority class__F1_F2,Majority class,F1_F2,7dec1dd7-Audio_SP13,2334,0.32433590402742074,0.2,0.09796182465221612,5
Majority class__F1_F2,Majority class,F1_F2,7e277fda-Audio_SP28,3383,0.26751404079219626,0.2,0.08442164179104478,5
Majority class__F1_F2,Majority class,F1_F2,85c7895f-Audio_SP16,5726,0.28973105134474325,0.2,0.08985781990521327,5
Majority class__F1_F2,Majority class,F1_F2,919b9bc1-Audio_SP14,2133,0.23628691983122363,0.2,0.0764505119453925,5
Majority class__F1_F2,Majority class,F1_F2,9a0c18cb-Audio_SP14,2033,0.2961141170683719,0.2,0.09138519924098672,5
Majority class__F1_F2,Majority class,F1_F2,a1a056ce-Audio_SP11,1617,0.29004329004329005,0.2,0.08993288590604027,5
Majority class__F1_F2,Majority class,F1_F2,a452055c-Audio_SP11,3839,0.3084136493878614,0.2,0.09428628309775035,5
Majority class__F1_F2,Majority class,F1_F2,adad0062-Audio_SP17,3705,0.308502024291498,0.2,0.09430693069306931,5
Majority class__F1_F2,Majority class,F1_F2,c3533b36-Audio_SP16,1959,0.29555895865237364,0.2,0.09125295508274231,5
Majority class__F1_F2,Majority class,F1_F2,cafd9c21-Audio_SP27,4907,0.31852455675565516,0.2,0.0966306027820711,5
Majority class__F1_F2,Majority class,F1_F2,d4c363bf-Audio_SP13,3390,0.28761061946902655,0.2,0.08934707903780069,5
Majority class__F1_F2,Majority class,F1_F2,dbeec025-Audio_SP13,2727,0.33003300330033003,0.2,0.09925558312655088,5
Majority class__F1_F2,Majority class,F1_F2,e90f8e4d-Audio_SP22,2564,0.2706708268330733,0.2,0.08520564763658686,5
Majority class__F1_F2,Majority class,F1_F2,f061152e-Audio_SP12,2900,0.32068965517241377,0.2,0.09712793733681462,5
Majority class__F1_F2,Majority class,F1_F2,fcd45f4d-Audio_SP21,2501,0.28588564574170333,0.2,0.08893034825870647,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,061ea7d0-Audio_SP16,2903,0.8060626937650707,0.750415588812061,0.7588117978025839,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,0af9ac47-Audio_SP14,3466,0.6803231390652048,0.5991979779447758,0.619443742950631,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,0e6115f2-Audio_SP19,3495,0.7032904148783977,0.7118583029991261,0.6556474950227399,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,0f786745-Audio_SP20,3677,0.5349469676366603,0.6320446319267432,0.544364385510079,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,12c532f8-Audio_SP15,3342,0.7318970676241772,0.7393334890682667,0.6899083406505816,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,181d5ce9-Audio_SP21,1729,0.7246963562753036,0.7450618613249977,0.6840694786110242,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,1c403477-Audio_SP13,3321,0.7389340560072267,0.7632068942218867,0.6953264738376004,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,1d46eb6e-Audio_SP18,4972,0.7715205148833467,0.7549016708823377,0.7265613052145954,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,2988c6fc-Audio_SP13,2406,0.7472984206151289,0.7430150195648061,0.6874237777383907,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,2e25304d-Audio_SP12,1234,0.6904376012965965,0.6331600768785726,0.6496320023907007,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,30a90cb2-Audio_SP21,3151,0.6432878451285307,0.6524711797216135,0.5960867621683053,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,3361ee02-Audio_SP10,2233,0.651141961486789,0.6767435336164397,0.6321617684011914,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,34ad326e-Audio_SP7,1458,0.6268861454046639,0.6385748599039377,0.5680520515777652,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,375a28cd-Audio_SP16,3445,0.43483309143686505,0.5316747279317834,0.40918786550285774,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,42d56bbf-Audio_SP23,9770,0.4611054247697032,0.5651211910176899,0.4446203514832795,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,49ae7020-Audio_SP17,2377,0.7568363483382414,0.6732660189950405,0.6984393593897168,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,501e6487-Audio_SP19,5259,0.5497242821829245,0.6281467364330555,0.5315608098459701,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,514fc6b6-Audio_SP19,4227,0.6881949373077832,0.6409416631645918,0.6339220609337318,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,51a17262-Audio_SP18,2738,0.6621621621621622,0.674527201821954,0.6080445169336006,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,5278b5b9-Audio_SP15,1916,0.42745302713987476,0.5142562856452491,0.3956634891085763,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,5586979c-Audio_SP18,4244,0.8006597549481621,0.7604722225265501,0.7256381611498695,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,5819ce7a-Audio_SP11,3848,0.7676715176715176,0.7188413498172406,0.7230238662888201,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,5a932187-audio_SP16,3930,0.6491094147582697,0.5963434744528919,0.595833818852123,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,63239054-Audio_SP15,2628,0.7796803652968036,0.7358576544052359,0.7161170404823821,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,713a2f9b-Audio_SP16,3172,0.550126103404792,0.6253892198821971,0.5407646080878146,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,7a414497-Audio_SP15,2137,0.8306036499766027,0.8025892639349141,0.8063468084461036,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,7aee4437-Audio_SP12,1642,0.771619975639464,0.712305103075187,0.7255884517048626,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,7c3c98d2-Audio_SP13,4155,0.630806257521059,0.6190390244932845,0.5690555166992972,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,7dec1dd7-Audio_SP13,2334,0.8059125964010283,0.7828660495982188,0.7783243063143244,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,7e277fda-Audio_SP28,3383,0.6695240910434526,0.6742553326164272,0.6526157017161749,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,85c7895f-Audio_SP16,5726,0.6466992665036675,0.6815323272991559,0.5906100405476198,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,919b9bc1-Audio_SP14,2133,0.7702766057196437,0.7613318711591944,0.730670042608124,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,9a0c18cb-Audio_SP14,2033,0.6709296606000984,0.6953450057827358,0.6366825047081116,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,a1a056ce-Audio_SP11,1617,0.6097711811997526,0.6559389229427872,0.5625764487269449,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,a452055c-Audio_SP11,3839,0.6496483459234176,0.6770256026409318,0.617444363966533,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,adad0062-Audio_SP17,3705,0.7681511470985155,0.7454305116982909,0.7346366823210746,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,c3533b36-Audio_SP16,1959,0.7845839714139867,0.7527098213178915,0.7377593185043985,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,cafd9c21-Audio_SP27,4907,0.7913185245567557,0.7637772441454376,0.7603428103451124,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,d4c363bf-Audio_SP13,3390,0.6705014749262537,0.6712405801691056,0.633226697939078,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,dbeec025-Audio_SP13,2727,0.6692335900256692,0.6059343216496484,0.6445325092011182,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,e90f8e4d-Audio_SP22,2564,0.733619344773791,0.7580791546574932,0.6988432211111034,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,f061152e-Audio_SP12,2900,0.6251724137931034,0.5472410034496843,0.5580000647570671,5
Nearest centroid__F1_F2,Nearest centroid,F1_F2,fcd45f4d-Audio_SP21,2501,0.6201519392243102,0.6776383273851202,0.6101753954653069,5
LDA shrinkage__F1_F2,LDA shrinkage,F1_F2,061ea7d0-Audio_SP16,2903,0.8005511539786427,0.7500584263092249,0.7533803418009273,5
LDA shrinkage__F1_F2,LDA shrinkage,F1_F2,0af9ac47-Audio_SP14,3466,0.7114829774956722,0.6235710617880837,0.6449459670060635,5
LDA shrinkage__F1_F2,LDA shrinkage,F1_F2,0e6115f2-Audio_SP19,3495,0.7110157367668097,0.7132602168162292,0.6598322838090664,5
LDA shrinkage__F1_F2,LDA shrinkage,F1_F2,0f786745-Audio_SP20,3677,0.49932009790590154,0.6078509119363507,0.5058513900610061,5
LDA shrinkage__F1_F2,LDA shrinkage,F1_F2,12c532f8-Audio_SP15,3342,0.751346499102334,0.7527140918465243,0.7081066974484885,5
LDA shrinkage__F1_F2,LDA shrinkage,F1_F2,181d5ce9-Audio_SP21,1729,0.7229612492770388,0.7324390137907355,0.6775698023593882,5
LDA shrinkage__F1_F2,LDA shrinkage,F1_F2,1c403477-Audio_SP13,3321,0.7428485395965071,0.7652465828357883,0.6987001045439462,5
LDA shrinkage__F1_F2,LDA shrinkage,F1_F2,1d46eb6e-Audio_SP18,4972,0.754424778761062,0.7443066633135872,0.7116494530146357,5
LDA shrinkage__F1_F2,LDA shrinkage,F1_F2,2988c6fc-Audio_SP13,2406,0.7335827098919369,0.7284566343909289,0.6725948784071878,5
LDA shrinkage__F1_F2,LDA shrinkage,F1_F2,2e25304d-Audio_SP12,1234,0.7147487844408428,0.6585982565839207,0.6744930385271563,5
LDA shrinkage__F1_F2,LDA shrinkage,F1_F2,30a90cb2-Audio_SP21,3151,0.6515391939066962,0.6513666444409719,0.6020204734369947,5
LDA shrinkage__F1_F2,LDA shrinkage,F1_F2,3361ee02-Audio_SP10,2233,0.612628750559785,0.6327385642405229,0.5904048265337519,5
LDA shrinkage__F1_F2,LDA shrinkage,F1_F2,34ad326e-Audio_SP7,1458,0.6550068587105624,0.6607990893542689,0.5966943304160217,5
LDA shrinkage__F1_F2,LDA shrinkage,F1_F2,375a28cd-Audio_SP16,3445,0.4130624092888244,0.5097384783957997,0.38978207789425545,5
LDA shrinkage__F1_F2,LDA shrinkage,F1_F2,42d56bbf-Audio_SP23,9770,0.49027635619242577,0.5825374076998319,0.4715946245953562,5
LDA shrinkage__F1_F2,LDA shrinkage,F1_F2,49ae7020-Audio_SP17,2377,0.773243584350021,0.6917521174387031,0.7147723122970195,5
LDA shrinkage__F1_F2,LDA shrinkage,F1_F2,501e6487-Audio_SP19,5259,0.5972618368511123,0.6483051621962825,0.5703299656635735,5
LDA shrinkage__F1_F2,LDA shrinkage,F1_F2,514fc6b6-Audio_SP19,4227,0.6721078779276083,0.6421750908848824,0.6242394293326952,5
