vowel,n_speakers_raw,n_speakers_lobanov,mean_pairwise_distance_raw_global_z,mean_pairwise_distance_lobanov,lobanov_to_raw_distance_ratio,compactness_change_percent
a,43,43,0.7334428946448128,0.21919866007369074,0.2988626131279694,70.11373868720305
e,43,43,0.5604844130768261,0.20752311486235095,0.37025671012532796,62.974328987467196
i,43,43,0.5885817313399944,0.24710959222232684,0.4198390453943327,58.01609546056673
o,43,43,0.5004140890740969,0.1978596113851636,0.3953917679481368,60.46082320518632
u,43,43,0.43959834092823785,0.26959252495765745,0.6132701146878692,38.67298853121308
