feature,PC1_loading,PC2_loading,PC3_loading
a_f1_median,-0.3718193387236755,-0.018643441823018702,0.020816160566681008
e_f1_median,-0.3945328462828783,0.11424506528697116,-0.322758520522334
i_f1_median,-0.36723869737856873,0.19109261006143777,-0.19829928460642504
o_f1_median,-0.3868120899012389,-0.0682685646564821,-0.2579948312421263
u_f1_median,-0.37085121878544364,0.11858584969827413,-0.287040712317173
a_f2_median,-0.25763153752833573,-0.20521838253707164,0.455951273525859
e_f2_median,-0.190150766096148,0.4101938947054659,0.49381088229079406
i_f2_median,-0.29522316515539065,0.25849146505728027,0.4745888827549947
o_f2_median,-0.27549776513606494,-0.5189867055515841,0.10192999482249046
u_f2_median,-0.13597306173944496,-0.6203404283246744,0.14054263538535683
